Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Währung
ESG Muster Defensiv Plus;30.09.2020;0;0;0;0;0;EUR
ESG Muster Defensiv Plus;01.10.2020;0,0028711098;4.895,82;0,0028711098;4.895,82;0,000630121;EUR
ESG Muster Defensiv Plus;02.10.2020;-0,0045650963;-7.806,75;-0,0017070934;-2.910,94;-0,001131352;EUR
ESG Muster Defensiv Plus;03.10.2020;0,0000123563;21,03;-0,0016947582;-2.889,90;0;EUR
ESG Muster Defensiv Plus;04.10.2020;0,0000123562;21,03;-0,0016824229;-2.868,87;0;EUR
ESG Muster Defensiv Plus;05.10.2020;0,0047545931;8.093,89;0,0030641710;5.225,02;0,003769042;EUR
ESG Muster Defensiv Plus;06.10.2020;-0,0030120891;-5.151,95;0,0000428523;73,07;-0,000538339;EUR
ESG Muster Defensiv Plus;07.10.2020;0,0102873818;17.542,79;0,0103306749;17.615,86;0,002472806;EUR
ESG Muster Defensiv Plus;08.10.2020;0,0029156133;5.023,06;0,0132764084;22.638,93;0,003811887;EUR
ESG Muster Defensiv Plus;09.10.2020;0,0031229289;5.395,92;0,0164407986;28.034,85;0,001154997;EUR
ESG Muster Defensiv Plus;10.10.2020;0,0000047579;8,25;0,0164456348;28.043,09;0;EUR
ESG Muster Defensiv Plus;11.10.2020;0,0000047579;8,25;0,0164504709;28.051,34;0;EUR
ESG Muster Defensiv Plus;12.10.2020;0,0055958848;9.699,07;0,0221384107;37.750,41;0,003306196;EUR
ESG Muster Defensiv Plus;13.10.2020;0,0018959135;3.304,48;0,0240762966;41.054,89;-0,001008086;EUR
ESG Muster Defensiv Plus;14.10.2020;-0,0010637832;-1.857,64;0,0229869015;39.197,26;-0,000422717;EUR
ESG Muster Defensiv Plus;15.10.2020;-0,0041680097;-7.270,66;0,0187230822;31.926,59;-0,004035637;EUR
ESG Muster Defensiv Plus;16.10.2020;0,0011176108;1.941,43;0,0198616181;33.868,03;0,002926653;EUR
ESG Muster Defensiv Plus;17.10.2020;0,0000047420;8,25;0,0198664542;33.876,27;0;EUR
ESG Muster Defensiv Plus;18.10.2020;0,0000047419;8,25;0,0198712903;33.884,52;0;EUR
ESG Muster Defensiv Plus;19.10.2020;-0,0076014765;-13.219,61;0,0121187627;20.664,91;-0,002861167;EUR
ESG Muster Defensiv Plus;20.10.2020;-0,0023740046;-4.097,21;0,0097159881;16.567,70;-0,001999303;EUR
ESG Muster Defensiv Plus;21.10.2020;0,0010616430;1.827,90;0,0107879461;18.395,60;-0,003587346;EUR
ESG Muster Defensiv Plus;22.10.2020;-0,0014497336;-2.498,75;0,0093225728;15.896,85;-0,000030643;EUR
ESG Muster Defensiv Plus;23.10.2020;-0,0001854031;-319,10;0,0091354413;15.577,75;0,001465017;EUR
ESG Muster Defensiv Plus;24.10.2020;0,0000047924;8,25;0,0091402774;15.586,00;0;EUR
ESG Muster Defensiv Plus;25.10.2020;0,0000047923;8,25;0,0091451135;15.594,25;0;EUR
ESG Muster Defensiv Plus;26.10.2020;-0,0084645640;-14.565,77;0,0006031402;1.028,47;-0,008785768;EUR
ESG Muster Defensiv Plus;27.10.2020;0,0038099585;6.500,66;0,0044153966;7.529,13;-0,001461526;EUR
ESG Muster Defensiv Plus;28.10.2020;-0,0146494747;-25.090,58;-0,0102987613;-17.561,44;-0,011556155;EUR
ESG Muster Defensiv Plus;29.10.2020;0,0043894731;7.407,84;-0,0059544944;-10.153,60;0,002820213;EUR
ESG Muster Defensiv Plus;30.10.2020;-0,0029597813;-5.016,97;-0,0088966517;-15.170,57;-0,001880023;EUR
ESG Muster Defensiv Plus;31.10.2020;0,0000048795;8,25;-0,0088918155;-15.162,32;0;EUR
ESG Muster Defensiv Plus;01.11.2020;0,0000048795;8,25;-0,0088869794;-15.154,07;0;EUR
ESG Muster Defensiv Plus;02.11.2020;0,0061253056;10.352,05;-0,0028161092;-4.802,03;0,006407051;EUR
ESG Muster Defensiv Plus;03.11.2020;0,0011364786;1.932,47;-0,0016828311;-2.869,56;0,006510095;EUR
ESG Muster Defensiv Plus;04.11.2020;0,0188868888;32.151,72;0,0171722743;29.282,16;0,007116986;EUR
ESG Muster Defensiv Plus;05.11.2020;0,0064916933;11.259,72;0,0237754448;40.541,88;0,004822611;EUR
ESG Muster Defensiv Plus;06.11.2020;-0,0029923908;-5.223,94;0,0207119086;35.317,94;-0,001473913;EUR
ESG Muster Defensiv Plus;07.11.2020;0,0000073195;12,74;0,0207193797;35.330,68;0;EUR
ESG Muster Defensiv Plus;08.11.2020;0,0000073195;12,74;0,0207268508;35.343,42;0;EUR
ESG Muster Defensiv Plus;09.11.2020;-0,0035264997;-6.138,02;0,0171272578;29.205,40;0,009299578;EUR
ESG Muster Defensiv Plus;10.11.2020;-0,0026118215;-4.529,96;0,0144707030;24.675,44;0,000310328;EUR
ESG Muster Defensiv Plus;11.11.2020;0,0060506795;10.466,92;0,0206089401;35.142,36;0,003564506;EUR
ESG Muster Defensiv Plus;12.11.2020;-0,0026299291;-4.576,98;0,0179248110;30.565,38;-0,003574043;EUR
ESG Muster Defensiv Plus;13.11.2020;0,0034969519;6.069,89;0,0214844451;36.635,27;0,002211144;EUR
ESG Muster Defensiv Plus;14.11.2020;0,0000073140;12,74;0,0214919162;36.648,01;0;EUR
ESG Muster Defensiv Plus;15.11.2020;0,0000073139;12,74;0,0214993873;36.660,75;0;EUR
ESG Muster Defensiv Plus;16.11.2020;0,0023883879;4.160,24;0,0239391241;40.820,99;0,002741069;EUR
ESG Muster Defensiv Plus;17.11.2020;-0,0003347901;-584,55;0,0235963194;40.236,44;-0,000318006;EUR
ESG Muster Defensiv Plus;18.11.2020;-0,0035378335;-6.175,06;0,0199750060;34.061,37;0,000250415;EUR
ESG Muster Defensiv Plus;19.11.2020;0,0005574150;969,49;0,0205435553;35.030,86;-0,000714032;EUR
ESG Muster Defensiv Plus;20.11.2020;0,0001900320;330,70;0,0207374912;35.361,56;0,000504279;EUR
ESG Muster Defensiv Plus;21.11.2020;0,0000073193;12,74;0,0207449623;35.374,30;0;EUR
ESG Muster Defensiv Plus;22.11.2020;0,0000073193;12,74;0,0207524334;35.387,04;0;EUR
ESG Muster Defensiv Plus;23.11.2020;0,0016244961;2.827,58;0,0224106418;38.214,62;0,001237471;EUR
ESG Muster Defensiv Plus;24.11.2020;0,0029613440;5.162,85;0,0254383514;43.377,47;0,003696786;EUR
ESG Muster Defensiv Plus;25.11.2020;0,0010255349;1.793,23;0,0264899742;45.170,70;-0,000160366;EUR
ESG Muster Defensiv Plus;26.11.2020;0,0020371769;3.565,81;0,0285811158;48.736,51;0,000410539;EUR
ESG Muster Defensiv Plus;27.11.2020;-0,0006740275;-1.182,20;0,0278878239;47.554,31;0,000920568;EUR
ESG Muster Defensiv Plus;28.11.2020;0,0000072684;12,74;0,0278952950;47.567,05;0;EUR
ESG Muster Defensiv Plus;29.11.2020;0,0000072684;12,74;0,0279027661;47.579,79;0;EUR
ESG Muster Defensiv Plus;30.11.2020;0,0004124537;722,94;0,0283267284;48.302,73;-0,002309658;EUR
ESG Muster Defensiv Plus;01.12.2020;-0,0030119287;-5.281,42;0,0252294816;43.021,30;0,000423688;EUR
ESG Muster Defensiv Plus;02.12.2020;-0,0024430195;-4.270,94;0,0227248259;38.750,37;-0,001769978;EUR
ESG Muster Defensiv Plus;03.12.2020;-0,0008885468;-1.549,58;0,0218160870;37.200,79;-0,000674382;EUR
ESG Muster Defensiv Plus;04.12.2020;0,0039774882;6.930,38;0,0258803484;44.131,16;0,002444954;EUR
ESG Muster Defensiv Plus;05.12.2020;0,0000072826;12,74;0,0258878195;44.143,90;0;EUR
ESG Muster Defensiv Plus;06.12.2020;0,0000072826;12,74;0,0258952906;44.156,64;0;EUR
ESG Muster Defensiv Plus;07.12.2020;0,0015918226;2.784,67;0,0275283340;46.941,31;0,000398277;EUR
ESG Muster Defensiv Plus;08.12.2020;0,0021930421;3.842,52;0,0297817468;50.783,83;0,001774644;EUR
ESG Muster Defensiv Plus;09.12.2020;-0,0036115740;-6.341,86;0,0260626139;44.441,96;0,000152736;EUR
ESG Muster Defensiv Plus;10.12.2020;-0,0032093628;-5.615,23;0,0227696066;38.826,73;-0,001923947;EUR
ESG Muster Defensiv Plus;11.12.2020;0,0012199376;2.127,60;0,0240173217;40.954,33;-0,001164952;EUR
ESG Muster Defensiv Plus;12.12.2020;0,0000072959;12,74;0,0240247929;40.967,07;0;EUR
ESG Muster Defensiv Plus;13.12.2020;0,0000072958;12,74;0,0240322640;40.979,81;0;EUR
ESG Muster Defensiv Plus;14.12.2020;0,0001854085;323,76;0,0242221283;41.303,57;0,000762446;EUR
ESG Muster Defensiv Plus;15.12.2020;0,0021136718;3.691,53;0,0263869977;44.995,10;0,001889663;EUR
ESG Muster Defensiv Plus;16.12.2020;0,0032015532;5.603,34;0,0296730303;50.598,44;0,001458026;EUR
ESG Muster Defensiv Plus;17.12.2020;0,0042854521;7.524,39;0,0340856447;58.122,83;0,002271786;EUR
ESG Muster Defensiv Plus;18.12.2020;-0,0012605923;-2.222,83;0,0327820843;55.900,00;-0,000449195;EUR
ESG Muster Defensiv Plus;19.12.2020;0,0000072340;12,74;0,0327895554;55.912,74;0;EUR
ESG Muster Defensiv Plus;20.12.2020;0,0000072339;12,74;0,0327970265;55.925,48;0;EUR
ESG Muster Defensiv Plus;21.12.2020;-0,0027354126;-4.817,40;0,0299719005;51.108,08;-0,005866795;EUR
