Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Währung
ESG Muster ausgewogen;30.09.2020;0;0;0;0;0;EUR
ESG Muster ausgewogen;01.10.2020;0,0043813681;6.775,00;0,0043813681;6.775,00;0,000687729;EUR
ESG Muster ausgewogen;02.10.2020;-0,0069394058;-10.777,57;-0,0025884419;-4.002,56;-0,001832997;EUR
ESG Muster ausgewogen;03.10.2020;0,0000067777;10,45;-0,0025816818;-3.992,11;0;EUR
ESG Muster ausgewogen;04.10.2020;0,0000067776;10,45;-0,0025749217;-3.981,66;0;EUR
ESG Muster ausgewogen;05.10.2020;0,0056825773;8.764,46;0,0030930235;4.782,81;0,005526183;EUR
ESG Muster ausgewogen;06.10.2020;-0,0054083310;-8.388,88;-0,0023320357;-3.606,08;-0,000886135;EUR
ESG Muster ausgewogen;07.10.2020;0,0054420635;8.395,55;0,0030973367;4.789,48;0,003653536;EUR
ESG Muster ausgewogen;08.10.2020;0,0022623226;3.509,11;0,0053666665;8.298,59;0,004984085;EUR
ESG Muster ausgewogen;09.10.2020;0,0039931638;6.207,85;0,0093812603;14.506,44;0,001340258;EUR
ESG Muster ausgewogen;10.10.2020;0,0000015798;2,47;0,0093828549;14.508,91;0;EUR
ESG Muster ausgewogen;11.10.2020;0,0000015798;2,47;0,0093844494;14.511,37;0;EUR
ESG Muster ausgewogen;12.10.2020;0,0092424803;14.425,96;0,0187136653;28.937,34;0,004505664;EUR
ESG Muster ausgewogen;13.10.2020;0,0017986202;2.833,29;0,0205459444;31.770,63;-0,001683841;EUR
ESG Muster ausgewogen;14.10.2020;-0,0017579741;-2.774,24;0,0187518510;28.996,39;-0,000878972;EUR
ESG Muster ausgewogen;15.10.2020;-0,0065895285;-10.380,60;0,0120387566;18.615,79;-0,006155720;EUR
ESG Muster ausgewogen;16.10.2020;0,0047924909;7.499,95;0,0168889432;26.115,73;0,003956603;EUR
ESG Muster ausgewogen;17.10.2020;0,0000015681;2,47;0,0168905378;26.118,20;0;EUR
ESG Muster ausgewogen;18.10.2020;0,0000015681;2,47;0,0168921324;26.120,66;0;EUR
ESG Muster ausgewogen;19.10.2020;-0,0100023280;-15.728,08;0,0067208437;10.392,58;-0,004276687;EUR
ESG Muster ausgewogen;20.10.2020;-0,0024192091;-3.766,02;0,0042853755;6.626,57;-0,002648681;EUR
ESG Muster ausgewogen;21.10.2020;-0,0019112335;-2.968,05;0,0023659516;3.658,52;-0,005066377;EUR
ESG Muster ausgewogen;22.10.2020;-0,0012873367;-1.995,35;0,0010755692;1.663,18;0,000450387;EUR
ESG Muster ausgewogen;23.10.2020;0,0006885996;1.065,94;0,0017649094;2.729,12;0,002086904;EUR
ESG Muster ausgewogen;24.10.2020;0,0000015918;2,47;0,0017665040;2.731,58;0;EUR
ESG Muster ausgewogen;25.10.2020;0,0000015918;2,47;0,0017680986;2.734,05;0;EUR
ESG Muster ausgewogen;26.10.2020;-0,0164817563;-25.531,15;-0,0147427991;-22.797,10;-0,012495171;EUR
ESG Muster ausgewogen;27.10.2020;0,0045721774;6.965,82;-0,0102380283;-15.831,28;-0,002710674;EUR
ESG Muster ausgewogen;28.10.2020;-0,0227094159;-34.756,53;-0,0327149446;-50.587,81;-0,016403744;EUR
ESG Muster ausgewogen;29.10.2020;0,0056193001;8.404,98;-0,0272794795;-42.182,84;0,003794270;EUR
ESG Muster ausgewogen;30.10.2020;-0,0054945995;-8.264,64;-0,0326241893;-50.447,48;-0,002408189;EUR
ESG Muster ausgewogen;31.10.2020;0,0000016484;2,47;-0,0326225947;-50.445,01;0;EUR
ESG Muster ausgewogen;01.11.2020;0,0000016484;2,47;-0,0326210001;-50.442,55;0;EUR
ESG Muster ausgewogen;02.11.2020;0,0081138810;12.137,38;-0,0247718020;-38.305,16;0,009083034;EUR
ESG Muster ausgewogen;03.11.2020;0,0061130158;9.218,53;-0,0188102166;-29.086,64;0,009264735;EUR
ESG Muster ausgewogen;04.11.2020;0,0255481857;38.762,59;0,0062574022;9.675,95;0,009874432;EUR
ESG Muster ausgewogen;05.11.2020;0,0082449195;12.829,07;0,0145539135;22.505,03;0,006700279;EUR
ESG Muster ausgewogen;06.11.2020;-0,0038401101;-6.024,47;0,0106579148;16.480,56;-0,001997746;EUR
ESG Muster ausgewogen;07.11.2020;0,0000039970;6,25;0,0106619544;16.486,81;0;EUR
ESG Muster ausgewogen;08.11.2020;0,0000039970;6,25;0,0106659941;16.493,05;0;EUR
ESG Muster ausgewogen;09.11.2020;-0,0030935252;-4.834,61;0,0075394733;11.658,45;0,014283076;EUR
ESG Muster ausgewogen;10.11.2020;-0,0091091854;-14.191,93;-0,0016383905;-2.533,48;0,000707548;EUR
ESG Muster ausgewogen;11.11.2020;0,0099917767;15.425,18;0,0083370158;12.891,70;0,004805960;EUR
ESG Muster ausgewogen;12.11.2020;-0,0036658312;-5.715,81;0,0046406224;7.175,89;-0,005371759;EUR
ESG Muster ausgewogen;13.11.2020;0,0039554267;6.144,74;0,0086144048;13.320,64;0,002982711;EUR
ESG Muster ausgewogen;14.11.2020;0,0000040051;6,25;0,0086184444;13.326,88;0;EUR
ESG Muster ausgewogen;15.11.2020;0,0000040051;6,25;0,0086224841;13.333,13;0;EUR
ESG Muster ausgewogen;16.11.2020;0,0022582274;3.522,05;0,0109001830;16.855,18;0,003792533;EUR
ESG Muster ausgewogen;17.11.2020;-0,0032868832;-5.137,98;0,0075774721;11.717,21;-0,000669694;EUR
ESG Muster ausgewogen;18.11.2020;-0,0052278171;-8.145,14;0,0023100414;3.572,07;0,000348477;EUR
ESG Muster ausgewogen;19.11.2020;-0,0001875140;-290,63;0,0021220942;3.281,44;-0,001131334;EUR
ESG Muster ausgewogen;20.11.2020;0,0007325937;1.135,23;0,0028562426;4.416,67;0,000393983;EUR
ESG Muster ausgewogen;21.11.2020;0,0000040281;6,25;0,0028602822;4.422,92;0;EUR
ESG Muster ausgewogen;22.11.2020;0,0000040281;6,25;0,0028643218;4.429,16;0;EUR
ESG Muster ausgewogen;23.11.2020;-0,0007435826;-1.153,11;0,0021186093;3.276,05;0,001775984;EUR
ESG Muster ausgewogen;24.11.2020;0,0027889030;4.321,68;0,0049134209;7.597,73;0,005291592;EUR
ESG Muster ausgewogen;25.11.2020;0,0009352413;1.453,29;0,0058532574;9.051,02;-0,000311191;EUR
ESG Muster ausgewogen;26.11.2020;0,0029335022;4.562,69;0,0088039301;13.613,70;0,000482703;EUR
ESG Muster ausgewogen;27.11.2020;0,0000121191;18,90;0,0088161559;13.632,61;0,001305673;EUR
ESG Muster ausgewogen;28.11.2020;0,0000040043;6,25;0,0088201955;13.638,86;0;EUR
ESG Muster ausgewogen;29.11.2020;0,0000040043;6,25;0,0088242352;13.645,10;0;EUR
ESG Muster ausgewogen;30.11.2020;0,0016765598;2.615,38;0,0105155893;16.260,48;-0,003045283;EUR
ESG Muster ausgewogen;01.12.2020;-0,0020161002;-3.150,32;0,0084782887;13.110,16;0,001268893;EUR
ESG Muster ausgewogen;02.12.2020;-0,0033813478;-5.272,98;0,0050682729;7.837,18;-0,002525540;EUR
ESG Muster ausgewogen;03.12.2020;-0,0012700827;-1.973,91;0,0037917531;5.863,27;-0,001515120;EUR
ESG Muster ausgewogen;04.12.2020;0,0033217104;5.155,91;0,0071260586;11.019,18;0,003417619;EUR
ESG Muster ausgewogen;05.12.2020;0,0000040111;6,25;0,0071300982;11.025,42;0;EUR
