Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Risiko freier Zins
ESG Muster defensiv;30.09.2020;0;0;0;0;0;-0,00498000
ESG Muster defensiv;01.10.2020;0,0026132599;3.844,49;0,0026132599;3.844,49;0,000543709;-0,00498000
ESG Muster defensiv;02.10.2020;-0,0009377593;-1.383,19;0,0016730500;2.461,31;-0,000078885;-0,00505000
ESG Muster defensiv;03.10.2020;0,0000284620;41,94;0,0017015596;2.503,25;0;-0,00505000
ESG Muster defensiv;04.10.2020;0,0000284612;41,94;0,0017300693;2.545,19;0;-0,00505000
ESG Muster defensiv;05.10.2020;0,0012264525;1.807,42;0,0029586437;4.352,61;0,001133329;-0,00509000
ESG Muster defensiv;06.10.2020;-0,0003388767;-500,01;0,0026187644;3.852,59;-0,000016645;-0,00505000
ESG Muster defensiv;07.10.2020;0,0007524394;1.109,85;0,0033731743;4.962,44;0,000701711;-0,00508000
ESG Muster defensiv;08.10.2020;0,0029476428;4.351,05;0,0063307600;9.313,49;0,002053590;-0,00506000
ESG Muster defensiv;09.10.2020;0,0017794634;2.634,43;0,0081214887;11.947,92;0,000877105;-0,00509000
ESG Muster defensiv;10.10.2020;0,0000282449;41,89;0,0081499630;11.989,81;0;-0,00509000
ESG Muster defensiv;11.10.2020;0,0000282441;41,89;0,0081784373;12.031,70;0;-0,00509000
ESG Muster defensiv;12.10.2020;0,0040530370;6.011,39;0,0122646217;18.043,09;0,001506994;-0,00511000
ESG Muster defensiv;13.10.2020;0,0003803832;566,46;0,0126496702;18.609,55;0,000005548;-0,00508000
ESG Muster defensiv;14.10.2020;0,0012983697;1.934,26;0,0139644638;20.543,81;0,000261666;-0,00511000
ESG Muster defensiv;15.10.2020;-0,0025872804;-3.859,43;0,0113410534;16.684,38;-0,000855513;-0,00507000
ESG Muster defensiv;16.10.2020;0,0008133869;1.210,18;0,0121636649;17.894,56;0,001381728;-0,00509000
ESG Muster defensiv;17.10.2020;0,0000281663;41,94;0,0121921739;17.936,50;0;-0,00509000
ESG Muster defensiv;18.10.2020;0,0000281656;41,94;0,0122206828;17.978,45;0;-0,00509000
ESG Muster defensiv;19.10.2020;-0,0018691575;-2.783,41;0,0103286830;15.195,03;-0,000737888;-0,00509000
ESG Muster defensiv;20.10.2020;-0,0022987829;-3.416,78;0,0080061567;11.778,25;-0,001025236;-0,00507000
ESG Muster defensiv;21.10.2020;-0,0010945612;-1.623,15;0,0069028322;10.155,09;-0,001368798;-0,00507000
