Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Risiko freier Zins
ESG Muster offensiv;30.09.2020;0;0;0;0;0;-0,00498000
ESG Muster offensiv;01.10.2020;0,0043341865;8.537,88;0,0043341865;8.537,88;0,000783742;-0,00498000
ESG Muster offensiv;02.10.2020;-0,0082858742;-16.393,02;-0,0039876002;-7.855,14;-0,003002405;-0,00505000
ESG Muster offensiv;03.10.2020;0;0;-0,0039876002;-7.855,14;0;-0,00505000
ESG Muster offensiv;04.10.2020;0;0;-0,0039876002;-7.855,14;0;-0,00505000
ESG Muster offensiv;05.10.2020;0,0077102084;15.127,71;0,0036918629;7.272,57;0,008454753;-0,00509000
ESG Muster offensiv;06.10.2020;-0,0043283697;-8.557,90;-0,0006524866;-1.285,33;-0,001465795;-0,00505000
ESG Muster offensiv;07.10.2020;0,0040500769;7.973,01;0,0033949477;6.687,68;0,005621420;-0,00508000
ESG Muster offensiv;08.10.2020;0,0048617902;9.609,72;0,0082732435;16.297,40;0,006937749;-0,00506000
ESG Muster offensiv;09.10.2020;0,0049729040;9.877,13;0,0132872895;26.174,52;0,001649026;-0,00509000
ESG Muster offensiv;10.10.2020;0;0;0,0132872895;26.174,52;0;-0,00509000
ESG Muster offensiv;11.10.2020;0;0;0,0132872895;26.174,52;0;-0,00509000
ESG Muster offensiv;12.10.2020;0,0085866563;17.139,54;0,0219880392;43.314,06;0,006504778;-0,00511000
ESG Muster offensiv;13.10.2020;0,0007744984;1.559,22;0,0227795673;44.873,29;-0,002810100;-0,00508000
ESG Muster offensiv;14.10.2020;-0,0032477201;-6.543,39;0,0194578656;38.329,89;-0,001639397;-0,00511000
ESG Muster offensiv;15.10.2020;-0,0109655503;-22.021,26;0,0082789490;16.308,64;-0,009689192;-0,00507000
ESG Muster offensiv;16.10.2020;0,0076666172;15.227,44;0,0160090378;31.536,07;0,005673187;-0,00509000
ESG Muster offensiv;17.10.2020;0;0;0,0160090378;31.536,07;0;-0,00509000
ESG Muster offensiv;18.10.2020;0;0;0,0160090378;31.536,07;0;-0,00509000
ESG Muster offensiv;19.10.2020;-0,0116855878;-23.387,86;0,0041363750;8.148,21;-0,006635886;-0,00509000
ESG Muster offensiv;20.10.2020;-0,0032560755;-6.440,65;0,0008668312;1.707,56;-0,003730978;-0,00507000
ESG Muster offensiv;21.10.2020;-0,0059238565;-11.679,47;-0,0050621603;-9.971,91;-0,007531430;-0,00507000
ESG Muster offensiv;22.10.2020;-0,0038353876;-7.517,05;-0,0088781326;-17.488,96;0,001252104;-0,00511000
