Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Währung
ETF Muster 100/100 offensiv;30.11.2015;0;0;0;0;0;EUR
ETF Muster 100/100 offensiv;01.12.2015;-0,0025749771;-260,21;-0,0025749771;-260,21;0,002768813;EUR
ETF Muster 100/100 offensiv;02.12.2015;0,0000788202;7,94;-0,0024963599;-252,27;-0,002331777;EUR
ETF Muster 100/100 offensiv;03.12.2015;-0,0196830277;-1.984,09;-0,0221302517;-2.236,36;-0,020774357;EUR
ETF Muster 100/100 offensiv;04.12.2015;0,0046561436;460,11;-0,0175771497;-1.776,25;0,002494231;EUR
ETF Muster 100/100 offensiv;05.12.2015;0;0;-0,0175771497;-1.776,25;0;EUR
ETF Muster 100/100 offensiv;06.12.2015;0;0;-0,0175771497;-1.776,25;0;EUR
ETF Muster 100/100 offensiv;07.12.2015;0,0073014195;724,87;-0,0104040683;-1.051,38;0,000519925;EUR
ETF Muster 100/100 offensiv;08.12.2015;0;0;-0,0104040683;-1.051,38;-0,005410897;EUR
ETF Muster 100/100 offensiv;09.12.2015;0;0;-0,0104040683;-1.051,38;-0,006369622;EUR
ETF Muster 100/100 offensiv;10.12.2015;0;0;-0,0104040683;-1.051,38;0,001520604;EUR
ETF Muster 100/100 offensiv;11.12.2015;0;0;-0,0104040683;-1.051,38;-0,010117139;EUR
ETF Muster 100/100 offensiv;12.12.2015;0;0;-0,0104040683;-1.051,38;0;EUR
ETF Muster 100/100 offensiv;13.12.2015;0;0;-0,0104040683;-1.051,38;0;EUR
ETF Muster 100/100 offensiv;14.12.2015;0;0;-0,0104040683;-1.051,38;-0,003589785;EUR
ETF Muster 100/100 offensiv;15.12.2015;0;0;-0,0104040683;-1.051,38;0,008204049;EUR
ETF Muster 100/100 offensiv;16.12.2015;0;0;-0,0104040683;-1.051,38;0,005509885;EUR
ETF Muster 100/100 offensiv;17.12.2015;0;0;-0,0104040683;-1.051,38;0,001935328;EUR
ETF Muster 100/100 offensiv;18.12.2015;0;0;-0,0104040683;-1.051,38;-0,006363660;EUR
ETF Muster 100/100 offensiv;19.12.2015;0;0;-0,0104040683;-1.051,38;0;EUR
ETF Muster 100/100 offensiv;20.12.2015;0;0;-0,0104040683;-1.051,38;0;EUR
ETF Muster 100/100 offensiv;21.12.2015;0;0;-0,0104040683;-1.051,38;-0,001701549;EUR
ETF Muster 100/100 offensiv;22.12.2015;-0,0000499985;-5,00;-0,0104535466;-1.056,38;0,000547879;EUR
ETF Muster 100/100 offensiv;23.12.2015;0,0000500010;5,00;-0,0104040683;-1.051,38;0,010095972;EUR
ETF Muster 100/100 offensiv;24.12.2015;0;0;-0,0104040683;-1.051,38;-0,002851945;EUR
ETF Muster 100/100 offensiv;25.12.2015;0;0;-0,0104040683;-1.051,38;-0,000208786;EUR
ETF Muster 100/100 offensiv;26.12.2015;0;0;-0,0104040683;-1.051,38;0;EUR
ETF Muster 100/100 offensiv;27.12.2015;0;0;-0,0104040683;-1.051,38;0;EUR
ETF Muster 100/100 offensiv;28.12.2015;0,0000999971;10,00;-0,0103051116;-1.041,38;-0,000509855;EUR
ETF Muster 100/100 offensiv;29.12.2015;-0,0000499935;-5,00;-0,0103545899;-1.046,38;0,006877705;EUR
ETF Muster 100/100 offensiv;30.12.2015;0,0001999841;20,00;-0,0101566765;-1.026,38;-0,003000207;EUR
ETF Muster 100/100 offensiv;31.12.2015;0;0;-0,0101566765;-1.026,38;-0,001749049;EUR
ETF Muster 100/100 offensiv;01.01.2016;0;0;-0,0101566765;-1.026,38;0;EUR
ETF Muster 100/100 offensiv;02.01.2016;0;0;-0,0101566765;-1.026,38;0;EUR
ETF Muster 100/100 offensiv;03.01.2016;0;0;-0,0101566765;-1.026,38;0;EUR
ETF Muster 100/100 offensiv;04.01.2016;0,0000499860;5,00;-0,0101071982;-1.021,38;-0,005991859;EUR
ETF Muster 100/100 offensiv;05.01.2016;0,0000999671;10,00;-0,0100082415;-1.011,38;0,004126636;EUR
ETF Muster 100/100 offensiv;06.01.2016;0;0;-0,0100082415;-1.011,38;-0,006998676;EUR
ETF Muster 100/100 offensiv;07.01.2016;-0,0002498927;-25,00;-0,0102556332;-1.036,38;-0,014872591;EUR
ETF Muster 100/100 offensiv;08.01.2016;0,0001499731;15,00;-0,0101071982;-1.021,38;-0,007613483;EUR
ETF Muster 100/100 offensiv;09.01.2016;0;0;-0,0101071982;-1.021,38;0;EUR
ETF Muster 100/100 offensiv;10.01.2016;0;0;-0,0101071982;-1.021,38;0;EUR
ETF Muster 100/100 offensiv;11.01.2016;0;0;-0,0101071982;-1.021,38;0,000779297;EUR
