Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Währung
ETF Muster 40/60 ausgew.;30.11.2015;0;0;0;0;0;EUR
ETF Muster 40/60 ausgew.;01.12.2015;-0,0009597141;-96,75;-0,0009597141;-96,75;0,001546621;EUR
ETF Muster 40/60 ausgew.;02.12.2015;0,0004130889;41,61;-0,0005470216;-55,15;-0,000833493;EUR
ETF Muster 40/60 ausgew.;03.12.2015;-0,0119661516;-1.205,70;-0,0125066275;-1.260,84;-0,012389262;EUR
ETF Muster 40/60 ausgew.;04.12.2015;0,0012879250;128,22;-0,0112348101;-1.132,63;-0,000004855;EUR
ETF Muster 40/60 ausgew.;05.12.2015;0;0;-0,0112348101;-1.132,63;0;EUR
ETF Muster 40/60 ausgew.;06.12.2015;0;0;-0,0112348101;-1.132,63;0;EUR
ETF Muster 40/60 ausgew.;07.12.2015;0,0037895474;377,75;-0,0074878375;-754,88;0,001995839;EUR
ETF Muster 40/60 ausgew.;08.12.2015;-0,0001987824;-19,89;-0,0076851315;-774,77;-0,002052238;EUR
ETF Muster 40/60 ausgew.;09.12.2015;-0,0012664026;-126,69;-0,0089418015;-901,46;-0,003051109;EUR
ETF Muster 40/60 ausgew.;10.12.2015;0,0003451017;34,48;-0,0085997857;-866,98;0,001251939;EUR
ETF Muster 40/60 ausgew.;11.12.2015;-0,0000015008;-0,15;-0,0086012736;-867,13;-0,003619494;EUR
ETF Muster 40/60 ausgew.;12.12.2015;0;0;-0,0086012736;-867,13;0;EUR
ETF Muster 40/60 ausgew.;13.12.2015;0;0;-0,0086012736;-867,13;0;EUR
ETF Muster 40/60 ausgew.;14.12.2015;-0,0006578492;-65,75;-0,0092534645;-932,88;-0,002242566;EUR
ETF Muster 40/60 ausgew.;15.12.2015;0,0000291346;2,91;-0,0092245994;-929,97;0,001716336;EUR
ETF Muster 40/60 ausgew.;16.12.2015;-0,0005824752;-58,18;-0,0098017015;-988,15;0,001992727;EUR
ETF Muster 40/60 ausgew.;17.12.2015;0,0011893707;118,73;-0,0086239887;-869,42;0,002074788;EUR
