Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Währung
Muster Defensiv Plus cVV;30.12.2008;0;0;0;0;0;EUR
Muster Defensiv Plus cVV;31.12.2008;0,0013533311;1.359,01;0,0013533311;1.359,01;0,007796362;EUR
Muster Defensiv Plus cVV;01.01.2009;0,0000785740;79,01;0,0014320114;1.438,02;0;EUR
Muster Defensiv Plus cVV;02.01.2009;0,0014451924;1.453,34;0,0028792733;2.891,36;0,011338005;EUR
Muster Defensiv Plus cVV;03.01.2009;0,0000784545;79,01;0,0029579537;2.970,37;0;EUR
Muster Defensiv Plus cVV;04.01.2009;0,0000784483;79,01;0,0030366341;3.049,38;0;EUR
Muster Defensiv Plus cVV;05.01.2009;0,0021979094;2.213,84;0,0052412177;5.263,21;0,004614411;EUR
Muster Defensiv Plus cVV;06.01.2009;0,0013881786;1.401,31;0,0066366720;6.664,52;0,008375310;EUR
Muster Defensiv Plus cVV;07.01.2009;-0,0062543350;-6.322,26;0,0003408291;342,26;-0,011200889;EUR
Muster Defensiv Plus cVV;08.01.2009;-0,0036134632;-3.629,86;-0,0032738657;-3.287,61;-0,000541928;EUR
Muster Defensiv Plus cVV;09.01.2009;-0,0060569334;-6.062,44;-0,0093109695;-9.350,04;0,001648362;EUR
Muster Defensiv Plus cVV;10.01.2009;0,0000794198;79,01;-0,0092322891;-9.271,03;0;EUR
Muster Defensiv Plus cVV;11.01.2009;0,0000794135;79,01;-0,0091536088;-9.192,02;0;EUR
Muster Defensiv Plus cVV;12.01.2009;-0,0028665923;-2.852,27;-0,0119939614;-12.044,30;-0,004215014;EUR
Muster Defensiv Plus cVV;13.01.2009;-0,0067477767;-6.694,82;-0,0186608055;-18.739,12;0,000065150;EUR
Muster Defensiv Plus cVV;14.01.2009;-0,0109874573;-10.827,67;-0,0294432280;-29.566,79;-0,010724851;EUR
