Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Risiko freier Zins
Muster FFPB Pro Dividende;21.10.2024;0;0;0;0;0;0,03138000
Muster FFPB Pro Dividende;22.10.2024;-0,0000267531;-26,75;-0,0000267531;-26,75;-0,004060125;0,03098000
Muster FFPB Pro Dividende;23.10.2024;-0,0002294425;-229,44;-0,0002561895;-256,19;-0,003445699;0,03086000
Muster FFPB Pro Dividende;24.10.2024;-0,0039597802;-3.958,77;-0,0042149552;-4.214,96;-0,001969511;0,03072000
Muster FFPB Pro Dividende;25.10.2024;-0,0034022063;-3.387,87;-0,0076028213;-7.602,82;-0,000214672;0,03059000
Muster FFPB Pro Dividende;26.10.2024;0;0;-0,0076028213;-7.602,82;0;0,03059000
Muster FFPB Pro Dividende;27.10.2024;0;0;-0,0076028213;-7.602,82;0;0,03059000
Muster FFPB Pro Dividende;28.10.2024;0,0053207790;5.280,33;-0,0023224952;-2.322,50;0,004390111;0,03052000
Muster FFPB Pro Dividende;29.10.2024;-0,0066895418;-6.674,01;-0,0089965006;-8.996,50;-0,005114119;0,03056000
Muster FFPB Pro Dividende;30.10.2024;-0,0051748003;-5.128,25;-0,0141247458;-14.124,75;-0,006017916;0,03056000
Muster FFPB Pro Dividende;31.10.2024;-0,0080744690;-7.960,42;-0,0220851650;-22.085,16;-0,006210115;0,03062000
Muster FFPB Pro Dividende;01.11.2024;0,0087093878;8.517,04;-0,0135681254;-13.568,13;0,006544068;0,03085000
Muster FFPB Pro Dividende;02.11.2024;0;0;-0,0135681254;-13.568,13;0;0,03085000
Muster FFPB Pro Dividende;03.11.2024;0;0;-0,0135681254;-13.568,13;0;0,03085000
Muster FFPB Pro Dividende;04.11.2024;-0,0048974684;-4.831,02;-0,0183991443;-18.399,14;0,000220661;0,03075000
Muster FFPB Pro Dividende;05.11.2024;0,0008190306;803,96;-0,0175951832;-17.595,18;0,000507344;0,03057000
Muster FFPB Pro Dividende;06.11.2024;0,0044932872;4.414,23;-0,0131809562;-13.180,96;0,002934120;0,03049000
Muster FFPB Pro Dividende;07.11.2024;-0,0053930801;-5.321,99;-0,0185029503;-18.502,95;-0,000320950;0,03032000
Muster FFPB Pro Dividende;08.11.2024;0,0019121874;1.876,81;-0,0166261441;-16.626,14;-0,000524791;0,03032000
Muster FFPB Pro Dividende;09.11.2024;0;0;-0,0166261441;-16.626,14;0;0,03032000
Muster FFPB Pro Dividende;10.11.2024;0;0;-0,0166261441;-16.626,14;0;0,03032000
Muster FFPB Pro Dividende;11.11.2024;0,0051634706;5.077,62;-0,0115485220;-11.548,52;0,005843739;0,03040000
Muster FFPB Pro Dividende;12.11.2024;-0,0145307438;-14.362,94;-0,0259114573;-25.911,46;-0,012353299;0,03034000
Muster FFPB Pro Dividende;13.11.2024;0,0035838222;3.490,96;-0,0224204971;-22.420,50;-0,001175274;0,03023000
Muster FFPB Pro Dividende;14.11.2024;0,0080154286;7.835,72;-0,0145847784;-14.584,78;0,007026201;0,03005000
Muster FFPB Pro Dividende;15.11.2024;0,0000432301;42,60;-0,0145421788;-14.542,18;0,002651498;0,02998000
Muster FFPB Pro Dividende;16.11.2024;0;0;-0,0145421788;-14.542,18;0;0,02998000
Muster FFPB Pro Dividende;17.11.2024;0;0;-0,0145421788;-14.542,18;0;0,02998000
Muster FFPB Pro Dividende;18.11.2024;0,0026364404;2.598,10;-0,0119440781;-11.944,08;0,003608914;0,03004000
Muster FFPB Pro Dividende;19.11.2024;-0,0067872885;-6.706,22;-0,0186502987;-18.650,30;-0,005154031;0,03013000
Muster FFPB Pro Dividende;20.11.2024;0,0019684500;1.931,74;-0,0167185609;-16.718,56;-0,001333762;0,03000000
Muster FFPB Pro Dividende;21.11.2024;0,0102576442;10.086,15;-0,0066324097;-6.632,41;0,007403990;0,03005000
Muster FFPB Pro Dividende;22.11.2024;0,0100139962;9.947,58;0,0033151696;3.315,17;0,005342426;0,03022000
Muster FFPB Pro Dividende;23.11.2024;0;0;0,0033151696;3.315,17;0;0,03022000
Muster FFPB Pro Dividende;24.11.2024;0;0;0,0033151696;3.315,17;0;0,03022000
Muster FFPB Pro Dividende;25.11.2024;0,0002475453;248,37;0,0035635355;3.563,54;0,001064506;0,02985000
Muster FFPB Pro Dividende;26.11.2024;-0,0013065563;-1.311,21;0,0022523233;2.252,32;-0,005971677;0,02898000
Muster FFPB Pro Dividende;27.11.2024;-0,0025637957;-2.569,57;-0,0003172469;-317,25;-0,004482161;0,02912000
Muster FFPB Pro Dividende;28.11.2024;0,0044154510;4.414,05;0,0040968034;4.096,80;0,002802248;0,02939000
Muster FFPB Pro Dividende;29.11.2024;0,0006822093;685,00;0,0047818076;4.781,81;0,002257484;0,02934000
Muster FFPB Pro Dividende;30.11.2024;0;0;0,0047818076;4.781,81;0;0,02934000
Muster FFPB Pro Dividende;01.12.2024;0;0;0,0047818076;4.781,81;0;0,02934000
Muster FFPB Pro Dividende;02.12.2024;0,0051571275;5.181,79;0,0099635955;9.963,60;0,002622735;0,02924000
