Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Risiko freier Zins
Muster FFPB Pro;31.08.2023;0;0;0;0;0;0,03795000
Muster FFPB Pro;01.09.2023;0,0028737082;2.873,36;0,0028737082;2.873,36;0,001052109;0,03770000
Muster FFPB Pro;02.09.2023;0,0000956272;95,89;0,0029696101;2.969,25;0;0,03770000
Muster FFPB Pro;03.09.2023;0,0000956180;95,89;0,0030655121;3.065,14;0;0,03770000
Muster FFPB Pro;04.09.2023;-0,0020579050;-2.063,96;0,0010012986;1.001,18;0,000823510;0,03798000
Muster FFPB Pro;05.09.2023;0,0004051939;405,55;0,0014068982;1.406,73;-0,000449837;0,03802000
Muster FFPB Pro;06.09.2023;-0,0055626418;-5.569,80;-0,0041635696;-4.163,07;-0,006548134;0,03795000
Muster FFPB Pro;07.09.2023;0,0031342363;3.120,81;-0,0010423829;-1.042,26;-0,003277556;0,03799000
Muster FFPB Pro;08.09.2023;0,0031256173;3.121,98;0,0020799763;2.079,73;0,001760483;0,03800000
Muster FFPB Pro;09.09.2023;0,0000029777;2,98;0,0020829602;2.082,71;0;0,03800000
Muster FFPB Pro;10.09.2023;0,0000029777;2,98;0,0020859441;2.085,69;0;0,03800000
Muster FFPB Pro;11.09.2023;0,0039839958;3.991,82;0,0060782503;6.077,52;0,004082463;0,03822000
Muster FFPB Pro;12.09.2023;-0,0009337749;-939,34;0,0051387996;5.138,18;-0,002179353;0,03824000
Muster FFPB Pro;13.09.2023;0,0007330460;736,72;0,0058756124;5.874,90;-0,003204542;0,03845000
Muster FFPB Pro;14.09.2023;0,0138165852;13.896,04;0,0197733412;19.770,94;0,014606355;0,03867000
Muster FFPB Pro;15.09.2023;-0,0059403484;-6.057,06;0,0137155526;13.713,89;-0,001884706;0,03878000
Muster FFPB Pro;16.09.2023;0,0000028335;2,87;0,0137184250;13.716,76;0;0,03878000
Muster FFPB Pro;17.09.2023;0,0000028335;2,87;0,0137212973;13.719,63;0;0,03878000
Muster FFPB Pro;18.09.2023;-0,0034500396;-3.496,94;0,0102239298;10.222,68;-0,006950457;0,03903000
Muster FFPB Pro;19.09.2023;0,0000462227;46,69;0,0102706269;10.269,37;-0,001888217;0,03934000
Muster FFPB Pro;20.09.2023;-0,0012185285;-1.230,89;0,0090395874;9.038,48;0,000098817;0,03934000
Muster FFPB Pro;21.09.2023;-0,0140691928;-14.194,61;-0,0051567574;-5.156,13;-0,013221721;0,03955000
Muster FFPB Pro;22.09.2023;-0,0016772483;-1.668,39;-0,0068253541;-6.824,52;-0,001619858;0,03958000
Muster FFPB Pro;23.09.2023;0,0000030987;3,08;-0,0068222766;-6.821,44;0;0,03958000
Muster FFPB Pro;24.09.2023;0,0000030987;3,08;-0,0068191990;-6.818,36;0;0,03958000
Muster FFPB Pro;25.09.2023;-0,0015819795;-1.571,00;-0,0083903888;-8.389,36;-0,000927856;0,03977000
Muster FFPB Pro;26.09.2023;-0,0057034996;-5.654,94;-0,0140460256;-14.044,30;-0,010932336;0,03941000
Muster FFPB Pro;27.09.2023;-0,0011976708;-1.180,70;-0,0152268733;-15.225,01;0,003053384;0,03972000
Muster FFPB Pro;28.09.2023;0,0027529802;2.710,72;-0,0125158174;-12.514,28;0,004184244;0,03955000
Muster FFPB Pro;29.09.2023;-0,0034868980;-3.442,83;-0,0159590701;-15.957,11;-0,000023201;0,03952000
Muster FFPB Pro;30.09.2023;0,0000031275;3,08;-0,0159559926;-15.954,03;0;0,03952000
Muster FFPB Pro;01.10.2023;0,0000031275;3,08;-0,0159529150;-15.950,96;0;0,03952000
Muster FFPB Pro;02.10.2023;0,0013855541;1.363,28;-0,0145894674;-14.587,68;-0,002678192;0,03951000
Muster FFPB Pro;03.10.2023;-0,0097922823;-9.648,22;-0,0242388742;-24.235,90;-0,010935772;0,03964000
Muster FFPB Pro;04.10.2023;0,0017869738;1.743,44;-0,0224952180;-22.492,45;0,001714996;0,03962000
Muster FFPB Pro;05.10.2023;0,0010933391;1.068,61;-0,0214264761;-21.423,84;-0,000744120;0,03972000
Muster FFPB Pro;06.10.2023;0,0100330813;9.816,89;-0,0116083802;-11.606,95;0,010224742;0,03983000
Muster FFPB Pro;07.10.2023;0,0000031137;3,08;-0,0116053027;-11.603,87;0;0,03983000
Muster FFPB Pro;08.10.2023;0,0000031137;3,08;-0,0116022251;-11.600,80;0;0,03983000
Muster FFPB Pro;09.10.2023;0,0012705513;1.255,65;-0,0103464168;-10.345,14;-0,001797965;0,03980000
Muster FFPB Pro;10.10.2023;0,0076383841;7.558,42;-0,0027870708;-2.786,73;0,013899648;0,03988000
Muster FFPB Pro;11.10.2023;0,0068868182;6.866,77;0,0040805466;4.080,04;0,000270530;0,03952000
Muster FFPB Pro;12.10.2023;0,0045004120;4.518,22;0,0085993186;8.598,26;0,000280617;0,03965000
Muster FFPB Pro;13.10.2023;-0,0043756713;-4.412,75;0,0041860238;4.185,51;-0,008736176;0,03985000
Muster FFPB Pro;14.10.2023;0,0000030647;3,08;0,0041891014;4.188,59;0;0,03985000
Muster FFPB Pro;15.10.2023;0,0000030647;3,08;0,0041921789;4.191,66;0;0,03985000
Muster FFPB Pro;16.10.2023;0,0000029607;2,97;0,0041951522;4.194,64;0,003528368;0,03975000
Muster FFPB Pro;17.10.2023;-0,0016383414;-1.645,01;0,0025499392;2.549,62;-0,000414182;0,03972000
Muster FFPB Pro;18.10.2023;-0,0039105645;-3.920,05;-0,0013705937;-1.370,42;-0,010171568;0,03993000
Muster FFPB Pro;19.10.2023;-0,0151357760;-15.113,15;-0,0164856125;-16.483,58;-0,008065946;0,04002000
Muster FFPB Pro;20.10.2023;-0,0106615000;-10.484,44;-0,0269713431;-26.968,02;-0,014826611;0,03969000
Muster FFPB Pro;21.10.2023;0,0000031629;3,08;-0,0269682656;-26.964,94;0;0,03969000
Muster FFPB Pro;22.10.2023;0,0000031629;3,08;-0,0269651880;-26.961,86;0;0,03969000
Muster FFPB Pro;23.10.2023;-0,0029089464;-2.830,15;-0,0297956925;-29.792,02;-0,000603304;0,03956000
Muster FFPB Pro;24.10.2023;0,0120467292;11.686,34;-0,0181079135;-18.105,68;0,007106233;0,03941000
Muster FFPB Pro;25.10.2023;-0,0013197820;-1.295,72;-0,0194037964;-19.401,40;-0,003738011;0,03938000
Muster FFPB Pro;26.10.2023;-0,0115512668;-11.325,72;-0,0307309170;-30.727,12;-0,006511084;0,03952000
Muster FFPB Pro;27.10.2023;-0,0079641116;-7.718,41;-0,0384502791;-38.445,53;-0,007643053;0,03948000
Muster FFPB Pro;28.10.2023;0,0000010830;1,04;-0,0384492377;-38.444,49;0;0,03948000
Muster FFPB Pro;29.10.2023;0,0000010830;1,04;-0,0384481963;-38.443,45;0;0,03948000
Muster FFPB Pro;30.10.2023;0,0079688997;7.661,56;-0,0307856925;-30.781,89;0,004532692;0,03968000
Muster FFPB Pro;31.10.2023;0,0020581990;1.994,59;-0,0287908584;-28.787,30;0,008467453;0,03972000
Muster FFPB Pro;01.11.2023;0,0130358286;12.658,94;-0,0161303514;-16.128,36;0,010548151;0,03953000
Muster FFPB Pro;02.11.2023;0,0145519348;14.315,43;-0,0018131538;-1.812,93;0,015499502;0,03974000
Muster FFPB Pro;03.11.2023;-0,0084439624;-8.427,61;-0,0102418009;-10.240,54;0,000684921;0,03956000
Muster FFPB Pro;04.11.2023;0,0000036095;3,57;-0,0102382283;-10.236,96;0;0,03956000
Muster FFPB Pro;05.11.2023;0,0000036095;3,57;-0,0102346558;-10.233,39;0;0,03956000
Muster FFPB Pro;06.11.2023;0,0063544622;6.288,65;-0,0039452333;-3.944,75;-0,001435027;0,03963000
Muster FFPB Pro;07.11.2023;0,0013170622;1.311,70;-0,0026333680;-2.633,04;0,001802251;0,03966000
Muster FFPB Pro;08.11.2023;0,0065916800;6.573,51;0,0039409499;3.940,46;0,002212751;0,03973000
Muster FFPB Pro;09.11.2023;-0,0005924580;-594,72;0,0033461574;3.345,74;0,004129602;0,03987000
Muster FFPB Pro;10.11.2023;0,0048963308;4.912,10;0,0082588694;8.257,85;0,002204588;0,03992000
Muster FFPB Pro;11.11.2023;0,0000004993;0,50;0,0082593728;8.258,35;0;0,03992000
Muster FFPB Pro;12.11.2023;0,0000004993;0,50;0,0082598763;8.258,86;0;0,03992000
Muster FFPB Pro;13.11.2023;0,0022125339;2.230,53;0,0104906844;10.489,39;0,003911974;0,04002000
Muster FFPB Pro;14.11.2023;0,0007545139;762,33;0,0112531134;11.251,72;0,010338079;0,03997000
Muster FFPB Pro;15.11.2023;0,0002892860;292,51;0,0115456547;11.544,23;0,003539375;0,03994000
Muster FFPB Pro;16.11.2023;0,0004488961;454,02;0,0119997335;11.998,25;-0,002289817;0,04002000
Muster FFPB Pro;17.11.2023;0,0009728607;984,41;0,0129842679;12.982,66;0,006065506;0,03984000
Muster FFPB Pro;18.11.2023;0,0000005802;0,59;0,0129848556;12.983,25;0;0,03984000
Muster FFPB Pro;19.11.2023;0,0000005802;0,59;0,0129854433;12.983,84;0;0,03984000
Muster FFPB Pro;20.11.2023;0,0044551058;4.512,40;0,0174983986;17.496,24;0,001168403;0,03962000
Muster FFPB Pro;21.11.2023;0,0027610361;2.809,00;0,0203077472;20.305,24;-0,001802664;0,03973000
Muster FFPB Pro;22.11.2023;0,0044834614;4.573,94;0,0248822557;24.879,18;0,006289064;0,03962000
Muster FFPB Pro;23.11.2023;0,0009109738;933,52;0,0258158963;25.812,70;-0,000240077;0,03956000
Muster FFPB Pro;24.11.2023;0,0010657016;1.093,08;0,0269091096;26.905,78;0,000946886;0,03935000
Muster FFPB Pro;25.11.2023;0,0000006240;0,64;0,0269097504;26.906,42;0;0,03935000
Muster FFPB Pro;26.11.2023;0,0000006240;0,64;0,0269103911;26.907,06;0;0,03935000
Muster FFPB Pro;27.11.2023;-0,0030694832;-3.151,69;0,0237583086;23.755,37;-0,002889990;0,03951000
Muster FFPB Pro;28.11.2023;-0,0074036753;-7.578,63;0,0161787379;16.176,74;-0,002158066;0,03955000
Muster FFPB Pro;29.11.2023;0,0023128740;2.350,00;0,0185290304;18.526,74;0,003153062;0,03975000
Muster FFPB Pro;30.11.2023;0,0064531503;6.571,91;0,0251017486;25.098,64;0,006035500;0,03964000
Muster FFPB Pro;01.12.2023;0,0050467522;5.172,79;0,0302751812;30.271,44;0,010466131;0,03960000
Muster FFPB Pro;02.12.2023;0,0000006219;0,64;0,0302758219;30.272,08;0;0,03960000
Muster FFPB Pro;03.12.2023;0,0000006219;0,64;0,0302764627;30.272,72;0;0,03960000
Muster FFPB Pro;04.12.2023;-0,0027225831;-2.804,67;0,0274714507;27.468,05;-0,001780775;0,03962000
Muster FFPB Pro;05.12.2023;0,0067442819;6.928,70;0,0344010052;34.396,75;0,004208337;0,03958000
Muster FFPB Pro;06.12.2023;0,0001905566;197,09;0,0345981172;34.593,84;0,003740091;0,03950000
Muster FFPB Pro;07.12.2023;0,0016945712;1.752,98;0,0363513170;36.346,82;0,002035324;0,03969000
Muster FFPB Pro;08.12.2023;0,0076715940;7.949,48;0,0443017807;44.296,30;0,007900838;0,03950000
Muster FFPB Pro;09.12.2023;0,0000007277;0,76;0,0443025406;44.297,06;0;0,03950000
Muster FFPB Pro;10.12.2023;0,0000007277;0,76;0,0443033005;44.297,82;0;0,03950000
Muster FFPB Pro;11.12.2023;0,0040377480;4.216,11;0,0485199327;48.513,93;0,004498746;0,03958000
Muster FFPB Pro;12.12.2023;0,0026865550;2.816,56;0,0513368384;51.330,49;-0,000263750;0,03928000
Muster FFPB Pro;13.12.2023;-0,0004646112;-488,40;0,0508483759;50.842,08;0,004172813;0,03925000
Muster FFPB Pro;14.12.2023;-0,0154211610;-16.203,29;0,0346430801;34.638,79;-0,003632355;0,03932000
Muster FFPB Pro;15.12.2023;0,0032437855;3.355,74;0,0379992392;37.994,54;0,004326516;0,03920000
Muster FFPB Pro;16.12.2023;0,0000007422;0,77;0,0380000097;37.995,31;0;0,03920000
Muster FFPB Pro;17.12.2023;0,0000007422;0,77;0,0380007801;37.996,08;0;0,03920000
Muster FFPB Pro;18.12.2023;-0,0001052788;-109,27;0,0378915008;37.886,81;-0,002251012;0,03938000
Muster FFPB Pro;19.12.2023;0,0012424013;1.289,32;0,0391809782;39.176,13;0,001841306;0,03923000
Muster FFPB Pro;20.12.2023;-0,0038160014;-3.965,02;0,0352154637;35.211,10;-0,004548109;0,03916000
Muster FFPB Pro;21.12.2023;0,0005744569;594,61;0,0358101503;35.805,72;0,002005574;0,03916000
Muster FFPB Pro;22.12.2023;-0,0000828558;-85,81;0,0357243276;35.719,91;-0,000257958;0,03931000
Muster FFPB Pro;23.12.2023;0,0000008295;0,86;0,0357251867;35.720,76;0;0,03931000
Muster FFPB Pro;24.12.2023;0,0000008295;0,86;0,0357260458;35.721,62;0;0,03931000
Muster FFPB Pro;25.12.2023;-0,0002728583;-282,57;0,0354434396;35.439,05;0,000037231;0,03931000
Muster FFPB Pro;26.12.2023;0,0003707493;383,84;0,0358273295;35.822,89;0,000976418;0,03931000
Muster FFPB Pro;27.12.2023;-0,0031115660;-3.222,65;0,0326042856;32.600,25;-0,000641907;0,03925000
Muster FFPB Pro;28.12.2023;0,0004125369;425,93;0,0330302729;33.026,18;-0,001076481;0,03893000
Muster FFPB Pro;29.12.2023;0,0044282382;4.573,94;0,0376047758;37.600,12;0,002065547;0,03909000
Muster FFPB Pro;30.12.2023;0;0;0,0376047758;37.600,12;0;0,03909000
Muster FFPB Pro;31.12.2023;0;0;0,0376047758;37.600,12;0;0,03909000
Muster FFPB Pro;01.01.2024;-0,0005561161;-576,96;0,0370277474;37.023,16;0,000011447;0,03909000
Muster FFPB Pro;02.01.2024;-0,0002174277;-236,49;0,0367700042;36.786,67;-0,000009471;0,03905000
Muster FFPB Pro;03.01.2024;0,0021460863;2.333,75;0,0390806631;39.120,42;-0,010152316;0,03929000
Muster FFPB Pro;04.01.2024;0,0002063847;224,91;0,0392837025;39.345,34;0,000424436;0,03922000
Muster FFPB Pro;05.01.2024;-0,0004275455;-466,03;0,0387975096;38.879,31;-0,001190334;0,03936000
Muster FFPB Pro;06.01.2024;0,0000007921;0,86;0,0387983708;38.880,17;0;0,03936000
Muster FFPB Pro;07.01.2024;0,0000007921;0,86;0,0387992320;38.881,04;0;0,03936000
Muster FFPB Pro;08.01.2024;0,0107695000;11.733,80;0,0504817605;50.614,84;0,008089519;0,03925000
Muster FFPB Pro;09.01.2024;0,0005069479;558,29;0,0510123089;51.173,12;-0,000586491;0,03928000
Muster FFPB Pro;10.01.2024;0,0018408361;2.028,29;0,0530075219;53.201,42;0,000249488;0,03936000
Muster FFPB Pro;11.01.2024;-0,0041849953;-4.619,65;0,0483808591;48.581,77;-0,002673067;0,03942000
Muster FFPB Pro;12.01.2024;0,0063738147;7.006,36;0,0553315469;55.588,12;0,005146668;0,03932000
Muster FFPB Pro;13.01.2024;0,0000007802;0,86;0,0553324060;55.588,99;0;0,03932000
Muster FFPB Pro;14.01.2024;0,0000007802;0,86;0,0553332651;55.589,85;0;0,03932000
Muster FFPB Pro;15.01.2024;-0,0006663500;-737,15;0,0545737455;54.852,70;-0,002640703;0,03928000
Muster FFPB Pro;16.01.2024;0,0043460957;4.804,66;0,0593265375;59.657,36;-0,000544816;0,03894000
Muster FFPB Pro;17.01.2024;-0,0043565291;-4.837,12;0,0544915594;54.820,23;-0,007709821;0,03903000
Muster FFPB Pro;18.01.2024;0,0101918672;11.266,90;0,0656617777;66.087,13;0,009262582;0,03970000
Muster FFPB Pro;19.01.2024;0,0077855861;8.694,52;0,0742680615;74.781,65;0,003199681;0,03958000
Muster FFPB Pro;20.01.2024;0,0000009046;1,02;0,0742690726;74.782,67;0;0,03958000
Muster FFPB Pro;21.01.2024;0,0000009046;1,02;0,0742700836;74.783,69;0;0,03958000
Muster FFPB Pro;22.01.2024;0,0040077393;4.510,48;0,0787160604;79.294,17;0,005605432;0,03945000
Muster FFPB Pro;23.01.2024;-0,0059887419;-7.066,43;0,0716367179;72.227,74;0,001130373;0,03948000
Muster FFPB Pro;24.01.2024;0,0050992471;5.980,84;0,0775003182;78.208,57;0,009813674;0,03929000
Muster FFPB Pro;25.01.2024;0,0062029380;7.312,44;0,0846734039;85.521,02;0,006664143;0,03925000
Muster FFPB Pro;26.01.2024;0,0057337699;6.801,28;0,0913299490;92.322,30;0,004940826;0,03887000
Muster FFPB Pro;27.01.2024;0,0000010495;1,25;0,0913311875;92.323,55;0;0,03887000
Muster FFPB Pro;28.01.2024;0,0000010495;1,25;0,0913324261;92.324,80;0;0,03887000
Muster FFPB Pro;29.01.2024;0,0088697447;10.581,46;0,1017157081;102.906,26;0,006538608;0,03912000
Muster FFPB Pro;30.01.2024;0,0027945470;3.363,42;0,1049547691;106.269,68;0,000859183;0,03897000
Muster FFPB Pro;31.01.2024;-0,0075970881;-9.169,14;0,0958225621;97.100,54;-0,007563309;0,03905000
Muster FFPB Pro;01.02.2024;0,0068508803;8.205,71;0,1038389240;105.306,25;0,003871167;0,03884000
Muster FFPB Pro;02.02.2024;0,0090214695;10.879,58;0,1144789105;116.185,82;0,006223972;0,03900000
Muster FFPB Pro;03.02.2024;0,0000010289;1,25;0,1144801441;116.187,08;0;0,03900000
Muster FFPB Pro;04.02.2024;0,0000010289;1,25;0,1144813778;116.188,33;0;0,03900000
Muster FFPB Pro;05.02.2024;0,0102514399;12.474,44;0,1266769884;128.662,76;0,001466000;0,03922000
Muster FFPB Pro;06.02.2024;-0,0002166138;-266,29;0,1263212751;128.396,48;0,004667021;0,03932000
Muster FFPB Pro;07.02.2024;0,0079271819;9.742,95;0,1358080283;138.139,42;0,001259783;0,03895000
Muster FFPB Pro;08.02.2024;0,0006125561;758,83;0,1364566569;138.898,26;0,003412981;0,03898000
Muster FFPB Pro;09.02.2024;0,0085982017;10.657,96;0,1468243524;149.556,22;0,001804821;0,03891000
Muster FFPB Pro;10.02.2024;0,0000010015;1,25;0,1468255816;149.557,47;0;0,03891000
Muster FFPB Pro;11.02.2024;0,0000010015;1,25;0,1468268108;149.558,72;0;0,03891000
Muster FFPB Pro;12.02.2024;0,0002621426;327,74;0,1470473184;149.886,46;0,004054742;0,03912000
Muster FFPB Pro;13.02.2024;-0,0050244765;-6.283,34;0,1407877782;143.603,12;-0,009872774;0,03901000
Muster FFPB Pro;14.02.2024;0,0065387778;8.135,95;0,1486654310;151.739,07;0,005962985;0,03922000
Muster FFPB Pro;15.02.2024;0,0023700655;2.968,27;0,1514746530;154.707,34;0,005488955;0,03915000
Muster FFPB Pro;16.02.2024;0,0028916589;3.630,09;0,1549294548;158.337,43;0,001282292;0,03933000
Muster FFPB Pro;17.02.2024;0,0000010019;1,26;0,1549306890;158.338,69;0;0,03933000
Muster FFPB Pro;18.02.2024;0,0000010019;1,26;0,1549319232;158.339,95;0;0,03933000
Muster FFPB Pro;19.02.2024;0,0013083760;1.647,24;0,1564450127;159.987,20;0,000180228;0,03932000
Muster FFPB Pro;20.02.2024;-0,0072848481;-9.183,62;0,1473733194;150.803,58;-0,004755909;0,03943000
Muster FFPB Pro;21.02.2024;-0,0072067930;-9.019,03;0,1384749899;141.784,55;0,002118941;0,03946000
