Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Risiko freier Zins
Muster SCHWEIZ Aktien;11.09.2022;0;0;0;0;0;0,00934000
Muster SCHWEIZ Aktien;12.09.2022;-0,0011138324;-1.113,86;-0,0011138324;-1.113,86;0;0,00988000
Muster SCHWEIZ Aktien;13.09.2022;-0,0052424821;-5.236,77;-0,0063504752;-6.350,63;0;0,01000000
Muster SCHWEIZ Aktien;14.09.2022;0,0000900175;89,45;-0,0062610294;-6.261,18;0;0,01013000
Muster SCHWEIZ Aktien;15.09.2022;-0,0054779218;-5.443,76;-0,0117046538;-11.704,94;0;0,01030000
Muster SCHWEIZ Aktien;16.09.2022;-0,0036782134;-3.635,25;-0,0153398149;-15.340,19;0;0,01063000
Muster SCHWEIZ Aktien;17.09.2022;0;0;-0,0153398149;-15.340,19;0;0,01063000
Muster SCHWEIZ Aktien;18.09.2022;0;0;-0,0153398149;-15.340,19;0;0,01063000
Muster SCHWEIZ Aktien;19.09.2022;-0,0025314222;-2.492,65;-0,0178324056;-17.832,85;0;0,01066000
Muster SCHWEIZ Aktien;20.09.2022;-0,0018081249;-1.775,93;-0,0196082872;-19.608,77;0;0,01100000
Muster SCHWEIZ Aktien;21.09.2022;-0,0016535219;-1.621,14;-0,0212293864;-21.229,91;0;0,01118000
Muster SCHWEIZ Aktien;22.09.2022;-0,0019958314;-1.953,51;-0,0231828475;-23.183,42;0;0,01120000
Muster SCHWEIZ Aktien;23.09.2022;-0,0016273376;-1.589,65;-0,0247724588;-24.773,07;0;0,01153000
Muster SCHWEIZ Aktien;24.09.2022;0;0;-0,0247724588;-24.773,07;0;0,01153000
Muster SCHWEIZ Aktien;25.09.2022;0;0;-0,0247724588;-24.773,07;0;0,01153000
Muster SCHWEIZ Aktien;26.09.2022;0,0002413944;235,42;-0,0245370443;-24.537,65;0;0,01168000
Muster SCHWEIZ Aktien;27.09.2022;0,0034121760;3.328,53;-0,0212085930;-21.209,12;0;0,01228000
Muster SCHWEIZ Aktien;28.09.2022;0,0013429204;1.314,47;-0,0198941540;-19.894,64;0;0,01193000
Muster SCHWEIZ Aktien;29.09.2022;-0,0071536901;-7.011,55;-0,0269055275;-26.906,19;0;0,01160000
Muster SCHWEIZ Aktien;30.09.2022;-0,0037350126;-3.634,61;-0,0305400476;-30.540,80;0;0,01173000
Muster SCHWEIZ Aktien;01.10.2022;0;0;-0,0305400476;-30.540,80;0;0,01173000
Muster SCHWEIZ Aktien;02.10.2022;0;0;-0,0305400476;-30.540,80;0;0,01173000
Muster SCHWEIZ Aktien;03.10.2022;0,0083923247;8.136,22;-0,0224040248;-22.404,58;0;0,01185000
Muster SCHWEIZ Aktien;04.10.2022;0,0025481018;2.491,08;-0,0199130107;-19.913,50;0;0,01173000
Muster SCHWEIZ Aktien;05.10.2022;0,0020786733;2.037,33;-0,0178757301;-17.876,17;0;0,01200000
Muster SCHWEIZ Aktien;06.10.2022;-0,0009661149;-948,87;-0,0188245750;-18.825,04;0;0,01248000
Muster SCHWEIZ Aktien;07.10.2022;-0,0038581180;-3.785,58;-0,0226100656;-22.610,62;0;0,01288000
Muster SCHWEIZ Aktien;08.10.2022;0;0;-0,0226100656;-22.610,62;0;0,01288000
Muster SCHWEIZ Aktien;09.10.2022;0;0;-0,0226100656;-22.610,62;0;0,01288000
Muster SCHWEIZ Aktien;10.10.2022;-0,0048293888;-4.720,31;-0,0273302616;-27.330,94;0;0,01319000
Muster SCHWEIZ Aktien;11.10.2022;-0,0047866040;-4.655,90;-0,0319860465;-31.986,84;0;0,01340000
Muster SCHWEIZ Aktien;12.10.2022;-0,0016726900;-1.619,23;-0,0336052337;-33.606,06;0;0,01363000
Muster SCHWEIZ Aktien;13.10.2022;0,0000359589;34,75;-0,0335704832;-33.571,31;0;0,01378000
Muster SCHWEIZ Aktien;14.10.2022;-0,0038086943;-3.680,93;-0,0372513178;-37.252,24;0;0,01403000
Muster SCHWEIZ Aktien;15.10.2022;0;0;-0,0372513178;-37.252,24;0;0,01403000
Muster SCHWEIZ Aktien;16.10.2022;0;0;-0,0372513178;-37.252,24;0;0,01403000
Muster SCHWEIZ Aktien;17.10.2022;-0,0004777434;-459,96;-0,0377112646;-37.712,19;0;0,01458000
Muster SCHWEIZ Aktien;18.10.2022;0,0000168758;16,24;-0,0376950252;-37.695,95;0;0,01456000
Muster SCHWEIZ Aktien;19.10.2022;-0,0083294809;-8.015,70;-0,0457105261;-45.711,65;0;0,01462000
Muster SCHWEIZ Aktien;20.10.2022;-0,0024547430;-2.342,59;-0,0480530614;-48.054,25;0;0,01502000
Muster SCHWEIZ Aktien;21.10.2022;0,0029291968;2.788,51;-0,0452646215;-45.265,74;0;0,01543000
Muster SCHWEIZ Aktien;22.10.2022;0;0;-0,0452646215;-45.265,74;0;0,01543000
Muster SCHWEIZ Aktien;23.10.2022;0;0;-0,0452646215;-45.265,74;0;0,01543000
Muster SCHWEIZ Aktien;24.10.2022;0,0025228640;2.408,73;-0,0428559540;-42.857,01;0;0,01558000
Muster SCHWEIZ Aktien;25.10.2022;0,0038225039;3.658,78;-0,0391972671;-39.198,23;0;0,01577000
Muster SCHWEIZ Aktien;26.10.2022;-0,0029695507;-2.853,22;-0,0420504195;-42.051,46;0;0,01578000
