Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Währung
Muster SCHWEIZ Substanz;21.09.2022;0;0;0;0;0;EUR
Muster SCHWEIZ Substanz;22.09.2022;0,0002146463;214,04;0,0002146463;214,04;0;EUR
Muster SCHWEIZ Substanz;23.09.2022;0,0046303221;4.618,27;0,0048459622;4.832,32;0;EUR
Muster SCHWEIZ Substanz;24.09.2022;0,0000039058;3,91;0,0048498869;4.836,23;0;EUR
Muster SCHWEIZ Substanz;25.09.2022;0,0000039057;3,91;0,0048538116;4.840,14;0;EUR
Muster SCHWEIZ Substanz;26.09.2022;0,0004780473;479,01;0,0053341793;5.319,16;0;EUR
Muster SCHWEIZ Substanz;27.09.2022;0,0013500234;1.353,40;0,0066914039;6.672,56;0;EUR
Muster SCHWEIZ Substanz;28.09.2022;-0,0009059904;-909,48;0,0057793512;5.763,08;0;EUR
Muster SCHWEIZ Substanz;29.09.2022;-0,0078393683;-7.862,47;-0,0021053236;-2.099,40;0;EUR
Muster SCHWEIZ Substanz;30.09.2022;-0,0031169329;-3.101,61;-0,0052156943;-5.201,01;0;EUR
Muster SCHWEIZ Substanz;01.10.2022;0,0000039079;3,88;-0,0052118068;-5.197,13;0;EUR
Muster SCHWEIZ Substanz;02.10.2022;0,0000039079;3,88;-0,0052079194;-5.193,25;0;EUR
Muster SCHWEIZ Substanz;03.10.2022;-0,0006984852;-692,89;-0,0059027669;-5.886,15;0;EUR
Muster SCHWEIZ Substanz;04.10.2022;-0,0014933774;-1.480,38;-0,0073873292;-7.366,53;0;EUR
Muster SCHWEIZ Substanz;05.10.2022;0,0039843566;3.943,79;-0,0034324064;-3.422,74;0;EUR
Muster SCHWEIZ Substanz;06.10.2022;0,0018469616;1.835,44;-0,0015917843;-1.587,30;0;EUR
Muster SCHWEIZ Substanz;07.10.2022;-0,0002341945;-233,16;-0,0018256060;-1.820,47;0;EUR
Muster SCHWEIZ Substanz;08.10.2022;0,0000039170;3,90;-0,0018216962;-1.816,57;0;EUR
Muster SCHWEIZ Substanz;09.10.2022;0,0000039170;3,90;-0,0018177863;-1.812,67;0;EUR
Muster SCHWEIZ Substanz;10.10.2022;-0,0011449441;-1.139,64;-0,0029606492;-2.952,31;0;EUR
Muster SCHWEIZ Substanz;11.10.2022;0,0004109360;408,57;-0,0025509299;-2.543,75;0;EUR
Muster SCHWEIZ Substanz;12.10.2022;-0,0006049152;-601,67;-0,0031543020;-3.145,42;0;EUR
Muster SCHWEIZ Substanz;13.10.2022;-0,0034890983;-3.468,30;-0,0066323946;-6.613,72;0;EUR
Muster SCHWEIZ Substanz;14.10.2022;0,0009256503;916,92;-0,0057128835;-5.696,80;0;EUR
Muster SCHWEIZ Substanz;15.10.2022;0,0000039371;3,90;-0,0057089689;-5.692,89;0;EUR
Muster SCHWEIZ Substanz;16.10.2022;0,0000039371;3,90;-0,0057050542;-5.688,99;0;EUR
Muster SCHWEIZ Substanz;17.10.2022;-0,0019137012;-1.897,43;-0,0076078376;-7.586,41;0;EUR
Muster SCHWEIZ Substanz;18.10.2022;0,0002254339;223,09;-0,0073841188;-7.363,33;0;EUR
Muster SCHWEIZ Substanz;19.10.2022;0,0016765702;1.659,50;-0,0057199286;-5.703,82;0;EUR
Muster SCHWEIZ Substanz;20.10.2022;-0,0012556971;-1.245,00;-0,0069684432;-6.948,82;0;EUR
Muster SCHWEIZ Substanz;21.10.2022;-0,0013230266;-1.310,11;-0,0082822504;-8.258,93;0;EUR
Muster SCHWEIZ Substanz;22.10.2022;0,0000038989;3,86;-0,0082783838;-8.255,07;0;EUR
Muster SCHWEIZ Substanz;23.10.2022;0,0000038989;3,86;-0,0082745172;-8.251,22;0;EUR
Muster SCHWEIZ Substanz;24.10.2022;-0,0009078555;-897,81;-0,0091748607;-9.149,02;0;EUR
Muster SCHWEIZ Substanz;25.10.2022;-0,0020030155;-1.979,05;-0,0111594988;-11.128,07;0;EUR
Muster SCHWEIZ Substanz;26.10.2022;-0,0050074942;-4.937,67;-0,0161111119;-16.065,74;0;EUR
Muster SCHWEIZ Substanz;27.10.2022;0,0048772484;4.785,16;-0,0113124413;-11.280,59;0;EUR
Muster SCHWEIZ Substanz;28.10.2022;0,0003243956;319,82;-0,0109917154;-10.960,76;0;EUR
Muster SCHWEIZ Substanz;29.10.2022;0,0000038752;3,82;-0,0109878829;-10.956,94;0;EUR
Muster SCHWEIZ Substanz;30.10.2022;0,0000038751;3,82;-0,0109840503;-10.953,12;0;EUR
Muster SCHWEIZ Substanz;31.10.2022;0,0024681207;2.434,14;-0,0085430396;-8.518,98;0;EUR
Muster SCHWEIZ Substanz;01.11.2022;0,0014455409;1.429,16;-0,0071098480;-7.089,83;0;EUR
Muster SCHWEIZ Substanz;02.11.2022;0,0019913382;1.971,61;-0,0051326678;-5.118,21;0;EUR
Muster SCHWEIZ Substanz;03.11.2022;-0,0004467497;-443,21;-0,0055771246;-5.561,42;0;EUR
Muster SCHWEIZ Substanz;04.11.2022;-0,0044415382;-4.404,33;-0,0099938917;-9.965,75;0;EUR
Muster SCHWEIZ Substanz;05.11.2022;0,0000038722;3,82;-0,0099900582;-9.961,93;0;EUR
Muster SCHWEIZ Substanz;06.11.2022;0,0000038722;3,82;-0,0099862246;-9.958,10;0;EUR
Muster SCHWEIZ Substanz;07.11.2022;-0,0012797304;-1.263,38;-0,0112531753;-11.221,49;0;EUR
Muster SCHWEIZ Substanz;08.11.2022;-0,0005041068;-497,03;-0,0117516093;-11.718,52;0;EUR
Muster SCHWEIZ Substanz;09.11.2022;0,0024876813;2.451,52;-0,0092931622;-9.266,99;0;EUR
Muster SCHWEIZ Substanz;10.11.2022;0,0010625728;1.049,73;-0,0082404641;-8.217,26;0;EUR
Muster SCHWEIZ Substanz;11.11.2022;-0,0015600344;-1.542,82;-0,0097876431;-9.760,08;0;EUR
Muster SCHWEIZ Substanz;12.11.2022;0,0000097055;9,58;-0,0097780326;-9.750,50;0;EUR
Muster SCHWEIZ Substanz;13.11.2022;0,0000097054;9,58;-0,0097684220;-9.740,91;0;EUR
Muster SCHWEIZ Substanz;14.11.2022;0,0007871898;777,31;-0,0089889218;-8.963,61;0;EUR
Muster SCHWEIZ Substanz;15.11.2022;-0,0003978165;-393,13;-0,0093831624;-9.356,74;0;EUR
Muster SCHWEIZ Substanz;16.11.2022;-0,0028146405;-2.769,91;-0,0121620245;-12.126,65;0;EUR
Muster SCHWEIZ Substanz;17.11.2022;0,0007841564;769,52;-0,0113912691;-11.357,12;0;EUR
Muster SCHWEIZ Substanz;18.11.2022;0,0034827046;3.420,38;-0,0079612738;-7.936,74;0;EUR
Muster SCHWEIZ Substanz;19.11.2022;0,0000097352;9,59;-0,0079516498;-7.927,15;0;EUR
Muster SCHWEIZ Substanz;20.11.2022;0,0000097351;9,59;-0,0079420259;-7.917,55;0;EUR
Muster SCHWEIZ Substanz;21.11.2022;0,0030486611;3.004,59;-0,0049285409;-4.912,96;0;EUR
Muster SCHWEIZ Substanz;22.11.2022;-0,0004692947;-463,92;-0,0053943489;-5.376,88;0;EUR
