Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Währung
Muster ausgewogen cVV;30.12.2008;0;0;0;0;0;EUR
Muster ausgewogen cVV;31.12.2008;0,0027775440;2.520,15;0,0027775440;2.520,15;0,005574408;EUR
Muster ausgewogen cVV;01.01.2009;-0,0000282245;-25,68;0,0027492411;2.494,47;0;EUR
Muster ausgewogen cVV;02.01.2009;0,0007566523;688,42;0,0035079736;3.182,89;0,015678662;EUR
Muster ausgewogen cVV;03.01.2009;0,0000508961;46,34;0,0035590483;3.229,23;0;EUR
Muster ausgewogen cVV;04.01.2009;0,0000508935;46,34;0,0036101229;3.275,57;0;EUR
Muster ausgewogen cVV;05.01.2009;0,0097652543;8.892,28;0,0134106310;12.167,85;0,005998925;EUR
Muster ausgewogen cVV;06.01.2009;0,0036125838;3.321,76;0,0170716618;15.489,61;0,006632617;EUR
Muster ausgewogen cVV;07.01.2009;-0,0042079544;-3.883,18;0,0127918707;11.606,43;-0,011329354;EUR
Muster ausgewogen cVV;08.01.2009;-0,0037298990;-3.427,54;0,0090142593;8.178,90;-0,002677928;EUR
Muster ausgewogen cVV;09.01.2009;-0,0028600793;-2.618,42;0,0061283985;5.560,47;-0,003366158;EUR
Muster ausgewogen cVV;10.01.2009;0,0000507636;46,34;0,0061794732;5.606,81;0;EUR
Muster ausgewogen cVV;11.01.2009;0,0000507610;46,34;0,0062305478;5.653,16;0;EUR
Muster ausgewogen cVV;12.01.2009;-0,0032351819;-2.953,66;0,0029752089;2.699,49;-0,004832813;EUR
Muster ausgewogen cVV;13.01.2009;-0,0038950376;-3.544,59;-0,0009314173;-845,10;-0,004598068;EUR
Muster ausgewogen cVV;14.01.2009;-0,0106284823;-9.634,55;-0,0115500000;-10.479,65;-0,017847874;EUR
Muster ausgewogen cVV;15.01.2009;-0,0094187071;-8.447,16;-0,0208599210;-18.926,81;-0,005373639;EUR
Muster ausgewogen cVV;16.01.2009;0,0041053226;3.647,18;-0,0168402351;-15.279,63;0,001407022;EUR
Muster ausgewogen cVV;17.01.2009;0,0000557321;49,72;-0,0167854415;-15.229,91;0;EUR
Muster ausgewogen cVV;18.01.2009;0,0000557290;49,72;-0,0167306479;-15.180,20;0;EUR
Muster ausgewogen cVV;19.01.2009;-0,0020113977;-1.794,47;-0,0187083936;-16.974,66;-0,003801857;EUR
Muster ausgewogen cVV;20.01.2009;-0,0006386328;-568,61;-0,0193350786;-17.543,27;-0,011368098;EUR
Muster ausgewogen cVV;21.01.2009;-0,0062147345;-5.529,78;-0,0254296507;-23.073,05;0,007005201;EUR
Muster ausgewogen cVV;22.01.2009;-0,0058887464;-5.207,16;-0,0311686483;-28.280,21;-0,007750720;EUR
Muster ausgewogen cVV;23.01.2009;-0,0011229825;-987,16;-0,0322566289;-29.267,37;-0,002059465;EUR
Muster ausgewogen cVV;24.01.2009;0,0000566200;49,72;-0,0322018353;-29.217,65;0;EUR
Muster ausgewogen cVV;25.01.2009;0,0000566168;49,72;-0,0321470417;-29.167,94;0;EUR
Muster ausgewogen cVV;26.01.2009;0,0076460001;6.714,42;-0,0247468379;-22.453,52;0,003795561;EUR
Muster ausgewogen cVV;27.01.2009;-0,0010309290;-912,24;-0,0257522546;-23.365,76;0,003003588;EUR
Muster ausgewogen cVV;28.01.2009;0,0048193708;4.260,15;-0,0210569935;-19.105,62;0,018385145;EUR
Muster ausgewogen cVV;29.01.2009;0,0058554394;5.200,94;-0,0153248521;-13.904,68;-0,007909289;EUR
Muster ausgewogen cVV;30.01.2009;-0,0023271711;-2.079,15;-0,0176163596;-15.983,83;-0,005567293;EUR
Muster ausgewogen cVV;31.01.2009;0,0000557762;49,72;-0,0175615660;-15.934,11;0;EUR
Muster ausgewogen cVV;01.02.2009;0,0000557731;49,72;-0,0175067724;-15.884,40;0;EUR
Muster ausgewogen cVV;02.02.2009;-0,0054177290;-4.829,60;-0,0228296544;-20.714,00;-0,005807108;EUR
Muster ausgewogen cVV;03.02.2009;0,0003301445;292,71;-0,0225070471;-20.421,29;0,007274305;EUR
Muster ausgewogen cVV;04.02.2009;0,0040012087;3.548,70;-0,0185958937;-16.872,59;0,009767488;EUR
Muster ausgewogen cVV;05.02.2009;0,0037601099;3.348,21;-0,0149057064;-13.524,38;0,004626091;EUR
Muster ausgewogen cVV;06.02.2009;0,0059371592;5.306,66;-0,0090570448;-8.217,72;0,012613664;EUR
Muster ausgewogen cVV;07.02.2009;0,0000505815;45,48;-0,0090069214;-8.172,24;0;EUR
Muster ausgewogen cVV;08.02.2009;0,0000505789;45,48;-0,0089567980;-8.126,76;0;EUR
Muster ausgewogen cVV;09.02.2009;0,0039703285;3.570,13;-0,0050220309;-4.556,63;-0,001967463;EUR
Muster ausgewogen cVV;10.02.2009;-0,0036584199;-3.302,72;-0,0086620781;-7.859,35;-0,015803147;EUR
Muster ausgewogen cVV;11.02.2009;-0,0029656298;-2.667,49;-0,0116020194;-10.526,85;0,006800096;EUR
Muster ausgewogen cVV;12.02.2009;-0,0023357680;-2.094,72;-0,0139106878;-12.621,57;-0,004718152;EUR
Muster ausgewogen cVV;13.02.2009;-0,0014391716;-1.287,64;-0,0153298396;-13.909,20;-0,003328025;EUR
Muster ausgewogen cVV;14.02.2009;0,0000509037;45,48;-0,0152797162;-13.863,73;0;EUR
Muster ausgewogen cVV;15.02.2009;0,0000508900;45,47;-0,0152296038;-13.818,26;0;EUR
Muster ausgewogen cVV;16.02.2009;-0,0003277256;-292,83;-0,0155523383;-14.111,08;-0,000403421;EUR
