Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Risiko freier Zins
Muster konservativ cVV;30.12.2008;0;0;0;0;0;0,02928000
Muster konservativ cVV;31.12.2008;-0,0001112320;-115,77;-0,0001112320;-115,77;0;0,02892000
Muster konservativ cVV;01.01.2009;0,0000920016;95,75;-0,0000192407;-20,03;0;0,02892000
Muster konservativ cVV;02.01.2009;-0,0009668888;-1.006,34;-0,0009861109;-1.026,37;0,001584724;0,02859000
Muster konservativ cVV;03.01.2009;0,0000893124;92,87;-0,0008968866;-933,50;0;0,02859000
Muster konservativ cVV;04.01.2009;0,0000892948;92,86;-0,0008076719;-840,65;0;0,02859000
Muster konservativ cVV;05.01.2009;0,0009730593;1.011,97;0,0001646015;171,32;0,000249746;0,02822000
Muster konservativ cVV;06.01.2009;-0,0006667678;-694,10;-0,0005022760;-522,78;-0,002739304;0,02797000
Muster konservativ cVV;07.01.2009;-0,0012398441;-1.289,81;-0,0017414974;-1.812,59;0,000960497;0,02762000
Muster konservativ cVV;08.01.2009;-0,0005397846;-560,84;-0,0022803419;-2.373,44;0,003587890;0,02729000
Muster konservativ cVV;09.01.2009;0,0006946014;721,31;-0,0015873244;-1.652,13;0,003975668;0,02692000
Muster konservativ cVV;10.01.2009;0,0000858711;89,23;-0,0015015896;-1.562,89;0;0,02692000
Muster konservativ cVV;11.01.2009;0,0002349983;244,22;-0,0012669442;-1.318,67;0;0,02692000
Muster konservativ cVV;12.01.2009;0,0018331631;1.905,59;0,0005638964;586,92;0,002121056;0,02653000
Muster konservativ cVV;13.01.2009;-0,0006948108;-723,58;-0,0001313063;-136,67;0,000271869;0,02612000
Muster konservativ cVV;14.01.2009;0,0003232911;336,45;0,0001919424;199,78;0,002249355;0,02572000
Muster konservativ cVV;15.01.2009;-0,0013787606;-1.435,32;-0,0011870829;-1.235,55;0,000280262;0,02510000
Muster konservativ cVV;16.01.2009;-0,0003960696;-411,75;-0,0015826824;-1.647,30;-0,000751819;0,02453000
