Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
19.03.2026;Allianz SE;840400;2,505%;-0,264%;-9,552%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;Comdirect 30
19.03.2026;Bayer IHS 4 % 26.08.26;A351UZ;6,128%;0,028%;0,461%;26.08.2026;4,0000%;Corporates;Deutschland;Renten;Comdirect 30
19.03.2026;Belgien Staat 0,0 % 22.10.31;A287RJ;6,104%;-0,032%;-0,566%;22.10.2031;0%;Staat/ Governments;Europa ohne Deutschland;Renten;Comdirect 30
19.03.2026;Berkshire Hathaway Inc. B;A0YJQ2;2,875%;-0,085%;-2,887%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;Comdirect 30
19.03.2026;Deutsche Telekom AG;555750;3,367%;0,476%;16,233%;-;0%;Informationstechnologie;Deutschland;Aktien;Comdirect 30
19.03.2026;Dt. Pfandbriefbk. Green Bond IHS 5 % 05.02.27;A30WF8;5,591%;-0,018%;-0,336%;05.02.2027;5,0000%;Financials;Deutschland;Renten;Comdirect 30
19.03.2026;EnBW Green Bond IHS 4,3 % 23.05.34;A3LREF;6,193%;-0,001%;-0,058%;23.05.2034;4,3000%;Corporates;Deutschland;Renten;Comdirect 30
19.03.2026;Fraport IHS 1,875 % 31.03.28;A3E5F0;7,236%;-0,023%;-0,336%;31.03.2028;1,8750%;Corporates;Deutschland;Renten;Comdirect 30
19.03.2026;Grenke Finance IHS 5,75 % 06.07.29 ;A3LY39;5,773%;0,021%;0,332%;06.07.2029;5,7500%;Financials;Deutschland;Renten;Comdirect 30
19.03.2026;Heidelberg Materials IHS 3,75 % 31.05.32 ;A30V5U;5,669%;-0,031%;-0,589%;31.05.2032;3,7500%;Corporates;Deutschland;Renten;Comdirect 30
19.03.2026;Microsoft Corp.;870747;2,352%;-0,537%;-18,459%;-;0%;Informationstechnologie;Nordamerika;Aktien;Comdirect 30
19.03.2026;Philip Morris Internat. Inc.;A0NDBJ;2,512%;0,087%;3,260%;-;0%;Handel,Konsum;Nordamerika;Aktien;Comdirect 30
19.03.2026;Porsche IHS 4,25 % 27.09.30;A351SX;6,065%;0,017%;0,241%;27.09.2030;4,2500%;Corporates;Deutschland;Renten;Comdirect 30
19.03.2026;Shell PLC;A3C99G;3,722%;0,800%;27,619%;-;0%;Eisen,Stahl,Rohstoffe;Europa ohne Deutschland;Aktien;Comdirect 30
19.03.2026;VW Leasing Green Bond IHS 4,5 % 25.03.26;A3514T;5,327%;0,028%;0,518%;25.03.2026;4,5000%;Corporates;Deutschland;Renten;Comdirect 30
19.03.2026;Walmart Inc.;860853;4,049%;0,394%;10,409%;-;0%;Handel,Konsum;Nordamerika;Aktien;Comdirect 30
19.03.2026;Waste Management Inc.;893579;2,653%;0,195%;7,899%;-;0%;Versorger;Nordamerika;Aktien;Comdirect 30
19.03.2026;XETRA Gold;A0S9GB;13,540%;1,404%;6,264%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;Comdirect 30
;;;;;;;;;;;
