Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
17.06.2026;Airbus SE;938914;5,487%;-0,202%;-3,806%;-;0%;Prod. Gew. & Industrie;Europa ohne Deutschland;Aktien;5;Comdirect 70
17.06.2026;Amazon.com Inc.;906866;4,175%;0,205%;5,084%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;Comdirect 70
17.06.2026;Apple Inc.;865985;2,922%;-0,091%;-3,055%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Comdirect 70
17.06.2026;Bayer IHS 4 % 26.08.26;A351UZ;2,668%;0,028%;1,098%;26.08.2026;4,0000%;Corporates;Deutschland;Renten;3;Comdirect 70
17.06.2026;Belgien Staat 0,0 % 22.10.31;A287RJ;2,946%;0,017%;0,569%;22.10.2031;0%;Staat/ Governments;Europa ohne Deutschland;Renten;3;Comdirect 70
17.06.2026;Berkshire Hathaway Inc. B;A0YJQ2;6,983%;-0,005%;-0,182%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;5;Comdirect 70
17.06.2026;Deutsche Telekom AG;555750;5,458%;0,030%;0,565%;-;0%;Informationstechnologie;Deutschland;Aktien;5;Comdirect 70
17.06.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;2,133%;0,021%;0,957%;12.01.2035;3,8750%;Corporates;Deutschland;Renten;3;Comdirect 70
17.06.2026;Fraport IHS 1,875 % 31.03.28;A3E5F0;2,534%;0,018%;0,703%;31.03.2028;1,8750%;Corporates;Deutschland;Renten;5;Comdirect 70
17.06.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;7,351%;0,240%;3,414%;-;0%;Index;Global;Aktien;4;Comdirect 70
17.06.2026;Heidelberg Materials IHS 3,75 % 31.05.32 ;A30V5U;3,005%;0,033%;1,116%;31.05.2032;3,7500%;Corporates;Deutschland;Renten;3;Comdirect 70
17.06.2026;Johnson & Johnson;853260;3,942%;-0,066%;-1,753%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;Comdirect 70
17.06.2026;LVMH Moët Henn. L. Vuitton SE;853292;3,433%;-0,848%;-20,722%;-;0%;Handel,Konsum;Europa ohne Deutschland;Aktien;5;Comdirect 70
17.06.2026;Microsoft Corp.;870747;4,393%;-1,039%;-19,810%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Comdirect 70
17.06.2026;Münchener Rückvers.-Ges. AG;843002;4,917%;-1,004%;-17,360%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Comdirect 70
17.06.2026;NVIDIA Corp.;918422;4,914%;0,834%;12,057%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Comdirect 70
17.06.2026;RCI Banque IHS 4,875 % 02.10.29;A3LNYD;2,129%;0,018%;0,826%;02.10.2029;4,8750%;Financials;Europa ohne Deutschland;Renten;3;Comdirect 70
17.06.2026;Rheinmetall AG;703000;2,609%;-0,825%;-24,968%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;5;Comdirect 70
17.06.2026;Shell PLC;A3C99G;4,514%;0,482%;12,447%;-;0%;Eisen,Stahl,Rohstoffe;Europa ohne Deutschland;Aktien;5;Comdirect 70
17.06.2026;VW Green Bond IHS 3,875 % 10.09.30;A383ET;2,872%;0,021%;0,750%;10.09.2030;3,8750%;Corporates;Deutschland;Renten;3;Comdirect 70
17.06.2026;Walmart Inc.;860853;5,091%;0,575%;8,742%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;Comdirect 70
17.06.2026;XETRA Gold;A0S9GB;13,018%;0,557%;0,390%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;5;Comdirect 70
;;;;;;;;;;;;
