Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
15.03.2026;AbbVie Inc.;A1J84E;3,715%;-0,046%;-1,160%;-;0%;Chemie,Pharma;Nordamerika;Aktien;ESG Muster Defensiv Plus
15.03.2026;Allianz SE;840400;2,180%;-0,225%;-9,321%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;ESG Muster Defensiv Plus
15.03.2026;Commerzbank IHS 0,5 % 04.12.26;CZ45VC;4,391%;0,019%;0,438%;04.12.2026;0,5000%;Financials;Deutschland;Renten;ESG Muster Defensiv Plus
15.03.2026;Deutsche Telekom AG;555750;2,678%;0,456%;20,499%;-;0%;Informationstechnologie;Deutschland;Aktien;ESG Muster Defensiv Plus
15.03.2026;Deutschland Green Bond 0 % 15.08.31;103073;4,061%;-0,013%;-0,311%;15.08.2031;0%;Staat/ Governments;Deutschland;Renten;ESG Muster Defensiv Plus
15.03.2026;Dt. Bahn IHS 1,875 % 24.05.30;A30VH4;3,497%;-0,020%;-0,578%;24.05.2030;1,8750%;Corporates;Deutschland;Renten;ESG Muster Defensiv Plus
15.03.2026;Dt. Pfandbriefbk. Green Bond IHS 5 % 05.02.27;A30WF8;2,100%;-0,007%;-0,350%;05.02.2027;5,0000%;Financials;Deutschland;Renten;ESG Muster Defensiv Plus
15.03.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;2,505%;-0,023%;-0,933%;12.01.2035;3,8750%;Corporates;Deutschland;Renten;ESG Muster Defensiv Plus
15.03.2026;E.ON SE;ENAG99;3,771%;0,720%;23,411%;-;0%;Versorger;Deutschland;Aktien;ESG Muster Defensiv Plus
15.03.2026;EnBW Green Bond IHS 4,3 % 23.05.34;A3LREF;3,472%;-0,003%;-0,102%;23.05.2034;4,3000%;Corporates;Deutschland;Renten;ESG Muster Defensiv Plus
15.03.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;8,650%;0,267%;3,133%;-;0%;Index;Global;Aktien;ESG Muster Defensiv Plus
15.03.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;1,714%;-0,016%;-0,923%;01.11.2028;2,0000%;Financials;Nordamerika;Renten;ESG Muster Defensiv Plus
15.03.2026;Heidelberg Materials Green Bond IHS 3,95 % 19.07.34;A383EX;3,652%;-0,020%;-0,571%;19.07.2034;3,9500%;Corporates;Deutschland;Renten;ESG Muster Defensiv Plus
15.03.2026;Hochtief IHS 1,25 % 03.09.31;A2YN2V;3,133%;-0,012%;-0,377%;03.09.2031;1,2500%;Corporates;Deutschland;Renten;ESG Muster Defensiv Plus
15.03.2026;Knorr-Bremse AG;KBX100;3,087%;0,122%;4,046%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;ESG Muster Defensiv Plus
15.03.2026;London Stock Exchange GroupPLC;A0JEJF;1,458%;-0,020%;-1,271%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;ESG Muster Defensiv Plus
15.03.2026;Mercedes-Benz Green Bond IHS 3,7 % 30.05.31;A3LH6U;3,948%;-0,076%;-1,876%;30.05.2031;3,7000%;Corporates;Deutschland;Renten;ESG Muster Defensiv Plus
15.03.2026;Microsoft Corp.;870747;2,380%;-0,452%;-15,925%;-;0%;Informationstechnologie;Nordamerika;Aktien;ESG Muster Defensiv Plus
15.03.2026;Nikkei 225 ETF Acc. (iShares);A0YEDQ;2,401%;0,204%;9,209%;-;0%;Index;Japan;Aktien;ESG Muster Defensiv Plus
15.03.2026;Novartis AG;904278;2,420%;0,298%;13,952%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;ESG Muster Defensiv Plus
15.03.2026;Physical Gold ETC (Invesco);A1AA5X;11,851%;1,815%;17,827%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;ESG Muster Defensiv Plus
15.03.2026;RWE Green Bond IHS 0,5 % 26.11.28;A3MP70;4,436%;0,004%;0,085%;26.11.2028;0,5000%;Corporates;Deutschland;Renten;ESG Muster Defensiv Plus
15.03.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;4,342%;0,097%;2,224%;-;0%;Index;Europa;Aktien;ESG Muster Defensiv Plus
15.03.2026;Unilever PLC Registered Shares LS-,035;A41NM1;2,772%;0,014%;0,535%;-;0%;Handel,Konsum;Europa ohne Deutschland;Aktien;ESG Muster Defensiv Plus
15.03.2026;US Growth Equity Active ETF (JPM);A3EW6K;7,130%;-0,392%;-5,207%;-;0%;Index;Nordamerika;Aktien;ESG Muster Defensiv Plus
;;;;;;;;;;;
