Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
17.06.2026;AbbVie Inc.;A1J84E;3,663%;-0,019%;-0,375%;-;0%;Chemie,Pharma;Nordamerika;Aktien;5;ESG Muster Defensiv Plus
17.06.2026;Allianz SE;840400;2,428%;0,061%;2,484%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;ESG Muster Defensiv Plus
17.06.2026;Commerzbank IHS 0,5 % 04.12.26;CZ45VC;4,353%;0,046%;1,032%;04.12.2026;0,5000%;Financials;Deutschland;Renten;3;ESG Muster Defensiv Plus
17.06.2026;Deutsche Telekom AG;555750;2,135%;0,021%;0,633%;-;0%;Informationstechnologie;Deutschland;Aktien;5;ESG Muster Defensiv Plus
17.06.2026;Deutschland Green Bond 0 % 15.08.31;103073;4,026%;0,013%;0,290%;15.08.2031;0%;Staat/ Governments;Deutschland;Renten;3;ESG Muster Defensiv Plus
17.06.2026;Dt. Bahn IHS 1,875 % 24.05.30;A30VH4;3,476%;0,010%;0,263%;24.05.2030;1,8750%;Corporates;Deutschland;Renten;3;ESG Muster Defensiv Plus
17.06.2026;Dt. Pfandbriefbk. Green Bond IHS 5 % 05.02.27;A30WF8;1,999%;0,020%;0,941%;05.02.2027;5,0000%;Financials;Deutschland;Renten;3;ESG Muster Defensiv Plus
17.06.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;2,424%;0,025%;0,950%;12.01.2035;3,8750%;Corporates;Deutschland;Renten;3;ESG Muster Defensiv Plus
17.06.2026;E.ON SE;ENAG99;3,421%;0,415%;13,612%;-;0%;Versorger;Deutschland;Aktien;5;ESG Muster Defensiv Plus
17.06.2026;EnBW Green Bond IHS 4,3 % 23.05.34;A3LREF;3,480%;0,057%;1,591%;23.05.2034;4,3000%;Corporates;Deutschland;Renten;3;ESG Muster Defensiv Plus
17.06.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;9,753%;1,531%;17,990%;-;0%;Index;Global;Aktien;4;ESG Muster Defensiv Plus
17.06.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;1,713%;0,008%;0,463%;01.11.2028;2,0000%;Financials;Nordamerika;Renten;3;ESG Muster Defensiv Plus
17.06.2026;Heidelberg Mat. Green Bd. IHS 3,95 % 19.07.34;A383EX;3,681%;0,064%;1,673%;19.07.2034;3,9500%;Corporates;Deutschland;Renten;3;ESG Muster Defensiv Plus
17.06.2026;Hochtief IHS 1,25 % 03.09.31;A2YN2V;3,062%;-0,039%;-1,227%;03.09.2031;1,2500%;Corporates;Deutschland;Renten;3;ESG Muster Defensiv Plus
17.06.2026;Knorr-Bremse AG;KBX100;3,199%;0,288%;9,406%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;5;ESG Muster Defensiv Plus
17.06.2026;London Stock Exchange GroupPLC;A0JEJF;1,468%;0,012%;0,887%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;ESG Muster Defensiv Plus
17.06.2026;Mercedes-Benz Green Bond IHS 3,7 % 30.05.31;A3LH6U;3,939%;-0,026%;-0,669%;30.05.2031;3,7000%;Corporates;Deutschland;Renten;3;ESG Muster Defensiv Plus
17.06.2026;Microsoft Corp.;870747;2,232%;-0,560%;-19,809%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;ESG Muster Defensiv Plus
17.06.2026;Nikkei 225 ETF Acc. (iShares);A0YEDQ;2,992%;0,848%;38,045%;-;0%;Index;Japan;Aktien;5;ESG Muster Defensiv Plus
17.06.2026;Novartis AG;904278;2,337%;0,323%;15,071%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;ESG Muster Defensiv Plus
17.06.2026;Physical Gold ETC (Invesco);A1AA5X;9,945%;0,030%;0,327%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;ESG Muster Defensiv Plus
17.06.2026;Procter & Gamble Co., The;852062;2,527%;0,080%;3,230%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;ESG Muster Defensiv Plus
17.06.2026;RWE Green Bond IHS 0,5 % 26.11.28;A3MP70;4,408%;0,041%;0,902%;26.11.2028;0,5000%;Corporates;Deutschland;Renten;3;ESG Muster Defensiv Plus
17.06.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;4,836%;0,669%;15,522%;-;0%;Index;Europa;Aktien;4;ESG Muster Defensiv Plus
17.06.2026;US Growth Equity Active ETF (JPM);A3EW6K;7,887%;0,488%;6,399%;-;0%;Index;Nordamerika;Aktien;5;ESG Muster Defensiv Plus
;;;;;;;;;;;;
