Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
02.07.2026;AbbVie Inc.;A1J84E;4,324%;0,669%;18,252%;-;0%;-;-;Chemie,Pharma;Nordamerika;Aktien;5;ESG Muster Defensiv Plus
02.07.2026;Allianz SE;840400;2,525%;0,172%;7,145%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;ESG Muster Defensiv Plus
02.07.2026;Artificial Intelligence ETF (WisdomTree);A2N7KX;2,889%;-0,114%;-3,777%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;5;ESG Muster Defensiv Plus
02.07.2026;Commerzbank IHS 0,5 % 04.12.26;CZ45VC;4,336%;0,052%;1,175%;04.12.2026;0,5000%;0,4219;2,5644%;Financials;Deutschland;Renten;3;ESG Muster Defensiv Plus
02.07.2026;Deutschland Green Bond 0 % 15.08.31;103073;4,016%;0,024%;0,569%;15.08.2031;0%;5,1178;2,6064%;Staat/ Governments;Deutschland;Renten;3;ESG Muster Defensiv Plus
02.07.2026;Dt. Bahn IHS 1,875 % 24.05.30;A30VH4;3,469%;0,022%;0,609%;24.05.2030;1,8750%;3,7803;2,8764%;Corporates;Deutschland;Renten;3;ESG Muster Defensiv Plus
02.07.2026;Dt. Pfandbriefbk. Green Bond IHS 5 % 05.02.27;A30WF8;1,992%;0,024%;1,131%;05.02.2027;5,0000%;0,5945;3,6676%;Financials;Deutschland;Renten;3;ESG Muster Defensiv Plus
02.07.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;2,416%;0,030%;1,187%;12.01.2035;3,8750%;7,3793;3,6390%;Corporates;Deutschland;Renten;3;ESG Muster Defensiv Plus
02.07.2026;E.ON SE;ENAG99;3,412%;0,423%;13,922%;-;0%;-;-;Versorger;Deutschland;Aktien;5;ESG Muster Defensiv Plus
02.07.2026;EnBW Green Bond IHS 4,3 % 23.05.34;A3LREF;3,465%;0,061%;1,701%;23.05.2034;4,3000%;6,9039;3,6368%;Corporates;Deutschland;Renten;3;ESG Muster Defensiv Plus
02.07.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;9,791%;1,625%;19,094%;-;0%;-;-;Index;Global;Aktien;4;ESG Muster Defensiv Plus
02.07.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;1,710%;0,014%;0,809%;01.11.2028;2,0000%;2,2728;2,8115%;Financials;Nordamerika;Renten;3;ESG Muster Defensiv Plus
02.07.2026;Heidelberg Mat. Green Bd. IHS 3,95 % 19.07.34;A383EX;3,664%;0,067%;1,766%;19.07.2034;3,9500%;6,8784;3,7265%;Corporates;Deutschland;Renten;3;ESG Muster Defensiv Plus
02.07.2026;Hochtief IHS 1,25 % 03.09.31;A2YN2V;3,054%;-0,030%;-0,935%;03.09.2031;1,2500%;4,9809;3,6159%;Corporates;Deutschland;Renten;3;ESG Muster Defensiv Plus
02.07.2026;Johnson & Johnson;853260;1,986%;0,020%;1,028%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;ESG Muster Defensiv Plus
02.07.2026;Knorr-Bremse AG;KBX100;3,240%;0,346%;11,403%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;ESG Muster Defensiv Plus
02.07.2026;London Stock Exchange GroupPLC;A0JEJF;1,416%;-0,034%;-2,135%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;ESG Muster Defensiv Plus
02.07.2026;Mercedes-Benz Green Bond IHS 3,7 % 30.05.31;A3LH6U;3,918%;-0,026%;-0,665%;30.05.2031;3,7000%;4,5748;3,2832%;Corporates;Deutschland;Renten;3;ESG Muster Defensiv Plus
02.07.2026;Microsoft Corp.;870747;2,301%;-0,479%;-16,868%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;ESG Muster Defensiv Plus
02.07.2026;Nikkei 225 ETF Acc. (iShares);A0YEDQ;3,029%;0,904%;40,549%;-;0%;-;-;Index;Japan;Aktien;5;ESG Muster Defensiv Plus
02.07.2026;Novartis AG;904278;2,461%;0,461%;21,865%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;ESG Muster Defensiv Plus
02.07.2026;Physical Gold ETC (Invesco);A1AA5X;9,494%;-0,376%;-3,706%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;ESG Muster Defensiv Plus
02.07.2026;Procter & Gamble Co., The;852062;2,543%;0,109%;4,419%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;ESG Muster Defensiv Plus
02.07.2026;RWE Green Bond IHS 0,5 % 26.11.28;A3MP70;4,397%;0,055%;1,208%;26.11.2028;0,5000%;2,3847;2,7795%;Corporates;Deutschland;Renten;3;ESG Muster Defensiv Plus
02.07.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;4,702%;0,560%;12,939%;-;0%;-;-;Index;Europa;Aktien;4;ESG Muster Defensiv Plus
02.07.2026;US Equity Research Enhanced ETF (Fidelity);A2P0ZN;2,951%;-0,002%;-0,069%;-;0%;-;-;Index;Nordamerika;Aktien;4;ESG Muster Defensiv Plus
;;;;;;;;;;;;;;
