Auswertungsdatum;Wertpapier;WKN;Gewicht;Währung;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
15.09.2026;AbbVie Inc.;A1J84E;4,353%;USD;0,683%;19,036%;-;0%;-;-;Chemie,Pharma;Nordamerika;Aktien;5;ESG Muster Defensiv Plus
15.09.2026;Allianz SE;840400;2,705%;EUR;0,435%;19,092%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;ESG Muster Defensiv Plus
15.09.2026;Artificial Intelligence ETF (WisdomTree);A2N7KX;2,660%;USD;-0,366%;-12,152%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;5;ESG Muster Defensiv Plus
15.09.2026;Commerzbank IHS 0,5 % 04.12.26;CZ45VC;4,390%;EUR;0,069%;1,575%;04.12.2026;0,5000%;0,2164;3,1641%;Financials;Deutschland;Renten;3;ESG Muster Defensiv Plus
15.09.2026;Deutschland Green Bond 0 % 15.08.31;103073;3,934%;EUR;-0,091%;-2,298%;15.08.2031;0%;4,9123;3,3234%;Staat/ Governments;Deutschland;Renten;3;ESG Muster Defensiv Plus
15.09.2026;Dt. Bahn IHS 1,875 % 24.05.30;A30VH4;3,357%;EUR;-0,051%;-1,548%;24.05.2030;1,8750%;3,5740;3,6764%;Corporates;Deutschland;Renten;3;ESG Muster Defensiv Plus
15.09.2026;Dt. Pfandbriefbk. Green Bond IHS 5 % 05.02.27;A30WF8;2,024%;EUR;0,039%;1,908%;05.02.2027;5,0000%;0,3890;3,6010%;Financials;Deutschland;Renten;3;ESG Muster Defensiv Plus
15.09.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;2,335%;EUR;-0,071%;-3,043%;12.01.2035;3,8750%;7,1555;4,3739%;Corporates;Deutschland;Renten;3;ESG Muster Defensiv Plus
15.09.2026;E.ON SE;ENAG99;3,256%;EUR;0,352%;11,100%;-;0%;-;-;Versorger;Deutschland;Aktien;5;ESG Muster Defensiv Plus
15.09.2026;EnBW Green Bond IHS 4,3 % 23.05.34;A3LREF;3,236%;EUR;-0,059%;-1,901%;23.05.2034;4,3000%;6,6846;4,3256%;Corporates;Deutschland;Renten;3;ESG Muster Defensiv Plus
15.09.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;9,880%;USD;1,629%;19,171%;-;0%;-;-;Index;Global;Aktien;4;ESG Muster Defensiv Plus
15.09.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;1,708%;EUR;-0,002%;-0,158%;01.11.2028;2,0000%;2,0670;3,5770%;Financials;Nordamerika;Renten;3;ESG Muster Defensiv Plus
15.09.2026;Heidelberg Mat. Green Bd. IHS 3,95 % 19.07.34;A383EX;3,548%;EUR;-0,079%;-2,291%;19.07.2034;3,9500%;6,9010;4,4850%;Corporates;Deutschland;Renten;3;ESG Muster Defensiv Plus
15.09.2026;Hochtief IHS 1,25 % 03.09.31;A2YN2V;2,984%;EUR;-0,125%;-4,040%;03.09.2031;1,2500%;4,8374;4,4704%;Corporates;Deutschland;Renten;3;ESG Muster Defensiv Plus
15.09.2026;Japan Equity Active ETF (GS);A4135A;3,058%;JPY;-0,021%;-0,687%;-;0%;-;-;Index;Japan;Aktien;4;ESG Muster Defensiv Plus
15.09.2026;Johnson & Johnson;853260;2,016%;USD;0,033%;1,694%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;ESG Muster Defensiv Plus
15.09.2026;Knorr-Bremse AG;KBX100;3,203%;EUR;0,340%;11,287%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;ESG Muster Defensiv Plus
15.09.2026;London Stock Exchange GroupPLC;A0JEJF;1,361%;GBP;-0,081%;-5,747%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;ESG Muster Defensiv Plus
15.09.2026;Mercedes-Benz Green Bond IHS 3,7 % 30.05.31;A3LH6U;3,723%;EUR;-0,115%;-3,017%;30.05.2031;3,7000%;4,3663;4,0110%;Corporates;Deutschland;Renten;3;ESG Muster Defensiv Plus
15.09.2026;Microsoft Corp.;870747;2,928%;USD;0,131%;5,115%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;ESG Muster Defensiv Plus
15.09.2026;Novartis AG;904278;2,146%;CHF;0,127%;5,365%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;ESG Muster Defensiv Plus
15.09.2026;Physical Gold ETC (Invesco);A1AA5X;9,850%;EUR;-0,090%;-0,932%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;ESG Muster Defensiv Plus
15.09.2026;Procter & Gamble Co., The;852062;2,461%;USD;0,004%;0,232%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;ESG Muster Defensiv Plus
15.09.2026;RWE Green Bond IHS 0,5 % 26.11.28;A3MP70;4,383%;EUR;0,004%;0,038%;26.11.2028;0,5000%;2,1791;3,5970%;Corporates;Deutschland;Renten;3;ESG Muster Defensiv Plus
15.09.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;5,146%;EUR;0,965%;22,580%;-;0%;-;-;Index;Europa;Aktien;4;ESG Muster Defensiv Plus
15.09.2026;US Equity Research Enhanced ETF (Fidelity);A2P0ZN;3,020%;USD;0,042%;1,416%;-;0%;-;-;Index;Nordamerika;Aktien;4;ESG Muster Defensiv Plus
;;;;;;;;;;;;;;;
