Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
19.03.2026;Allianz SE;840400;2,176%;-0,222%;-9,552%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;ESG Muster ausgewogen
19.03.2026;Alphabet Inc. A;A14Y6F;5,442%;-0,028%;-0,538%;-;0%;Informationstechnologie;Nordamerika;Aktien;ESG Muster ausgewogen
19.03.2026;Alstom S.A.;A0F7BK;1,847%;-0,078%;-4,520%;-;0%;Elektro;Europa ohne Deutschland;Aktien;ESG Muster ausgewogen
19.03.2026;Deutsche Telekom AG;555750;2,624%;0,357%;16,233%;-;0%;Informationstechnologie;Deutschland;Aktien;ESG Muster ausgewogen
19.03.2026;Dt. Bahn IHS 1,875 % 24.05.30;A30VH4;3,520%;-0,028%;-0,861%;24.05.2030;1,8750%;Corporates;Deutschland;Renten;ESG Muster ausgewogen
19.03.2026;Dt. Pfandbriefbk. Green Bond IHS 5 % 05.02.27;A30WF8;2,080%;-0,007%;-0,336%;05.02.2027;5,0000%;Financials;Deutschland;Renten;ESG Muster ausgewogen
19.03.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;4,330%;-0,027%;-0,679%;12.01.2035;3,8750%;Corporates;Deutschland;Renten;ESG Muster ausgewogen
19.03.2026;E.ON SE;ENAG99;3,645%;0,583%;19,659%;-;0%;Versorger;Deutschland;Aktien;ESG Muster ausgewogen
19.03.2026;EnBW Green Bond IHS 4,3 % 23.05.34;A3LREF;3,435%;0,000%;-0,058%;23.05.2034;4,3000%;Corporates;Deutschland;Renten;ESG Muster ausgewogen
19.03.2026;First Solar Inc.;A0LEKM;2,647%;-0,744%;-22,586%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;ESG Muster ausgewogen
19.03.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;9,577%;0,140%;1,444%;-;0%;Index;Global;Aktien;ESG Muster ausgewogen
19.03.2026;Hochtief IHS 1,25 % 03.09.31;A2YN2V;3,082%;-0,041%;-1,396%;03.09.2031;1,2500%;Corporates;Deutschland;Renten;ESG Muster ausgewogen
19.03.2026;Intuitive Surgical Inc.;888024;1,701%;-0,273%;-14,114%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;ESG Muster ausgewogen
19.03.2026;Knorr-Bremse AG;KBX100;2,993%;0,026%;0,578%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;ESG Muster ausgewogen
19.03.2026;London Stock Exchange GroupPLC;A0JEJF;1,827%;-0,055%;-2,736%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;ESG Muster ausgewogen
19.03.2026;Microsoft Corp.;870747;2,341%;-0,517%;-18,459%;-;0%;Informationstechnologie;Nordamerika;Aktien;ESG Muster ausgewogen
19.03.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;2,871%;-0,175%;-5,985%;-;0%;Chemie,Pharma;Global;Aktien;ESG Muster ausgewogen
19.03.2026;Nikkei 225 ETF Acc. (iShares);A0YEDQ;2,447%;0,226%;10,372%;-;0%;Index;Japan;Aktien;ESG Muster ausgewogen
19.03.2026;Novartis AG;904278;2,480%;0,196%;8,545%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;ESG Muster ausgewogen
19.03.2026;Physical Gold ETC (Invesco);A1AA5X;10,845%;0,639%;6,253%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;ESG Muster ausgewogen
19.03.2026;RWE Green Bond IHS 0,5 % 26.11.28;A3MP70;3,542%;-0,001%;-0,057%;26.11.2028;0,5000%;Corporates;Deutschland;Renten;ESG Muster ausgewogen
19.03.2026;Schneider Electric SE;860180;2,941%;0,102%;3,619%;-;0%;Elektro;Europa ohne Deutschland;Aktien;ESG Muster ausgewogen
19.03.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;5,625%;0,230%;4,322%;-;0%;Index;Europa;Aktien;ESG Muster ausgewogen
19.03.2026;Unilever PLC Registered Shares LS-,035;A41NM1;2,632%;-0,125%;-4,902%;-;0%;Handel,Konsum;Europa ohne Deutschland;Aktien;ESG Muster ausgewogen
19.03.2026;US Growth Equity Active ETF (JPM);A3EW6K;7,052%;-0,466%;-6,388%;-;0%;Index;Nordamerika;Aktien;ESG Muster ausgewogen
;;;;;;;;;;;
