Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
17.06.2026;Allianz SE;840400;2,347%;0,063%;2,484%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;ESG Muster ausgewogen
17.06.2026;Alphabet Inc. A;A14Y6F;6,180%;1,023%;18,748%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;ESG Muster ausgewogen
17.06.2026;Deutsche Telekom AG;555750;2,094%;0,022%;0,633%;-;0%;Informationstechnologie;Deutschland;Aktien;5;ESG Muster ausgewogen
17.06.2026;Dt. Bahn IHS 1,875 % 24.05.30;A30VH4;3,389%;0,011%;0,263%;24.05.2030;1,8750%;Corporates;Deutschland;Renten;3;ESG Muster ausgewogen
17.06.2026;Dt. Pfandbriefbk. Green Bond IHS 5 % 05.02.27;A30WF8;1,912%;0,019%;0,941%;05.02.2027;5,0000%;Financials;Deutschland;Renten;3;ESG Muster ausgewogen
17.06.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;4,037%;0,042%;0,950%;12.01.2035;3,8750%;Corporates;Deutschland;Renten;3;ESG Muster ausgewogen
17.06.2026;E.ON SE;ENAG99;3,294%;0,399%;13,612%;-;0%;Versorger;Deutschland;Aktien;5;ESG Muster ausgewogen
17.06.2026;EnBW Green Bond IHS 4,3 % 23.05.34;A3LREF;3,324%;0,055%;1,591%;23.05.2034;4,3000%;Corporates;Deutschland;Renten;3;ESG Muster ausgewogen
17.06.2026;Environmental Impact 100 ETF (Rize);A3CN9S;2,970%;-0,056%;-1,843%;-;0%;Nachhaltigkeit;Global;Aktien;5;ESG Muster ausgewogen
17.06.2026;First Solar Inc.;A0LEKM;3,242%;-0,011%;-0,385%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;5;ESG Muster ausgewogen
17.06.2026;GE Vernova Inc.;A404PC;2,363%;-0,106%;-4,273%;-;0%;Eisen,Stahl,Rohstoffe;Nordamerika;Aktien;5;ESG Muster ausgewogen
17.06.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;10,603%;1,675%;17,990%;-;0%;Index;Global;Aktien;4;ESG Muster ausgewogen
17.06.2026;Hochtief IHS 1,25 % 03.09.31;A2YN2V;2,939%;-0,038%;-1,227%;03.09.2031;1,2500%;Corporates;Deutschland;Renten;3;ESG Muster ausgewogen
17.06.2026;Intuitive Surgical Inc.;888024;1,367%;-0,525%;-27,477%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;5;ESG Muster ausgewogen
17.06.2026;Knorr-Bremse AG;KBX100;3,099%;0,284%;9,406%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;5;ESG Muster ausgewogen
17.06.2026;London Stock Exchange GroupPLC;A0JEJF;1,803%;0,014%;0,887%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;ESG Muster ausgewogen
17.06.2026;Microsoft Corp.;870747;2,186%;-0,549%;-19,809%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;ESG Muster ausgewogen
17.06.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;2,812%;-0,098%;-3,268%;-;0%;Chemie,Pharma;Global;Aktien;4;ESG Muster ausgewogen
17.06.2026;Nikkei 225 ETF Acc. (iShares);A0YEDQ;2,914%;0,829%;38,045%;-;0%;Index;Japan;Aktien;5;ESG Muster ausgewogen
17.06.2026;Novartis AG;904278;2,428%;0,335%;15,071%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;ESG Muster ausgewogen
17.06.2026;Physical Gold ETC (Invesco);A1AA5X;9,748%;0,023%;0,327%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;ESG Muster ausgewogen
17.06.2026;Procter & Gamble Co., The;852062;2,553%;0,081%;3,230%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;ESG Muster ausgewogen
17.06.2026;RWE Green Bond IHS 0,5 % 26.11.28;A3MP70;3,404%;0,032%;0,902%;26.11.2028;0,5000%;Corporates;Deutschland;Renten;3;ESG Muster ausgewogen
17.06.2026;Schneider Electric SE;860180;3,252%;0,574%;20,370%;-;0%;Elektro;Europa ohne Deutschland;Aktien;5;ESG Muster ausgewogen
17.06.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;5,930%;0,827%;15,522%;-;0%;Index;Europa;Aktien;4;ESG Muster ausgewogen
17.06.2026;US Growth Equity Active ETF (JPM);A3EW6K;7,630%;0,481%;6,399%;-;0%;Index;Nordamerika;Aktien;5;ESG Muster ausgewogen
;;;;;;;;;;;;
