Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
02.07.2026;Allianz SE;840400;2,460%;0,171%;7,145%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;ESG Muster ausgewogen
02.07.2026;Alphabet Inc. A;A14Y6F;6,167%;0,991%;18,200%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;ESG Muster ausgewogen
02.07.2026;Artificial Intelligence ETF (WisdomTree);A2N7KX;2,925%;-0,115%;-3,777%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;5;ESG Muster ausgewogen
02.07.2026;Dt. Bahn IHS 1,875 % 24.05.30;A30VH4;3,409%;0,022%;0,609%;24.05.2030;1,8750%;3,7803;2,8764%;Corporates;Deutschland;Renten;3;ESG Muster ausgewogen
02.07.2026;Dt. Pfandbriefbk. Green Bond IHS 5 % 05.02.27;A30WF8;1,920%;0,022%;1,131%;05.02.2027;5,0000%;0,5945;3,6676%;Financials;Deutschland;Renten;3;ESG Muster ausgewogen
02.07.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;4,057%;0,051%;1,187%;12.01.2035;3,8750%;7,3793;3,6390%;Corporates;Deutschland;Renten;3;ESG Muster ausgewogen
02.07.2026;E.ON SE;ENAG99;3,312%;0,408%;13,922%;-;0%;-;-;Versorger;Deutschland;Aktien;5;ESG Muster ausgewogen
02.07.2026;EnBW Green Bond IHS 4,3 % 23.05.34;A3LREF;3,336%;0,058%;1,701%;23.05.2034;4,3000%;6,9039;3,6368%;Corporates;Deutschland;Renten;3;ESG Muster ausgewogen
02.07.2026;Environmental Impact 100 ETF (Rize);A3CN9S;2,914%;-0,120%;-3,938%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;5;ESG Muster ausgewogen
02.07.2026;First Solar Inc.;A0LEKM;2,882%;-0,380%;-11,691%;-;0%;-;-;Prod. Gew. & Industrie;Nordamerika;Aktien;5;ESG Muster ausgewogen
02.07.2026;GE Vernova Inc.;A404PC;2,528%;0,054%;2,184%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Nordamerika;Aktien;5;ESG Muster ausgewogen
02.07.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;10,729%;1,776%;19,094%;-;0%;-;-;Index;Global;Aktien;4;ESG Muster ausgewogen
02.07.2026;Hochtief IHS 1,25 % 03.09.31;A2YN2V;2,955%;-0,029%;-0,935%;03.09.2031;1,2500%;4,9809;3,6159%;Corporates;Deutschland;Renten;3;ESG Muster ausgewogen
02.07.2026;Intuitive Surgical Inc.;888024;1,460%;-0,435%;-22,732%;-;0%;-;-;Prod. Gew. & Industrie;Nordamerika;Aktien;5;ESG Muster ausgewogen
02.07.2026;Johnson & Johnson;853260;1,992%;0,020%;1,028%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;ESG Muster ausgewogen
02.07.2026;Knorr-Bremse AG;KBX100;3,164%;0,341%;11,403%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;ESG Muster ausgewogen
02.07.2026;London Stock Exchange GroupPLC;A0JEJF;1,754%;-0,041%;-2,135%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;ESG Muster ausgewogen
02.07.2026;Microsoft Corp.;870747;2,272%;-0,470%;-16,868%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;ESG Muster ausgewogen
02.07.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;3,048%;0,130%;4,581%;-;0%;-;-;Chemie,Pharma;Global;Aktien;4;ESG Muster ausgewogen
02.07.2026;Nikkei 225 ETF Acc. (iShares);A0YEDQ;2,974%;0,883%;40,549%;-;0%;-;-;Index;Japan;Aktien;5;ESG Muster ausgewogen
02.07.2026;Novartis AG;904278;2,578%;0,479%;21,865%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;ESG Muster ausgewogen
02.07.2026;Physical Gold ETC (Invesco);A1AA5X;9,380%;-0,372%;-3,706%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;ESG Muster ausgewogen
02.07.2026;Procter & Gamble Co., The;852062;2,589%;0,110%;4,419%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;ESG Muster ausgewogen
02.07.2026;RWE Green Bond IHS 0,5 % 26.11.28;A3MP70;3,423%;0,043%;1,208%;26.11.2028;0,5000%;2,3847;2,7795%;Corporates;Deutschland;Renten;3;ESG Muster ausgewogen
02.07.2026;Schneider Electric SE;860180;3,181%;0,495%;17,454%;-;0%;-;-;Elektro;Europa ohne Deutschland;Aktien;5;ESG Muster ausgewogen
02.07.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;5,812%;0,693%;12,939%;-;0%;-;-;Index;Europa;Aktien;4;ESG Muster ausgewogen
02.07.2026;US Equity Research Enhanced ETF (Fidelity);A2P0ZN;2,991%;-0,002%;-0,069%;-;0%;-;-;Index;Nordamerika;Aktien;4;ESG Muster ausgewogen
;;;;;;;;;;;;;;
