Auswertungsdatum;Wertpapier;WKN;Gewicht;Währung;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
19.08.2026;Allianz SE;840400;2,586%;EUR;0,387%;17,324%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;ESG Muster ausgewogen
19.08.2026;Alphabet Inc. A;A14Y6F;5,809%;USD;0,614%;10,914%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;ESG Muster ausgewogen
19.08.2026;Artificial Intelligence ETF (WisdomTree);A2N7KX;2,723%;USD;-0,328%;-10,791%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;5;ESG Muster ausgewogen
19.08.2026;Dt. Bahn IHS 1,875 % 24.05.30;A30VH4;3,332%;EUR;-0,004%;-0,178%;24.05.2030;1,8750%;3,6483;3,2083%;Corporates;Deutschland;Renten;3;ESG Muster ausgewogen
19.08.2026;Dt. Pfandbriefbk. Green Bond IHS 5 % 05.02.27;A30WF8;1,936%;EUR;0,030%;1,550%;05.02.2027;5,0000%;0,4630;3,8032%;Financials;Deutschland;Renten;3;ESG Muster ausgewogen
19.08.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;3,997%;EUR;-0,026%;-0,736%;12.01.2035;3,8750%;7,2380;3,9850%;Corporates;Deutschland;Renten;3;ESG Muster ausgewogen
19.08.2026;E.ON SE;ENAG99;3,145%;EUR;0,337%;11,004%;-;0%;-;-;Versorger;Deutschland;Aktien;5;ESG Muster ausgewogen
19.08.2026;EnBW Green Bond IHS 4,3 % 23.05.34;A3LREF;3,171%;EUR;0,011%;0,270%;23.05.2034;4,3000%;6,7650;3,9367%;Corporates;Deutschland;Renten;3;ESG Muster ausgewogen
19.08.2026;Environmental Impact 100 ETF (Rize);A3CN9S;2,899%;USD;-0,147%;-4,848%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;5;ESG Muster ausgewogen
19.08.2026;First Solar Inc.;A0LEKM;2,806%;USD;-0,465%;-14,369%;-;0%;-;-;Prod. Gew. & Industrie;Nordamerika;Aktien;5;ESG Muster ausgewogen
19.08.2026;GE Vernova Inc.;A404PC;2,206%;USD;-0,281%;-11,242%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Nordamerika;Aktien;5;ESG Muster ausgewogen
19.08.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;10,832%;USD;1,832%;19,727%;-;0%;-;-;Index;Global;Aktien;4;ESG Muster ausgewogen
19.08.2026;Hochtief IHS 1,25 % 03.09.31;A2YN2V;2,952%;EUR;-0,044%;-1,436%;03.09.2031;1,2500%;4,8482;3,8247%;Corporates;Deutschland;Renten;3;ESG Muster ausgewogen
19.08.2026;Intuitive Surgical Inc.;888024;1,340%;USD;-0,558%;-29,368%;-;0%;-;-;Prod. Gew. & Industrie;Nordamerika;Aktien;5;ESG Muster ausgewogen
19.08.2026;Japan Equity Active ETF (GS);A4135A;3,044%;JPY;-0,036%;-1,172%;-;0%;-;-;Index;Japan;Aktien;4;ESG Muster ausgewogen
19.08.2026;Johnson & Johnson;853260;2,036%;USD;0,055%;2,820%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;ESG Muster ausgewogen
19.08.2026;Knorr-Bremse AG;KBX100;2,962%;EUR;0,182%;5,825%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;ESG Muster ausgewogen
19.08.2026;London Stock Exchange GroupPLC;A0JEJF;1,740%;GBP;-0,037%;-2,285%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;ESG Muster ausgewogen
19.08.2026;Microsoft Corp.;870747;2,771%;USD;0,023%;1,189%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;ESG Muster ausgewogen
19.08.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;3,151%;EUR;0,220%;7,689%;-;0%;-;-;Chemie,Pharma;Global;Aktien;4;ESG Muster ausgewogen
19.08.2026;Novartis AG;904278;2,537%;CHF;0,426%;19,390%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;ESG Muster ausgewogen
19.08.2026;Physical Gold ETC (Invesco);A1AA5X;10,041%;EUR;0,249%;2,647%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;ESG Muster ausgewogen
19.08.2026;Procter & Gamble Co., The;852062;2,427%;USD;-0,062%;-2,506%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;ESG Muster ausgewogen
19.08.2026;RWE Green Bond IHS 0,5 % 26.11.28;A3MP70;3,428%;EUR;0,033%;0,938%;26.11.2028;0,5000%;2,2531;3,0665%;Corporates;Deutschland;Renten;3;ESG Muster ausgewogen
19.08.2026;Schneider Electric SE;860180;3,404%;EUR;0,754%;27,141%;-;0%;-;-;Elektro;Europa ohne Deutschland;Aktien;5;ESG Muster ausgewogen
19.08.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;6,314%;EUR;1,171%;22,173%;-;0%;-;-;Index;Europa;Aktien;4;ESG Muster ausgewogen
19.08.2026;US Equity Research Enhanced ETF (Fidelity);A2P0ZN;3,035%;USD;0,030%;0,971%;-;0%;-;-;Index;Nordamerika;Aktien;4;ESG Muster ausgewogen
;;;;;;;;;;;;;;;
