Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
17.06.2026;Commerzbank IHS 0,5 % 04.12.26;CZ45VC;4,484%;0,048%;1,032%;04.12.2026;0,5000%;Financials;Deutschland;Renten;3;ESG Muster defensiv
17.06.2026;Deutsche Post IHS 3,0 % 25.11.31;A460PH;3,938%;-0,001%;-0,085%;25.11.2031;3,0000%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
17.06.2026;Deutschland Green Bond 0 % 15.08.31;103073;4,159%;0,014%;0,290%;15.08.2031;0%;Staat/ Governments;Deutschland;Renten;3;ESG Muster defensiv
17.06.2026;Dt. Bahn IHS 1,875 % 24.05.30;A30VH4;3,544%;0,012%;0,263%;24.05.2030;1,8750%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
17.06.2026;Dt. Pfandbriefbk. Green Bond IHS 5 % 05.02.27;A30WF8;2,100%;0,021%;0,941%;05.02.2027;5,0000%;Financials;Deutschland;Renten;3;ESG Muster defensiv
17.06.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;4,415%;0,217%;4,620%;12.01.2035;3,8750%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
17.06.2026;EnBW Green Bond IHS 4,3 % 23.05.34;A3LREF;4,469%;0,075%;1,591%;23.05.2034;4,3000%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
17.06.2026;Fraport IHS 1,875 % 31.03.28;A3E5F0;3,428%;0,026%;0,703%;31.03.2028;1,8750%;Corporates;Deutschland;Renten;5;ESG Muster defensiv
17.06.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;5,253%;0,840%;17,990%;-;0%;Index;Global;Aktien;4;ESG Muster defensiv
17.06.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;1,732%;0,009%;0,463%;01.11.2028;2,0000%;Financials;Nordamerika;Renten;3;ESG Muster defensiv
17.06.2026;Grenke Finance IHS 5,75 % 06.07.29 ;A3LY39;2,933%;0,131%;4,514%;06.07.2029;5,7500%;Financials;Deutschland;Renten;3;ESG Muster defensiv
17.06.2026;Heidelberg Mat. Green Bd. IHS 3,95 % 19.07.34;A383EX;3,611%;0,065%;1,673%;19.07.2034;3,9500%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
17.06.2026;Hochtief IHS 1,25 % 03.09.31;A2YN2V;4,163%;-0,052%;-1,227%;03.09.2031;1,2500%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
17.06.2026;iBonds Dec 2031 EUR Corp. ETF (iShares);A40MD5;3,308%;0,034%;0,949%;-;0%;Index;Europa;Renten;3;ESG Muster defensiv
17.06.2026;Mercedes-Benz Green Bond IHS 3,7 % 30.05.31;A3LH6U;3,890%;-0,023%;-0,651%;30.05.2031;3,7000%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
17.06.2026;Nikkei 225 ETF Acc. (iShares);A0YEDQ;3,097%;0,892%;38,045%;-;0%;Index;Japan;Aktien;5;ESG Muster defensiv
17.06.2026;NordLB Green Bond IHS 4,875 % 11.07.28;NLB4RS;4,315%;0,054%;1,186%;11.07.2028;4,8750%;Financials;Deutschland;Renten;3;ESG Muster defensiv
17.06.2026;Physical Gold ETC (Invesco);A1AA5X;10,017%;0,014%;0,327%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;ESG Muster defensiv
17.06.2026;RWE Green Bond IHS 0,5 % 26.11.28;A3MP70;2,797%;0,027%;0,902%;26.11.2028;0,5000%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
17.06.2026;Siemens IHS 1,75 % 28.02.39;A2RYDQ;3,877%;0,046%;1,006%;28.02.2039;1,7500%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
17.06.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;4,116%;0,579%;15,522%;-;0%;Index;Europa;Aktien;4;ESG Muster defensiv
17.06.2026;StoxxEuro.600 Paris Align.Clim. ETF (Frankl.);A2P5CM;4,587%;0,345%;7,561%;-;0%;Nachhaltigkeit;Europa;Aktien;4;ESG Muster defensiv
17.06.2026;US Growth Equity Active ETF (JPM);A3EW6K;7,455%;0,479%;6,399%;-;0%;Index;Nordamerika;Aktien;5;ESG Muster defensiv
;;;;;;;;;;;;
