Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
02.07.2026;Artificial Intelligence ETF (WisdomTree);A2N7KX;2,915%;-0,114%;-3,777%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;5;ESG Muster defensiv
02.07.2026;Commerzbank IHS 0,5 % 04.12.26;CZ45VC;4,501%;0,054%;1,175%;04.12.2026;0,5000%;0,4219;2,5644%;Financials;Deutschland;Renten;3;ESG Muster defensiv
02.07.2026;Deutsche Post IHS 3,0 % 25.11.31;A460PH;3,963%;0,015%;0,314%;25.11.2031;3,0000%;4,9861;3,1613%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
02.07.2026;Deutschland Green Bond 0 % 15.08.31;103073;4,180%;0,026%;0,569%;15.08.2031;0%;5,1178;2,6064%;Staat/ Governments;Deutschland;Renten;3;ESG Muster defensiv
02.07.2026;Dt. Bahn IHS 1,875 % 24.05.30;A30VH4;3,565%;0,024%;0,609%;24.05.2030;1,8750%;3,7803;2,8764%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
02.07.2026;Dt. Pfandbriefbk. Green Bond IHS 5 % 05.02.27;A30WF8;2,109%;0,026%;1,131%;05.02.2027;5,0000%;0,5945;3,6676%;Financials;Deutschland;Renten;3;ESG Muster defensiv
02.07.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;4,436%;0,227%;4,865%;12.01.2035;3,8750%;7,3793;3,6390%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
02.07.2026;EnBW Green Bond IHS 4,3 % 23.05.34;A3LREF;4,484%;0,080%;1,701%;23.05.2034;4,3000%;6,9039;3,6368%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
02.07.2026;Fraport IHS 1,875 % 31.03.28;A3E5F0;3,447%;0,036%;1,014%;31.03.2028;1,8750%;1,7240;3,0820%;Corporates;Deutschland;Renten;5;ESG Muster defensiv
02.07.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;5,315%;0,892%;19,094%;-;0%;-;-;Index;Global;Aktien;4;ESG Muster defensiv
02.07.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;1,742%;0,015%;0,809%;01.11.2028;2,0000%;2,2728;2,8115%;Financials;Nordamerika;Renten;3;ESG Muster defensiv
02.07.2026;Grenke Finance IHS 5,75 % 06.07.29 ;A3LY39;2,951%;0,141%;4,893%;06.07.2029;5,7500%;2,7143;3,8146%;Financials;Deutschland;Renten;3;ESG Muster defensiv
02.07.2026;Heidelberg Mat. Green Bd. IHS 3,95 % 19.07.34;A383EX;3,623%;0,068%;1,766%;19.07.2034;3,9500%;6,8784;3,7265%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
02.07.2026;Hochtief IHS 1,25 % 03.09.31;A2YN2V;4,186%;-0,040%;-0,935%;03.09.2031;1,2500%;4,9809;3,6159%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
02.07.2026;iBonds Dec 2031 EUR Corp. ETF (iShares);A40MD5;3,299%;0,016%;0,438%;-;0%;-;-;Index;Europa;Renten;3;ESG Muster defensiv
02.07.2026;Mercedes-Benz Green Bond IHS 3,7 % 30.05.31;A3LH6U;3,899%;-0,023%;-0,646%;30.05.2031;3,7000%;4,5748;3,2832%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
02.07.2026;Nikkei 225 ETF Acc. (iShares);A0YEDQ;3,161%;0,954%;40,549%;-;0%;-;-;Index;Japan;Aktien;5;ESG Muster defensiv
02.07.2026;NordLB Green Bond IHS 4,875 % 11.07.28;NLB4RS;4,335%;0,063%;1,403%;11.07.2028;4,8750%;1,8898;2,7925%;Financials;Deutschland;Renten;3;ESG Muster defensiv
02.07.2026;Physical Gold ETC (Invesco);A1AA5X;9,638%;-0,402%;-3,706%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;ESG Muster defensiv
02.07.2026;RWE Green Bond IHS 0,5 % 26.11.28;A3MP70;2,812%;0,035%;1,208%;26.11.2028;0,5000%;2,3847;2,7795%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
02.07.2026;Siemens IHS 1,75 % 28.02.39;A2RYDQ;3,905%;0,064%;1,492%;28.02.2039;1,7500%;11,3460;3,7327%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
02.07.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;4,034%;0,486%;12,939%;-;0%;-;-;Index;Europa;Aktien;4;ESG Muster defensiv
02.07.2026;StoxxEuro.600 Paris Align.Clim. ETF (Frankl.);A2P5CM;4,639%;0,387%;8,514%;-;0%;-;-;Nachhaltigkeit;Europa;Aktien;4;ESG Muster defensiv
02.07.2026;US Equity Research Enhanced ETF (Fidelity);A2P0ZN;2,981%;-0,002%;-0,069%;-;0%;-;-;Index;Nordamerika;Aktien;4;ESG Muster defensiv
;;;;;;;;;;;;;;
