Auswertungsdatum;Wertpapier;WKN;Gewicht;Währung;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
07.07.2026;Artificial Intelligence ETF (WisdomTree);A2N7KX;2,879%;USD;-0,151%;-4,991%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;5;ESG Muster defensiv
07.07.2026;Commerzbank IHS 0,5 % 04.12.26;CZ45VC;4,504%;EUR;0,056%;1,220%;04.12.2026;0,5000%;0,4082;2,5408%;Financials;Deutschland;Renten;3;ESG Muster defensiv
07.07.2026;Deutsche Post IHS 3,0 % 25.11.31;A460PH;3,949%;EUR;0,001%;-0,036%;25.11.2031;3,0000%;4,9723;3,2427%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
07.07.2026;Deutschland Green Bond 0 % 15.08.31;103073;4,163%;EUR;0,008%;0,137%;15.08.2031;0%;5,1041;2,7002%;Staat/ Governments;Deutschland;Renten;3;ESG Muster defensiv
07.07.2026;Dt. Bahn IHS 1,875 % 24.05.30;A30VH4;3,557%;EUR;0,015%;0,368%;24.05.2030;1,8750%;3,7666;2,9540%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
07.07.2026;Dt. Pfandbriefbk. Green Bond IHS 5 % 05.02.27;A30WF8;2,111%;EUR;0,027%;1,203%;05.02.2027;5,0000%;0,5808;3,6298%;Financials;Deutschland;Renten;3;ESG Muster defensiv
07.07.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;4,413%;EUR;0,203%;4,308%;12.01.2035;3,8750%;7,3651;3,7217%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
07.07.2026;EnBW Green Bond IHS 4,3 % 23.05.34;A3LREF;4,467%;EUR;0,062%;1,295%;23.05.2034;4,3000%;6,8899;3,7074%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
07.07.2026;Fraport IHS 1,875 % 31.03.28;A3E5F0;3,446%;EUR;0,035%;0,971%;31.03.2028;1,8750%;1,7103;3,1330%;Corporates;Deutschland;Renten;5;ESG Muster defensiv
07.07.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;5,342%;USD;0,918%;19,690%;-;0%;-;-;Index;Global;Aktien;4;ESG Muster defensiv
07.07.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;1,741%;EUR;0,014%;0,717%;01.11.2028;2,0000%;2,2591;2,8703%;Financials;Nordamerika;Renten;3;ESG Muster defensiv
07.07.2026;Grenke Finance IHS 5,75 % 06.07.29 ;A3LY39;2,948%;EUR;0,139%;4,789%;06.07.2029;5,7500%;2,8422;3,8723%;Financials;Deutschland;Renten;3;ESG Muster defensiv
07.07.2026;Heidelberg Mat. Green Bd. IHS 3,95 % 19.07.34;A383EX;3,608%;EUR;0,053%;1,334%;19.07.2034;3,9500%;6,8642;3,7992%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
07.07.2026;Hochtief IHS 1,25 % 03.09.31;A2YN2V;4,176%;EUR;-0,050%;-1,178%;03.09.2031;1,2500%;4,9671;3,6774%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
07.07.2026;iBonds Dec 2031 EUR Corp. ETF (iShares);A40MD5;3,298%;EUR;0,015%;0,388%;-;0%;-;-;Index;Europa;Renten;3;ESG Muster defensiv
07.07.2026;Mercedes-Benz Green Bond IHS 3,7 % 30.05.31;A3LH6U;3,891%;EUR;-0,031%;-0,862%;30.05.2031;3,7000%;4,5610;3,3444%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
07.07.2026;Nikkei 225 ETF Acc. (iShares);A0YEDQ;3,115%;JPY;0,907%;38,476%;-;0%;-;-;Index;Japan;Aktien;5;ESG Muster defensiv
07.07.2026;NordLB Green Bond IHS 4,875 % 11.07.28;NLB4RS;4,334%;EUR;0,062%;1,381%;11.07.2028;4,8750%;1,8760;2,8254%;Financials;Deutschland;Renten;3;ESG Muster defensiv
07.07.2026;Physical Gold ETC (Invesco);A1AA5X;9,689%;EUR;-0,351%;-3,196%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;ESG Muster defensiv
07.07.2026;RWE Green Bond IHS 0,5 % 26.11.28;A3MP70;2,808%;EUR;0,031%;1,049%;26.11.2028;0,5000%;2,3710;2,8638%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
07.07.2026;Siemens IHS 1,75 % 28.02.39;A2RYDQ;3,859%;EUR;0,017%;0,272%;28.02.2039;1,7500%;11,3314;3,8496%;Corporates;Deutschland;Renten;3;ESG Muster defensiv
07.07.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;4,108%;EUR;0,561%;15,007%;-;0%;-;-;Index;Europa;Aktien;4;ESG Muster defensiv
07.07.2026;StoxxEuro.600 Paris Align.Clim. ETF (Frankl.);A2P5CM;4,709%;EUR;0,457%;10,141%;-;0%;-;-;Nachhaltigkeit;Europa;Aktien;4;ESG Muster defensiv
07.07.2026;US Equity Research Enhanced ETF (Fidelity);A2P0ZN;3,008%;USD;0,024%;0,820%;-;0%;-;-;Index;Nordamerika;Aktien;4;ESG Muster defensiv
;;;;;;;;;;;;;;;
