Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
19.03.2026;Allianz SE;840400;2,228%;-0,228%;-9,552%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;ESG Muster offensiv
19.03.2026;Deutsche Telekom AG;555750;3,380%;0,461%;16,233%;-;0%;Informationstechnologie;Deutschland;Aktien;ESG Muster offensiv
19.03.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;4,077%;-0,025%;-0,679%;12.01.2035;3,8750%;Corporates;Deutschland;Renten;ESG Muster offensiv
19.03.2026;E.ON SE;ENAG99;3,797%;0,608%;19,659%;-;0%;Versorger;Deutschland;Aktien;ESG Muster offensiv
19.03.2026;Environmental Impact 100 ETF (Rize);A3CN9S;3,804%;0,194%;5,324%;-;0%;Nachhaltigkeit;Global;Aktien;ESG Muster offensiv
19.03.2026;First Solar Inc.;A0LEKM;3,918%;-1,101%;-22,586%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;ESG Muster offensiv
19.03.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;8,639%;0,127%;1,444%;-;0%;Index;Global;Aktien;ESG Muster offensiv
19.03.2026;Intuitive Surgical Inc.;888024;2,795%;-0,449%;-14,114%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;ESG Muster offensiv
19.03.2026;Knorr-Bremse AG;KBX100;3,425%;0,031%;0,578%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;ESG Muster offensiv
19.03.2026;London Stock Exchange GroupPLC;A0JEJF;1,856%;-0,057%;-2,736%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;ESG Muster offensiv
19.03.2026;Microsoft Corp.;870747;3,018%;-0,667%;-18,459%;-;0%;Informationstechnologie;Nordamerika;Aktien;ESG Muster offensiv
19.03.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;3,344%;-0,203%;-5,985%;-;0%;Chemie,Pharma;Global;Aktien;ESG Muster offensiv
19.03.2026;Nikkei 225 ETF Acc. (iShares);A0YEDQ;4,445%;0,413%;10,372%;-;0%;Index;Japan;Aktien;ESG Muster offensiv
19.03.2026;Novartis AG;904278;5,181%;0,410%;8,545%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;ESG Muster offensiv
19.03.2026;Physical Gold ETC (Invesco);A1AA5X;5,456%;0,327%;6,253%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;ESG Muster offensiv
19.03.2026;Schneider Electric SE;860180;2,658%;0,094%;3,619%;-;0%;Elektro;Europa ohne Deutschland;Aktien;ESG Muster offensiv
19.03.2026;Semiconductor ETF (VanEck);A2QC5J;6,919%;0,763%;12,516%;-;0%;Nachhaltigkeit;Global;Aktien;ESG Muster offensiv
19.03.2026;Siemens AG;723610;3,096%;-0,402%;-12,064%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;ESG Muster offensiv
19.03.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;8,577%;0,302%;4,322%;-;0%;Index;Europa;Aktien;ESG Muster offensiv
19.03.2026;StoxxEuro.600 Paris Align.Clim. ETF (Frankl.);A2P5CM;6,307%;-0,024%;-0,542%;-;0%;Nachhaltigkeit;Europa;Aktien;ESG Muster offensiv
19.03.2026;US Growth Equity Active ETF (JPM);A3EW6K;4,791%;-0,317%;-6,388%;-;0%;Index;Nordamerika;Aktien;ESG Muster offensiv
;;;;;;;;;;;
