Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
17.06.2026;Allianz SE;840400;2,265%;0,066%;2,484%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;ESG Muster offensiv
17.06.2026;Deutsche Telekom AG;555750;2,542%;0,024%;0,633%;-;0%;Informationstechnologie;Deutschland;Aktien;5;ESG Muster offensiv
17.06.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;3,583%;0,039%;0,950%;12.01.2035;3,8750%;Corporates;Deutschland;Renten;3;ESG Muster offensiv
17.06.2026;E.ON SE;ENAG99;3,234%;0,408%;13,612%;-;0%;Versorger;Deutschland;Aktien;5;ESG Muster offensiv
17.06.2026;Environmental Impact 100 ETF (Rize);A3CN9S;5,769%;0,582%;17,042%;-;0%;Nachhaltigkeit;Global;Aktien;5;ESG Muster offensiv
17.06.2026;First Solar Inc.;A0LEKM;4,523%;-0,043%;-0,385%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;5;ESG Muster offensiv
17.06.2026;GE Vernova Inc.;A404PC;2,747%;-0,127%;-4,273%;-;0%;Eisen,Stahl,Rohstoffe;Nordamerika;Aktien;5;ESG Muster offensiv
17.06.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;9,015%;1,499%;17,990%;-;0%;Index;Global;Aktien;4;ESG Muster offensiv
17.06.2026;Intuitive Surgical Inc.;888024;2,117%;-0,854%;-27,477%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;5;ESG Muster offensiv
17.06.2026;Knorr-Bremse AG;KBX100;3,342%;0,322%;9,406%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;5;ESG Muster offensiv
17.06.2026;London Stock Exchange GroupPLC;A0JEJF;1,727%;0,016%;0,887%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;ESG Muster offensiv
17.06.2026;Microsoft Corp.;870747;2,656%;-0,696%;-19,809%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;ESG Muster offensiv
17.06.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;3,087%;-0,122%;-3,268%;-;0%;Chemie,Pharma;Global;Aktien;4;ESG Muster offensiv
17.06.2026;Nikkei 225 ETF Acc. (iShares);A0YEDQ;4,988%;1,500%;38,045%;-;0%;Index;Japan;Aktien;5;ESG Muster offensiv
17.06.2026;Novartis AG;904278;4,781%;0,684%;15,071%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;ESG Muster offensiv
17.06.2026;Physical Gold ETC (Invesco);A1AA5X;4,622%;0,017%;0,327%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;ESG Muster offensiv
17.06.2026;Procter & Gamble Co., The;852062;2,976%;0,097%;3,230%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;ESG Muster offensiv
17.06.2026;Schneider Electric SE;860180;2,771%;0,517%;20,370%;-;0%;Elektro;Europa ohne Deutschland;Aktien;5;ESG Muster offensiv
17.06.2026;Semiconductor ETF (VanEck);A2QC5J;6,979%;4,915%;92,746%;-;0%;Nachhaltigkeit;Global;Aktien;6;ESG Muster offensiv
17.06.2026;Siemens AG;723610;3,607%;0,585%;16,796%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;5;ESG Muster offensiv
17.06.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;8,521%;1,206%;15,522%;-;0%;Index;Europa;Aktien;4;ESG Muster offensiv
17.06.2026;StoxxEuro.600 Paris Align.Clim. ETF (Frankl.);A2P5CM;6,119%;0,473%;7,561%;-;0%;Nachhaltigkeit;Europa;Aktien;4;ESG Muster offensiv
17.06.2026;US Growth Equity Active ETF (JPM);A3EW6K;4,885%;0,328%;6,399%;-;0%;Index;Nordamerika;Aktien;5;ESG Muster offensiv
;;;;;;;;;;;;
