Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
02.07.2026;Allianz SE;840400;2,370%;0,170%;7,145%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;ESG Muster offensiv
02.07.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;3,593%;0,047%;1,187%;12.01.2035;3,8750%;7,3793;3,6390%;Corporates;Deutschland;Renten;3;ESG Muster offensiv
02.07.2026;E.ON SE;ENAG99;3,245%;0,413%;13,922%;-;0%;-;-;Versorger;Deutschland;Aktien;5;ESG Muster offensiv
02.07.2026;Environmental Impact 100 ETF (Rize);A3CN9S;5,650%;0,460%;14,544%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;5;ESG Muster offensiv
02.07.2026;First Solar Inc.;A0LEKM;4,012%;-0,546%;-11,691%;-;0%;-;-;Prod. Gew. & Industrie;Nordamerika;Aktien;5;ESG Muster offensiv
02.07.2026;GE Vernova Inc.;A404PC;2,934%;0,065%;2,184%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Nordamerika;Aktien;5;ESG Muster offensiv
02.07.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;9,105%;1,587%;19,094%;-;0%;-;-;Index;Global;Aktien;4;ESG Muster offensiv
02.07.2026;Intuitive Surgical Inc.;888024;2,257%;-0,716%;-22,732%;-;0%;-;-;Prod. Gew. & Industrie;Nordamerika;Aktien;5;ESG Muster offensiv
02.07.2026;Johnson & Johnson;853260;1,996%;0,020%;1,028%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;ESG Muster offensiv
02.07.2026;Knorr-Bremse AG;KBX100;3,405%;0,383%;11,403%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;ESG Muster offensiv
02.07.2026;London Stock Exchange GroupPLC;A0JEJF;1,677%;-0,041%;-2,135%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;ESG Muster offensiv
02.07.2026;Microsoft Corp.;870747;2,755%;-0,602%;-16,868%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;ESG Muster offensiv
02.07.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;3,340%;0,126%;4,581%;-;0%;-;-;Chemie,Pharma;Global;Aktien;4;ESG Muster offensiv
02.07.2026;Nikkei 225 ETF Acc. (iShares);A0YEDQ;5,081%;1,600%;40,549%;-;0%;-;-;Index;Japan;Aktien;5;ESG Muster offensiv
02.07.2026;Novartis AG;904278;5,067%;0,963%;21,865%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;ESG Muster offensiv
02.07.2026;Physical Gold ETC (Invesco);A1AA5X;4,439%;-0,172%;-3,706%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;ESG Muster offensiv
02.07.2026;Procter & Gamble Co., The;852062;3,012%;0,129%;4,419%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;ESG Muster offensiv
02.07.2026;Schneider Electric SE;860180;2,705%;0,454%;17,454%;-;0%;-;-;Elektro;Europa ohne Deutschland;Aktien;5;ESG Muster offensiv
02.07.2026;Semiconductor ETF (VanEck);A2QC5J;6,807%;4,739%;87,897%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;6;ESG Muster offensiv
02.07.2026;Siemens AG;723610;3,659%;0,638%;18,422%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;ESG Muster offensiv
02.07.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;8,335%;1,016%;12,939%;-;0%;-;-;Index;Europa;Aktien;4;ESG Muster offensiv
02.07.2026;StoxxEuro.600 Paris Align.Clim. ETF (Frankl.);A2P5CM;6,177%;0,529%;8,514%;-;0%;-;-;Nachhaltigkeit;Europa;Aktien;4;ESG Muster offensiv
02.07.2026;US Equity Research Enhanced ETF (Fidelity);A2P0ZN;3,001%;-0,002%;-0,069%;-;0%;-;-;Index;Nordamerika;Aktien;4;ESG Muster offensiv
;;;;;;;;;;;;;;
