Auswertungsdatum;Wertpapier;WKN;Gewicht;Währung;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
17.09.2026; STOXX Europe 600 SRI ETF (SPDR);A2PPQZ;5,892%;EUR;-0,241%;-4,030%;-;0%;-;-;Index;Europa;Aktien;4;ESG Muster offensiv
17.09.2026;Allianz SE;840400;2,595%;EUR;0,451%;20,833%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;ESG Muster offensiv
17.09.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;3,516%;EUR;-0,086%;-2,535%;12.01.2035;3,8750%;7,1502;4,3000%;Corporates;Deutschland;Renten;3;ESG Muster offensiv
17.09.2026;E.ON SE;ENAG99;3,189%;EUR;0,431%;13,593%;-;0%;-;-;Versorger;Deutschland;Aktien;5;ESG Muster offensiv
17.09.2026;Environmental Impact 100 ETF (Rize);A3CN9S;5,624%;USD;0,334%;12,251%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;5;ESG Muster offensiv
17.09.2026;First Solar Inc.;A0LEKM;3,637%;USD;-0,985%;-21,188%;-;0%;-;-;Prod. Gew. & Industrie;Nordamerika;Aktien;5;ESG Muster offensiv
17.09.2026;GE Vernova Inc.;A404PC;2,468%;USD;-0,450%;-15,403%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Nordamerika;Aktien;5;ESG Muster offensiv
17.09.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;9,227%;USD;1,549%;18,819%;-;0%;-;-;Index;Global;Aktien;4;ESG Muster offensiv
17.09.2026;Intuitive Surgical Inc.;888024;2,057%;USD;-0,938%;-30,691%;-;0%;-;-;Prod. Gew. & Industrie;Nordamerika;Aktien;5;ESG Muster offensiv
17.09.2026;Japan Equity Active ETF (GS);A4135A;5,176%;JPY;-0,018%;-0,359%;-;0%;-;-;Index;Japan;Aktien;4;ESG Muster offensiv
17.09.2026;Johnson & Johnson;853260;2,075%;USD;0,066%;3,404%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;ESG Muster offensiv
17.09.2026;Knorr-Bremse AG;KBX100;3,449%;EUR;0,428%;13,215%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;ESG Muster offensiv
17.09.2026;London Stock Exchange GroupPLC;A0JEJF;1,630%;GBP;-0,079%;-5,323%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;ESG Muster offensiv
17.09.2026;Microsoft Corp.;870747;3,555%;USD;0,145%;5,822%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;ESG Muster offensiv
17.09.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;3,416%;EUR;0,149%;5,324%;-;0%;-;-;Chemie,Pharma;Global;Aktien;4;ESG Muster offensiv
17.09.2026;Novartis AG;904278;4,529%;CHF;0,357%;7,250%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;ESG Muster offensiv
17.09.2026;Physical Gold ETC (Invesco);A1AA5X;4,748%;EUR;0,060%;1,398%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;ESG Muster offensiv
17.09.2026;Procter & Gamble Co., The;852062;2,970%;USD;0,040%;1,383%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;ESG Muster offensiv
17.09.2026;Schneider Electric SE;860180;2,859%;EUR;0,599%;24,157%;-;0%;-;-;Elektro;Europa ohne Deutschland;Aktien;5;ESG Muster offensiv
17.09.2026;Semiconductor ETF (VanEck);A2QC5J;6,347%;EUR;4,108%;72,468%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;6;ESG Muster offensiv
17.09.2026;Siemens AG;723610;3,579%;EUR;0,487%;14,017%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;ESG Muster offensiv
17.09.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;9,254%;EUR;1,783%;23,438%;-;0%;-;-;Index;Europa;Aktien;4;ESG Muster offensiv
17.09.2026;US Equity Research Enhanced ETF (Fidelity);A2P0ZN;3,083%;USD;0,032%;1,057%;-;0%;-;-;Index;Nordamerika;Aktien;4;ESG Muster offensiv
;;;;;;;;;;;;;;;
