Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
18.03.2026;Deutschland Staatsanl. ETF 5-10 J. (Deka);ETFL20;8,755%;-0,021%;-0,261%;-;0%;Staat/ Governments;Deutschland;Renten;ETF Muster 40/60 ausgew.
18.03.2026;Environmental Impact 100 ETF (Rize);A3CN9S;3,118%;0,205%;6,772%;-;0%;Nachhaltigkeit;Global;Aktien;ETF Muster 40/60 ausgew.
18.03.2026;EUR Corp. Bond SRI 3-5Y ETF (BNPP Easy);A2PP8C;9,526%;-0,030%;-0,336%;-;0%;Index;Europa;Renten;ETF Muster 40/60 ausgew.
18.03.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;21,284%;0,750%;3,580%;-;0%;Index;Global;Aktien;ETF Muster 40/60 ausgew.
18.03.2026;MSCI Europe SRI ETF (iShares);A1H7ZS;7,786%;-0,010%;-0,177%;-;0%;Index;Europa;Aktien;ETF Muster 40/60 ausgew.
18.03.2026;Physical Gold ETC (Invesco);A1AA5X;15,347%;1,812%;13,089%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;ETF Muster 40/60 ausgew.
18.03.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;3,466%;0,147%;4,308%;-;0%;Index;Europa;Aktien;ETF Muster 40/60 ausgew.
18.03.2026;Sustainable Euro Green Bond ETF (Franklin);A2PB5T;13,008%;0,014%;0,080%;-;0%;Index;Europa;Renten;ETF Muster 40/60 ausgew.
18.03.2026;USD Corp. Greenbond ETF EUR Hdgd (Xtrackers);DBX0KF;13,387%;-0,061%;-0,476%;-;0%;Nachhaltigkeit;Nordamerika;Renten;ETF Muster 40/60 ausgew.
;;;;;;;;;;;
