Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
17.06.2026;Deutschland Staatsanl. ETF 5-10 J. (Deka);ETFL20;8,514%;0,050%;0,551%;-;0%;Staat/ Governments;Deutschland;Renten;3;ETF Muster 40/60 ausgew.
17.06.2026;Environmental Impact 100 ETF (Rize);A3CN9S;3,327%;0,502%;17,042%;-;0%;Nachhaltigkeit;Global;Aktien;5;ETF Muster 40/60 ausgew.
17.06.2026;EUR Corp. Bond SRI 3-5Y ETF (BNPP Easy);A2PP8C;9,150%;-0,157%;-1,655%;-;0%;Index;Europa;Renten;2;ETF Muster 40/60 ausgew.
17.06.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;23,599%;3,737%;17,990%;-;0%;Index;Global;Aktien;4;ETF Muster 40/60 ausgew.
17.06.2026;MSCI Europe SRI ETF (iShares);A1H7ZS;8,240%;0,670%;8,540%;-;0%;Index;Europa;Aktien;4;ETF Muster 40/60 ausgew.
17.06.2026;Physical Gold ETC (Invesco);A1AA5X;13,253%;0,048%;0,327%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;ETF Muster 40/60 ausgew.
17.06.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;3,737%;0,518%;15,522%;-;0%;Index;Europa;Aktien;4;ETF Muster 40/60 ausgew.
17.06.2026;Sustainable Euro Green Bond ETF (Franklin);A2PB5T;12,782%;0,136%;1,032%;-;0%;Index;Europa;Renten;3;ETF Muster 40/60 ausgew.
17.06.2026;USD Corp. Greenbond ETF EUR Hdgd (Xtrackers);DBX0KF;13,097%;0,006%;0,035%;-;0%;Nachhaltigkeit;Nordamerika;Renten;2;ETF Muster 40/60 ausgew.
;;;;;;;;;;;;
