Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
02.07.2026;Deutschland Staatsanl. ETF 5-10 J. (Deka);ETFL20;8,582%;0,095%;1,068%;-;0%;-;-;Staat/ Governments;Deutschland;Renten;3;ETF Muster 40/60 ausgew.
02.07.2026;Environmental Impact 100 ETF (Rize);A3CN9S;3,265%;0,430%;14,544%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;5;ETF Muster 40/60 ausgew.
02.07.2026;EUR Corp. Bond SRI 3-5Y ETF (BNPP Easy);A2PP8C;9,201%;-0,131%;-1,385%;-;0%;-;-;Index;Europa;Renten;2;ETF Muster 40/60 ausgew.
02.07.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;20,902%;3,926%;19,094%;-;0%;-;-;Index;Global;Aktien;4;ETF Muster 40/60 ausgew.
02.07.2026;MSCI Europe SRI ETF (iShares);A1H7ZS;8,390%;0,796%;10,192%;-;0%;-;-;Index;Europa;Aktien;4;ETF Muster 40/60 ausgew.
02.07.2026;Physical Gold ETC (Invesco);A1AA5X;12,756%;-0,503%;-3,706%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;ETF Muster 40/60 ausgew.
02.07.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;3,664%;0,432%;12,939%;-;0%;-;-;Index;Europa;Aktien;4;ETF Muster 40/60 ausgew.
02.07.2026;Sustainable Euro Green Bond ETF (Franklin);A2PB5T;12,859%;0,177%;1,354%;-;0%;-;-;Index;Europa;Renten;3;ETF Muster 40/60 ausgew.
02.07.2026;USD Corp. Greenbond ETF EUR Hdgd (Xtrackers);DBX0KF;13,116%;-0,013%;-0,106%;-;0%;-;-;Nachhaltigkeit;Nordamerika;Renten;2;ETF Muster 40/60 ausgew.
;;;;;;;;;;;;;;
