Auswertungsdatum;Wertpapier;WKN;Gewicht;Währung;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
20.07.2026;Deutschland Staatsanl. ETF 5-10 J. (Deka);ETFL20;8,472%;EUR;-0,066%;-0,812%;-;0%;-;-;Staat/ Governments;Deutschland;Renten;3;ETF Muster 40/60 ausgew.
20.07.2026;Environmental Impact 100 ETF (Rize);A3CN9S;3,252%;USD;0,397%;13,415%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;5;ETF Muster 40/60 ausgew.
20.07.2026;EUR Corp. Bond SRI 3-5Y ETF (BNPP Easy);A2PP8C;12,101%;EUR;0,012%;0,269%;-;0%;-;-;Index;Europa;Renten;2;ETF Muster 40/60 ausgew.
20.07.2026;Global Active ESG Equity ETF (Invesco);A2PHJT;20,857%;USD;3,755%;18,150%;-;0%;-;-;Index;Global;Aktien;4;ETF Muster 40/60 ausgew.
20.07.2026;MSCI Europe SRI ETF (iShares);A1H7ZS;8,414%;EUR;0,770%;9,877%;-;0%;-;-;Index;Europa;Aktien;4;ETF Muster 40/60 ausgew.
20.07.2026;Physical Gold ETC (Invesco);A1AA5X;12,508%;EUR;-0,809%;-6,126%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;ETF Muster 40/60 ausgew.
20.07.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;3,821%;EUR;0,567%;17,101%;-;0%;-;-;Index;Europa;Aktien;4;ETF Muster 40/60 ausgew.
20.07.2026;Sustainable Euro Green Bond ETF (Franklin);A2PB5T;12,818%;EUR;0,060%;0,442%;-;0%;-;-;Index;Europa;Renten;3;ETF Muster 40/60 ausgew.
20.07.2026;USD Corp. Greenbond ETF EUR Hdgd (Xtrackers);DBX0KF;13,151%;EUR;-0,054%;-0,415%;-;0%;-;-;Nachhaltigkeit;Nordamerika;Renten;2;ETF Muster 40/60 ausgew.
;;;;;;;;;;;;;;;
