Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
19.03.2026;Alphabet Inc. A;A14Y6F;3,210%;-0,018%;-0,538%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster Defensiv Plus cVV
19.03.2026;Amazon.com Inc.;906866;2,676%;-0,242%;-8,302%;-;0%;Handel,Konsum;Nordamerika;Aktien;Muster Defensiv Plus cVV
19.03.2026;Bayer IHS 4,625 % 26.05.33 ;A351U1;4,396%;-0,035%;-0,850%;26.05.2033;4,6250%;Corporates;Deutschland;Renten;Muster Defensiv Plus cVV
19.03.2026;Deutsche Börse AG;581005;2,533%;0,269%;12,366%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;Muster Defensiv Plus cVV
19.03.2026;Deutsche Börse IHS 3,25 % 24.03.31;A460QR;4,103%;0,001%;0,032%;24.03.2031;3,2500%;Corporates;Deutschland;Renten;Muster Defensiv Plus cVV
19.03.2026;Deutsche Telekom AG;555750;2,407%;0,332%;16,233%;-;0%;Informationstechnologie;Deutschland;Aktien;Muster Defensiv Plus cVV
19.03.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;3,759%;-0,024%;-0,679%;12.01.2035;3,8750%;Corporates;Deutschland;Renten;Muster Defensiv Plus cVV
19.03.2026;Eli Lilly and Company;858560;2,425%;-0,367%;-13,445%;-;0%;Chemie,Pharma;Nordamerika;Aktien;Muster Defensiv Plus cVV
19.03.2026;Franklin European Dividend ETF;A2DTF2;3,112%;0,071%;2,400%;-;0%;Index;Europa;Aktien;Muster Defensiv Plus cVV
19.03.2026;Fraport IHS 1,875 % 31.03.28;A3E5F0;3,802%;-0,012%;-0,336%;31.03.2028;1,8750%;Corporates;Deutschland;Renten;Muster Defensiv Plus cVV
19.03.2026;Future of Defence UCITS ETF (HanETF);A3EB9T;3,800%;0,408%;12,320%;-;0%;Index;Global;Aktien;Muster Defensiv Plus cVV
19.03.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;4,287%;-0,043%;-1,025%;01.11.2028;2,0000%;Financials;Nordamerika;Renten;Muster Defensiv Plus cVV
19.03.2026;Grenke Finance IHS 5,75 % 06.07.29 ;A3LY39;4,752%;0,016%;0,332%;06.07.2029;5,7500%;Financials;Deutschland;Renten;Muster Defensiv Plus cVV
19.03.2026;Heidelberg Materials IHS 3 % 10.07.30;A4EA9Y;4,693%;-0,059%;-1,300%;10.07.2030;3,0000%;Corporates;Deutschland;Renten;Muster Defensiv Plus cVV
19.03.2026;Japan Equity Partners Portfolio GS;A14T2K;2,443%;0,031%;1,208%;-;0%;Region;Japan;Aktien;Muster Defensiv Plus cVV
19.03.2026;KfW staatsg. Green Bond IHS 2,875 % 31.03.32;A38J3W;3,699%;-0,007%;-0,213%;31.03.2032;2,8750%;staatsgarantiert;Deutschland;Renten;Muster Defensiv Plus cVV
19.03.2026;Mercedes-Benz Green Bond IHS 3,7 % 30.05.31;A3LH6U;3,766%;-0,027%;-0,768%;30.05.2031;3,7000%;Corporates;Deutschland;Renten;Muster Defensiv Plus cVV
19.03.2026;Meta Platforms Inc. A;A1JWVX;1,843%;-0,132%;-6,817%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster Defensiv Plus cVV
19.03.2026;Microsoft Corp.;870747;2,041%;-0,456%;-18,459%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster Defensiv Plus cVV
19.03.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;2,374%;-0,095%;-3,983%;-;0%;Chemie,Pharma;Global;Aktien;Muster Defensiv Plus cVV
19.03.2026;Münchener Rückvers.-Ges. AG;843002;2,542%;-0,153%;-5,799%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;Muster Defensiv Plus cVV
19.03.2026;Porsche IHS 4,25 % 27.09.30;A351SX;3,372%;0,009%;0,241%;27.09.2030;4,2500%;Corporates;Deutschland;Renten;Muster Defensiv Plus cVV
19.03.2026;Semiconductor ETF (VanEck);A2QC5J;5,760%;0,634%;12,516%;-;0%;Nachhaltigkeit;Global;Aktien;Muster Defensiv Plus cVV
19.03.2026;Siemens AG;723610;2,432%;-0,322%;-12,064%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;Muster Defensiv Plus cVV
19.03.2026;StoxxEuro.600 Construc. & Materials ETF (iSh);A0H08F;3,150%;-0,256%;-7,800%;-;0%;Index;Europa;Aktien;Muster Defensiv Plus cVV
19.03.2026;VISA Inc.;A0NC7B;1,939%;-0,294%;-13,360%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;Muster Defensiv Plus cVV
19.03.2026;VW IHS 1,625 % 16.01.30;A1ZUTM;3,345%;-0,034%;-1,070%;16.01.2030;1,6250%;Corporates;Deutschland;Renten;Muster Defensiv Plus cVV
19.03.2026;XETRA Gold;A0S9GB;9,073%;0,632%;6,264%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;Muster Defensiv Plus cVV
;;;;;;;;;;;
