Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
17.06.2026;Alphabet Inc. A;A14Y6F;3,627%;0,621%;18,748%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster Defensiv Plus cVV
17.06.2026;Amazon.com Inc.;906866;2,905%;0,182%;5,084%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;Muster Defensiv Plus cVV
17.06.2026;Bayer IHS 4,625 % 26.05.33 ;A351U1;4,232%;0,034%;0,798%;26.05.2033;4,6250%;Corporates;Deutschland;Renten;3;Muster Defensiv Plus cVV
17.06.2026;Deutsche Börse AG;581005;2,361%;0,241%;10,573%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster Defensiv Plus cVV
17.06.2026;Deutsche Börse IHS 3,25 % 24.03.31;A460QR;3,945%;0,063%;1,560%;24.03.2031;3,2500%;Corporates;Deutschland;Renten;3;Muster Defensiv Plus cVV
17.06.2026;Deutsche Telekom AG;555750;1,911%;0,014%;0,633%;-;0%;Informationstechnologie;Deutschland;Aktien;5;Muster Defensiv Plus cVV
17.06.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;3,487%;0,033%;0,950%;12.01.2035;3,8750%;Corporates;Deutschland;Renten;3;Muster Defensiv Plus cVV
17.06.2026;Eli Lilly and Company;858560;2,804%;0,151%;5,856%;-;0%;Chemie,Pharma;Nordamerika;Aktien;5;Muster Defensiv Plus cVV
17.06.2026;European Dividend ETF (Franklin);A2DTF2;2,966%;0,105%;3,389%;-;0%;Index;Europa;Aktien;3;Muster Defensiv Plus cVV
17.06.2026;Fraport IHS 1,875 % 31.03.28;A3E5F0;3,569%;0,026%;0,703%;31.03.2028;1,8750%;Corporates;Deutschland;Renten;5;Muster Defensiv Plus cVV
17.06.2026;Future of Defence UCITS ETF (HanETF);A3EB9T;3,657%;0,465%;14,157%;-;0%;Index;Global;Aktien;5;Muster Defensiv Plus cVV
17.06.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;4,121%;0,020%;0,463%;01.11.2028;2,0000%;Financials;Nordamerika;Renten;3;Muster Defensiv Plus cVV
17.06.2026;Grenke Finance IHS 5,75 % 06.07.29 ;A3LY39;4,552%;0,069%;1,494%;06.07.2029;5,7500%;Financials;Deutschland;Renten;3;Muster Defensiv Plus cVV
17.06.2026;Heidelberg Materials IHS 3 % 10.07.30;A4EA9Y;4,507%;0,004%;0,087%;10.07.2030;3,0000%;Corporates;Deutschland;Renten;3;Muster Defensiv Plus cVV
17.06.2026;Japan Equity Active ETF (GS);A4135A;2,570%;0,079%;3,102%;-;0%;Index;Japan;Aktien;4;Muster Defensiv Plus cVV
17.06.2026;KfW staatsg. Green Bond IHS 2,875 % 31.03.32;A38J3W;3,440%;0,027%;0,826%;31.03.2032;2,8750%;staatsgarantiert;Deutschland;Renten;3;Muster Defensiv Plus cVV
17.06.2026;Mercedes-Benz Green Bond IHS 3,7 % 30.05.31;A3LH6U;3,621%;0,028%;0,748%;30.05.2031;3,7000%;Corporates;Deutschland;Renten;3;Muster Defensiv Plus cVV
17.06.2026;Microsoft Corp.;870747;1,896%;-0,472%;-19,809%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster Defensiv Plus cVV
17.06.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;2,313%;-0,032%;-1,208%;-;0%;Chemie,Pharma;Global;Aktien;4;Muster Defensiv Plus cVV
17.06.2026;Münchener Rückvers.-Ges. AG;843002;2,112%;-0,454%;-17,360%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster Defensiv Plus cVV
17.06.2026;Porsche IHS 4,25 % 27.09.30;A351SX;3,249%;0,065%;1,979%;27.09.2030;4,2500%;Corporates;Deutschland;Renten;3;Muster Defensiv Plus cVV
17.06.2026;Semiconductor ETF (VanEck);A2QC5J;5,931%;3,848%;92,746%;-;0%;Nachhaltigkeit;Global;Aktien;6;Muster Defensiv Plus cVV
17.06.2026;Siemens AG;723610;2,991%;0,453%;16,796%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster Defensiv Plus cVV
17.06.2026;SLB Ltd.;853390;2,247%;-0,215%;-8,659%;-;0%;Eisen,Stahl,Rohstoffe;Nordamerika;Aktien;5;Muster Defensiv Plus cVV
17.06.2026;VISA Inc.;A0NC7B;2,039%;-0,074%;-3,592%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;5;Muster Defensiv Plus cVV
17.06.2026;VW IHS 1,625 % 16.01.30;A1ZUTM;3,154%;0,006%;0,197%;16.01.2030;1,6250%;Corporates;Deutschland;Renten;3;Muster Defensiv Plus cVV
17.06.2026;XETRA Gold;A0S9GB;8,118%;0,135%;0,390%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;5;Muster Defensiv Plus cVV
;;;;;;;;;;;;
