Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
02.07.2026;Allianz SE;840400;2,495%;0,039%;1,606%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster Defensiv Plus cVV
02.07.2026;Alphabet Inc. A;A14Y6F;3,604%;0,605%;18,200%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster Defensiv Plus cVV
02.07.2026;Amazon.com Inc.;906866;2,980%;0,264%;7,998%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster Defensiv Plus cVV
02.07.2026;Bayer IHS 4,625 % 26.05.33 ;A351U1;4,249%;0,057%;1,354%;26.05.2033;4,6250%;6,0994;3,7278%;Corporates;Deutschland;Renten;3;Muster Defensiv Plus cVV
02.07.2026;Deutsche Börse AG;581005;2,326%;0,209%;9,095%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster Defensiv Plus cVV
02.07.2026;Deutsche Börse IHS 3,25 % 24.03.31;A460QR;3,949%;0,073%;1,817%;24.03.2031;3,2500%;4,4258;3,1027%;Corporates;Deutschland;Renten;3;Muster Defensiv Plus cVV
02.07.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;3,489%;0,042%;1,187%;12.01.2035;3,8750%;7,3793;3,6390%;Corporates;Deutschland;Renten;3;Muster Defensiv Plus cVV
02.07.2026;Eli Lilly and Company;858560;3,074%;0,426%;16,232%;-;0%;-;-;Chemie,Pharma;Nordamerika;Aktien;5;Muster Defensiv Plus cVV
02.07.2026;European Dividend ETF (Franklin);A2DTF2;2,907%;0,050%;1,482%;-;0%;-;-;Index;Europa;Aktien;3;Muster Defensiv Plus cVV
02.07.2026;Fraport IHS 1,875 % 31.03.28;A3E5F0;3,574%;0,037%;1,014%;31.03.2028;1,8750%;1,7240;3,0820%;Corporates;Deutschland;Renten;5;Muster Defensiv Plus cVV
02.07.2026;Future of Defence UCITS ETF (HanETF);A3EB9T;3,704%;0,517%;15,790%;-;0%;-;-;Index;Global;Aktien;5;Muster Defensiv Plus cVV
02.07.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;4,129%;0,034%;0,809%;01.11.2028;2,0000%;2,2728;2,8115%;Financials;Nordamerika;Renten;3;Muster Defensiv Plus cVV
02.07.2026;Grenke Finance IHS 5,75 % 06.07.29 ;A3LY39;4,561%;0,085%;1,863%;06.07.2029;5,7500%;2,7143;3,8146%;Financials;Deutschland;Renten;3;Muster Defensiv Plus cVV
02.07.2026;Heidelberg Materials IHS 3 % 10.07.30;A4EA9Y;4,515%;0,018%;0,412%;10.07.2030;3,0000%;3,7414;3,2512%;Corporates;Deutschland;Renten;3;Muster Defensiv Plus cVV
