Auswertungsdatum;Wertpapier;WKN;Gewicht;Währung;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
20.07.2026;Allianz SE;840400;2,539%;EUR;0,065%;2,675%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster Defensiv Plus cVV
20.07.2026;Alphabet Inc. A;A14Y6F;3,556%;USD;0,535%;15,890%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster Defensiv Plus cVV
20.07.2026;Amazon.com Inc.;906866;3,098%;USD;0,359%;11,471%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster Defensiv Plus cVV
20.07.2026;Bayer IHS 4,625 % 26.05.33 ;A351U1;4,059%;EUR;0,017%;0,403%;26.05.2033;4,6250%;6,0453;3,9288%;Corporates;Deutschland;Renten;3;Muster Defensiv Plus cVV
20.07.2026;Deutsche Börse AG;581005;2,462%;EUR;0,370%;16,568%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster Defensiv Plus cVV
20.07.2026;Deutsche Börse IHS 3,25 % 24.03.31;A460QR;3,944%;EUR;0,041%;1,002%;24.03.2031;3,2500%;4,3751;3,3282%;Corporates;Deutschland;Renten;3;Muster Defensiv Plus cVV
20.07.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;3,466%;EUR;-0,006%;-0,184%;12.01.2035;3,8750%;7,3211;3,8594%;Corporates;Deutschland;Renten;3;Muster Defensiv Plus cVV
20.07.2026;Eli Lilly and Company;858560;2,930%;USD;0,265%;10,193%;-;0%;-;-;Chemie,Pharma;Nordamerika;Aktien;5;Muster Defensiv Plus cVV
20.07.2026;European Dividend ETF (Franklin);A2DTF2;2,995%;EUR;0,180%;6,027%;-;0%;-;-;Index;Europa;Aktien;3;Muster Defensiv Plus cVV
20.07.2026;Fraport IHS 1,875 % 31.03.28;A3E5F0;3,593%;EUR;0,031%;0,860%;31.03.2028;1,8750%;1,6746;3,2686%;Corporates;Deutschland;Renten;5;Muster Defensiv Plus cVV
20.07.2026;Future of Defence UCITS ETF (HanETF);A3EB9T;3,680%;USD;0,467%;14,260%;-;0%;-;-;Index;Global;Aktien;5;Muster Defensiv Plus cVV
20.07.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;4,137%;EUR;0,013%;0,308%;01.11.2028;2,0000%;2,2233;3,1055%;Financials;Nordamerika;Renten;3;Muster Defensiv Plus cVV
20.07.2026;Grenke Finance IHS 5,75 % 06.07.29 ;A3LY39;4,334%;EUR;0,064%;1,375%;06.07.2029;5,7500%;2,8062;4,0627%;Financials;Deutschland;Renten;3;Muster Defensiv Plus cVV
20.07.2026;Heidelberg Materials IHS 3 % 10.07.30;A4EA9Y;4,509%;EUR;-0,019%;-0,405%;10.07.2030;3,0000%;3,8003;3,5247%;Corporates;Deutschland;Renten;3;Muster Defensiv Plus cVV
20.07.2026;Japan Equity Active ETF (GS);A4135A;2,475%;JPY;-0,030%;-1,231%;-;0%;-;-;Index;Japan;Aktien;4;Muster Defensiv Plus cVV
20.07.2026;KfW staatsg. Green Bond IHS 2,875 % 31.03.32;A38J3W;3,426%;EUR;-0,004%;-0,099%;31.03.2032;2,8750%;5,2943;3,1101%;staatsgarantiert;Deutschland;Renten;3;Muster Defensiv Plus cVV
20.07.2026;Mercedes-Benz Green Bond IHS 3,7 % 30.05.31;A3LH6U;3,492%;EUR;0,008%;0,158%;30.05.2031;3,7000%;4,5240;3,4550%;Corporates;Deutschland;Renten;3;Muster Defensiv Plus cVV
20.07.2026;Microsoft Corp.;870747;2,040%;USD;-0,335%;-13,991%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster Defensiv Plus cVV
20.07.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;2,459%;EUR;0,101%;4,452%;-;0%;-;-;Chemie,Pharma;Global;Aktien;4;Muster Defensiv Plus cVV
20.07.2026;MSCI World Momentum ESG  ETF (iShares);A3CUJS;3,419%;EUR;-0,153%;-4,314%;-;0%;-;-;Index;Global;Aktien;4;Muster Defensiv Plus cVV
20.07.2026;Münchener Rückvers.-Ges. AG;843002;2,360%;EUR;-0,103%;-3,773%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster Defensiv Plus cVV
20.07.2026;Porsche IHS 4,25 % 27.09.30;A351SX;3,232%;EUR;0,031%;0,918%;27.09.2030;4,2500%;3,8122;3,9433%;Corporates;Deutschland;Renten;3;Muster Defensiv Plus cVV
20.07.2026;Semiconductor ETF (VanEck);A2QC5J;3,740%;EUR;3,414%;75,381%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;6;Muster Defensiv Plus cVV
20.07.2026;Siemens AG;723610;2,919%;EUR;0,364%;13,396%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster Defensiv Plus cVV
20.07.2026;SLB Ltd.;853390;2,109%;EUR;-0,361%;-14,692%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Nordamerika;Aktien;5;Muster Defensiv Plus cVV
20.07.2026;VISA Inc.;A0NC7B;2,254%;USD;0,133%;6,260%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;5;Muster Defensiv Plus cVV
20.07.2026;VW IHS 1,625 % 16.01.30;A1ZUTM;3,157%;EUR;-0,007%;-0,230%;16.01.2030;1,6250%;3,3937;3,6683%;Corporates;Deutschland;Renten;3;Muster Defensiv Plus cVV
20.07.2026;XETRA Gold;A0S9GB;7,641%;EUR;-0,382%;-6,006%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;5;Muster Defensiv Plus cVV
;;;;;;;;;;;;;;;
