Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
19.03.2026;Airbus SE;938914;3,487%;-0,691%;-17,212%;-;0%;Prod. Gew. & Industrie;Europa ohne Deutschland;Aktien;Muster Dynamic cVV
19.03.2026;Allianz SE;840400;4,524%;-0,444%;-9,552%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;Muster Dynamic cVV
19.03.2026;Alphabet Inc. A;A14Y6F;3,980%;0,128%;-0,538%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster Dynamic cVV
19.03.2026;Apple Inc.;865985;3,031%;-0,225%;-7,183%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster Dynamic cVV
19.03.2026;ASML Holding N.V.;A1J4U4;3,458%;-0,273%;-7,743%;-;0%;Elektro;Europa ohne Deutschland;Aktien;Muster Dynamic cVV
19.03.2026;Booking Holdings Inc.;A2JEXP;2,651%;-0,575%;-18,557%;-;0%;Dienstleistungen;Nordamerika;Aktien;Muster Dynamic cVV
19.03.2026;Coca-Cola Co.;850663;3,031%;-0,063%;-2,171%;-;0%;Handel,Konsum;Nordamerika;Aktien;Muster Dynamic cVV
19.03.2026;Deutsche Telekom AG;555750;3,622%;0,489%;16,233%;-;0%;Informationstechnologie;Deutschland;Aktien;Muster Dynamic cVV
19.03.2026;E.ON SE;ENAG99;3,715%;0,590%;19,659%;-;0%;Versorger;Deutschland;Aktien;Muster Dynamic cVV
19.03.2026;Eli Lilly and Company;858560;3,552%;-0,527%;-13,445%;-;0%;Chemie,Pharma;Nordamerika;Aktien;Muster Dynamic cVV
19.03.2026;Ferrari N.V.;A2ACKK;1,985%;-0,305%;-13,977%;-;0%;Automobil;Europa ohne Deutschland;Aktien;Muster Dynamic cVV
19.03.2026;Intuitive Surgical Inc.;888024;2,531%;-0,389%;-14,114%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;Muster Dynamic cVV
19.03.2026;McDonalds Corp.;856958;2,484%;-0,096%;-3,837%;-;0%;Handel,Konsum;Nordamerika;Aktien;Muster Dynamic cVV
19.03.2026;Mercadolibre Inc.;A0MYNP;2,431%;-0,457%;-16,145%;-;0%;Handel,Konsum;Emerging Markets;Aktien;Muster Dynamic cVV
19.03.2026;Meta Platforms Inc. A;A1JWVX;3,336%;-0,239%;-6,817%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster Dynamic cVV
19.03.2026;Münchener Rückvers.-Ges. AG;843002;4,029%;-0,230%;-5,799%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;Muster Dynamic cVV
19.03.2026;Netflix Inc.;552484;4,121%;-0,009%;-0,747%;-;0%;Dienstleistungen;Nordamerika;Aktien;Muster Dynamic cVV
19.03.2026;Novartis AG;904278;3,518%;0,262%;8,545%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;Muster Dynamic cVV
19.03.2026;NVIDIA Corp.;918422;4,268%;-0,131%;-2,933%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster Dynamic cVV
19.03.2026;Philip Morris Internat. Inc.;A0NDBJ;3,942%;0,110%;3,260%;-;0%;Handel,Konsum;Nordamerika;Aktien;Muster Dynamic cVV
19.03.2026;Rheinmetall AG;703000;3,544%;0,216%;0,225%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;Muster Dynamic cVV
19.03.2026;Samsung Electronics Co. Ltd. (GDRs);896360;4,217%;1,519%;40,299%;-;0%;Elektro;Asien;Aktien;Muster Dynamic cVV
19.03.2026;Schneider Electric SE;860180;2,374%;0,084%;3,619%;-;0%;Elektro;Europa ohne Deutschland;Aktien;Muster Dynamic cVV
19.03.2026;Shell PLC;A3C99G;3,875%;0,300%;8,605%;-;0%;Eisen,Stahl,Rohstoffe;Europa ohne Deutschland;Aktien;Muster Dynamic cVV
19.03.2026;Siemens AG;723610;2,639%;-0,347%;-12,064%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;Muster Dynamic cVV
19.03.2026;VINCI S.A.;867475;2,370%;-0,183%;-7,616%;-;0%;Bau,Baustoffe;Europa ohne Deutschland;Aktien;Muster Dynamic cVV
19.03.2026;VISA Inc.;A0NC7B;3,027%;-0,444%;-13,360%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;Muster Dynamic cVV
19.03.2026;Walmart Inc.;860853;4,403%;0,395%;10,408%;-;0%;Handel,Konsum;Nordamerika;Aktien;Muster Dynamic cVV
19.03.2026;Waste Management Inc.;893579;3,674%;0,252%;7,899%;-;0%;Versorger;Nordamerika;Aktien;Muster Dynamic cVV
;;;;;;;;;;;
