Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
17.06.2026;Airbus SE;938914;3,770%;-0,154%;-3,781%;-;0%;Prod. Gew. & Industrie;Europa ohne Deutschland;Aktien;5;Muster Dynamic cVV
17.06.2026;Allianz SE;840400;4,860%;0,144%;2,484%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster Dynamic cVV
17.06.2026;Alphabet Inc. A;A14Y6F;4,503%;0,893%;18,748%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster Dynamic cVV
17.06.2026;Apple Inc.;865985;3,441%;0,357%;11,264%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster Dynamic cVV
17.06.2026;ASML Holding N.V.;A1J4U4;4,558%;1,019%;28,409%;-;0%;Elektro;Europa ohne Deutschland;Aktien;5;Muster Dynamic cVV
17.06.2026;Broadcom Inc.;A2JG9Z;1,664%;-0,407%;-19,665%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster Dynamic cVV
17.06.2026;Cisco Systems Inc.;878841;2,976%;0,024%;0,827%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster Dynamic cVV
17.06.2026;Coca-Cola Co.;850663;3,063%;0,130%;4,261%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;Muster Dynamic cVV
17.06.2026;Deutsche Telekom AG;555750;2,880%;0,037%;0,633%;-;0%;Informationstechnologie;Deutschland;Aktien;5;Muster Dynamic cVV
17.06.2026;E.ON SE;ENAG99;3,344%;0,415%;13,612%;-;0%;Versorger;Deutschland;Aktien;5;Muster Dynamic cVV
17.06.2026;Eli Lilly and Company;858560;4,112%;0,236%;5,856%;-;0%;Chemie,Pharma;Nordamerika;Aktien;5;Muster Dynamic cVV
17.06.2026;Mercadolibre Inc.;A0MYNP;2,274%;-0,478%;-17,262%;-;0%;Handel,Konsum;Emerging Markets;Aktien;5;Muster Dynamic cVV
17.06.2026;Meta Platforms Inc. A;A1JWVX;2,978%;-0,416%;-12,207%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster Dynamic cVV
17.06.2026;Microsoft Corp.;870747;2,843%;-1,101%;-29,977%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster Dynamic cVV
17.06.2026;Münchener Rückvers.-Ges. AG;843002;3,351%;-0,693%;-17,360%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster Dynamic cVV
17.06.2026;Netflix Inc.;552484;3,300%;-0,607%;-16,171%;-;0%;Dienstleistungen;Nordamerika;Aktien;5;Muster Dynamic cVV
17.06.2026;Newmont Corp.;853823;2,203%;-0,248%;-9,983%;-;0%;Eisen,Stahl,Rohstoffe;Nordamerika;Aktien;5;Muster Dynamic cVV
17.06.2026;Novartis AG;904278;3,431%;0,473%;15,071%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster Dynamic cVV
17.06.2026;NVIDIA Corp.;918422;4,672%;0,518%;12,057%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster Dynamic cVV
17.06.2026;Philip Morris Internat. Inc.;A0NDBJ;4,136%;0,576%;16,276%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;Muster Dynamic cVV
17.06.2026;Rheinmetall AG;703000;2,516%;-0,628%;-24,968%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster Dynamic cVV
17.06.2026;Samsung Electronics Co. Ltd. (GDRs);896360;5,282%;4,163%;136,816%;-;0%;Elektro;Asien;Aktien;5;Muster Dynamic cVV
17.06.2026;Schneider Electric SE;860180;2,615%;0,455%;20,370%;-;0%;Elektro;Europa ohne Deutschland;Aktien;5;Muster Dynamic cVV
17.06.2026;Siemens AG;723610;3,249%;0,487%;16,796%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster Dynamic cVV
17.06.2026;Siemens Energy AG;ENER6Y;2,672%;-0,171%;-5,976%;-;0%;Versorger;Deutschland;Aktien;5;Muster Dynamic cVV
17.06.2026;Taiwan Semiconduct.Manufact.Co (ADRs);909800;3,318%;0,299%;9,855%;-;0%;Informationstechnologie;Asien;Aktien;5;Muster Dynamic cVV
17.06.2026;VISA Inc.;A0NC7B;3,187%;-0,117%;-3,592%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;5;Muster Dynamic cVV
17.06.2026;Walmart Inc.;860853;4,103%;0,338%;8,747%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;Muster Dynamic cVV
17.06.2026;Waste Management Inc.;893579;3,239%;0,024%;0,743%;-;0%;Versorger;Nordamerika;Aktien;5;Muster Dynamic cVV
;;;;;;;;;;;;
