Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
15.03.2026;3M Co.;851745;3,134%;-0,089%;-3,055%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;Muster FFPB Pro Dividende
15.03.2026;AbbVie Inc.;A1J84E;3,598%;-0,043%;-1,160%;-;0%;Chemie,Pharma;Nordamerika;Aktien;Muster FFPB Pro Dividende
15.03.2026;Ahold N.V. EO -,01;A2ANT0;4,522%;0,768%;20,763%;-;0%;Handel,Konsum;Europa ohne Deutschland;Aktien;Muster FFPB Pro Dividende
15.03.2026;Allianz SE;840400;3,909%;-0,397%;-9,321%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;Muster FFPB Pro Dividende
15.03.2026;AT & T Inc.;A0HL9Z;3,992%;0,510%;14,712%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster FFPB Pro Dividende
15.03.2026;Banco Santander S.A.;858872;3,240%;-0,314%;-9,061%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;Muster FFPB Pro Dividende
15.03.2026;Barclays plc;850403;3,330%;-0,710%;-17,991%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;Muster FFPB Pro Dividende
15.03.2026;BlackRock Inc.;A40PW4;3,279%;-0,405%;-11,233%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;Muster FFPB Pro Dividende
15.03.2026;Coca-Cola Co.;850663;3,449%;0,414%;13,704%;-;0%;Handel,Konsum;Nordamerika;Aktien;Muster FFPB Pro Dividende
15.03.2026;Deutsche Telekom AG;555750;3,961%;0,669%;20,499%;-;0%;Informationstechnologie;Deutschland;Aktien;Muster FFPB Pro Dividende
15.03.2026;ENEL S.p.A.;928624;4,431%;0,405%;10,102%;-;0%;Versorger;Europa ohne Deutschland;Aktien;Muster FFPB Pro Dividende
15.03.2026;Generali S.p.A.;850312;4,225%;-0,137%;-3,151%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;Muster FFPB Pro Dividende
15.03.2026;HSBC Holdings PLC;923893;4,456%;0,080%;1,623%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;Muster FFPB Pro Dividende
15.03.2026;Iberdrola S.A.;A0M46B;4,724%;0,326%;7,374%;-;0%;Versorger;Europa ohne Deutschland;Aktien;Muster FFPB Pro Dividende
15.03.2026;ING Groep N.V.;A2ANV3;3,246%;-0,283%;-8,250%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;Muster FFPB Pro Dividende
15.03.2026;Intesa Sanpaolo S.p.A.;850605;4,268%;-0,616%;-12,955%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;Muster FFPB Pro Dividende
15.03.2026;Intl Business Machines Corp.;851399;3,290%;-0,558%;-14,544%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster FFPB Pro Dividende
15.03.2026;Johnson & Johnson;853260;4,577%;0,761%;20,000%;-;0%;Handel,Konsum;Nordamerika;Aktien;Muster FFPB Pro Dividende
15.03.2026;Münchener Rückvers.-Ges. AG;843002;3,710%;-0,170%;-4,376%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;Muster FFPB Pro Dividende
15.03.2026;Nordea Bank Abp;A2N6F4;4,692%;-0,125%;-2,735%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;Muster FFPB Pro Dividende
15.03.2026;Novartis AG;904278;4,158%;0,511%;13,952%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;Muster FFPB Pro Dividende
15.03.2026;Philip Morris Internat. Inc.;A0NDBJ;3,758%;0,406%;11,958%;-;0%;Handel,Konsum;Nordamerika;Aktien;Muster FFPB Pro Dividende
15.03.2026;Roche Holding AG Genußscheine;855167;3,979%;0,035%;0,558%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;Muster FFPB Pro Dividende
15.03.2026;Shell PLC;A3C99G;4,151%;0,790%;24,198%;-;0%;Eisen,Stahl,Rohstoffe;Europa ohne Deutschland;Aktien;Muster FFPB Pro Dividende
15.03.2026;Siemens AG;723610;3,934%;-0,317%;-7,861%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;Muster FFPB Pro Dividende
;;;;;;;;;;;
