Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
17.06.2026;3M Co.;851745;3,002%;0,059%;2,094%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;AbbVie Inc.;A1J84E;3,292%;-0,027%;-0,375%;-;0%;Chemie,Pharma;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;Ahold Delhaize N.V., Konkinkl.;A2ANT0;3,475%;0,119%;3,271%;-;0%;Handel,Konsum;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;Allianz SE;840400;4,040%;0,103%;2,484%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;AT & T Inc.;A0HL9Z;2,936%;-0,212%;-6,786%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;Banco Santander S.A.;858872;3,687%;0,451%;13,159%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;Cisco Systems Inc.;878841;3,879%;1,288%;44,678%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;Coca-Cola Co.;850663;3,239%;0,521%;17,571%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;Dell Technologies Inc.;A2N6WP;3,967%;3,815%;132,207%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;Deutsche Telekom AG;555750;2,930%;0,036%;0,633%;-;0%;Informationstechnologie;Deutschland;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;ENEL S.p.A.;928624;4,112%;0,572%;14,622%;-;0%;Versorger;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;Generali S.p.A.;850312;4,784%;0,844%;19,949%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;HSBC Holdings PLC;923893;4,944%;1,018%;23,315%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;Iberdrola S.A.;A0M46B;4,508%;0,519%;12,054%;-;0%;Versorger;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;ING Groep N.V.;A2ANV3;3,627%;0,532%;15,560%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;Intl Business Machines Corp.;851399;3,184%;-0,310%;-8,940%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;Johnson & Johnson;853260;4,030%;0,600%;16,190%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;Münchener Rückvers.-Ges. AG;843002;3,957%;-0,630%;-17,360%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;Nordea Bank Abp;A2N6F4;4,557%;0,447%;9,841%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;Novartis AG;904278;3,725%;0,540%;15,071%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;Philip Morris Internat. Inc.;A0NDBJ;3,506%;0,531%;16,276%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;Roche Holding PS AG;A424UK;3,655%;0,737%;22,363%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;Shell PLC;A3C99G;3,410%;0,415%;12,455%;-;0%;Eisen,Stahl,Rohstoffe;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;Siemens AG;723610;4,458%;0,709%;16,796%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster FFPB Pro Dividende
17.06.2026;Waste Management Inc.;893579;2,590%;-0,077%;-2,616%;-;0%;Versorger;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
;;;;;;;;;;;;
