Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
02.07.2026;3M Co.;851745;2,960%;0,100%;3,470%;-;0%;-;-;Prod. Gew. & Industrie;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;AbbVie Inc.;A1J84E;3,801%;0,599%;18,252%;-;0%;-;-;Chemie,Pharma;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;Ahold Delhaize N.V., Konkinkl.;A2ANT0;3,454%;0,196%;5,517%;-;0%;-;-;Handel,Konsum;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;Allianz SE;840400;4,109%;0,290%;7,145%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;AT & T Inc.;A0HL9Z;2,635%;-0,444%;-14,013%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;Banco Santander S.A.;858872;3,720%;0,591%;17,358%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;Cisco Systems Inc.;878841;3,645%;1,151%;39,720%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;Coca-Cola Co.;850663;3,337%;0,716%;24,486%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;Dell Technologies Inc.;A2N6WP;3,651%;3,587%;119,637%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;Deutsche Telekom AG;555750;2,654%;-0,170%;-6,310%;-;0%;-;-;Informationstechnologie;Deutschland;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;ENEL S.p.A.;928624;4,119%;0,697%;18,026%;-;0%;-;-;Versorger;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;Generali S.p.A.;850312;4,628%;0,817%;19,274%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;HSBC Holdings PLC;923893;4,888%;1,100%;25,308%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;Iberdrola S.A.;A0M46B;4,599%;0,742%;17,497%;-;0%;-;-;Versorger;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;ING Groep N.V.;A2ANV3;3,624%;0,632%;18,670%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;Intl Business Machines Corp.;851399;3,438%;0,048%;1,077%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;Johnson & Johnson;853260;4,430%;1,134%;31,260%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;Münchener Rückvers.-Ges. AG;843002;4,133%;-0,337%;-11,295%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;Nordea Bank Abp;A2N6F4;4,499%;0,516%;11,460%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;Novartis AG;904278;3,839%;0,764%;21,865%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;Philip Morris Internat. Inc.;A0NDBJ;3,486%;0,608%;18,799%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;Roche Holding PS AG;A424UK;3,708%;0,897%;27,600%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;Shell PLC;A3C99G;3,202%;0,293%;8,532%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;Siemens AG;723610;4,398%;0,773%;18,422%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster FFPB Pro Dividende
02.07.2026;Waste Management Inc.;893579;2,705%;0,117%;4,555%;-;0%;-;-;Versorger;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
;;;;;;;;;;;;;;
