Auswertungsdatum;Wertpapier;WKN;Gewicht;Währung;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
23.08.2026;3M Co.;851745;3,183%;USD;0,384%;13,583%;-;0%;-;-;Prod. Gew. & Industrie;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;AbbVie Inc.;A1J84E;3,719%;USD;0,587%;18,504%;-;0%;-;-;Chemie,Pharma;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;Ahold Delhaize N.V., Konkinkl.;A2ANT0;2,919%;EUR;-0,281%;-9,423%;-;0%;-;-;Handel,Konsum;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;Allianz SE;840400;4,262%;EUR;0,687%;18,074%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;AT & T Inc.;A0HL9Z;3,121%;USD;0,135%;4,577%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;Banco Santander S.A.;858872;3,770%;EUR;0,727%;22,348%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;Canadian National Railway Co.;897879;2,964%;CAD;-0,077%;-2,552%;-;0%;-;-;Prod. Gew. & Industrie;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;Cisco Systems Inc.;878841;3,462%;USD;1,034%;34,830%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;Coca-Cola Co.;850663;3,483%;USD;0,934%;32,829%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;Dell Technologies Inc.;A2N6WP;3,946%;USD;3,901%;141,612%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;Deutsche Telekom AG;555750;3,012%;EUR;0,237%;8,024%;-;0%;-;-;Informationstechnologie;Deutschland;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;ENEL S.p.A.;928624;3,807%;EUR;0,445%;10,812%;-;0%;-;-;Versorger;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;Generali S.p.A.;850312;4,619%;EUR;1,068%;26,224%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;HSBC Holdings PLC;923893;5,060%;GBP;1,486%;35,690%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;Iberdrola S.A.;A0M46B;4,214%;EUR;0,427%;9,416%;-;0%;-;-;Versorger;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;ING Groep N.V.;A2ANV3;3,769%;EUR;0,821%;25,396%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;Johnson & Johnson;853260;4,388%;USD;1,175%;32,804%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;Münchener Rückvers.-Ges. AG;843002;4,212%;EUR;0,026%;-2,293%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;Nordea Bank Abp;A2N6F4;4,541%;EUR;0,618%;14,269%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;Novartis AG;904278;3,693%;CHF;0,674%;19,090%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;Philip Morris Internat. Inc.;A0NDBJ;3,470%;USD;0,659%;20,149%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;Realty Income Corp.;899744;2,834%;USD;-0,189%;-6,285%;-;0%;-;-;Immobilien-Aktien/Fonds;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;Roche Holding PS AG;A424UK;3,942%;CHF;1,189%;37,792%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;Shell PLC;A3C99G;3,710%;GBP;0,892%;29,038%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;Siemens AG;723610;4,383%;EUR;0,814%;19,897%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster FFPB Pro Dividende
23.08.2026;Waste Management Inc.;893579;2,536%;USD;0,000%;0,014%;-;0%;-;-;Versorger;Nordamerika;Aktien;5;Muster FFPB Pro Dividende
;;;;;;;;;;;;;;;
