Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
15.03.2026;Allianz SE;840400;4,194%;-0,413%;-9,321%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;Muster FFPB Pro
15.03.2026;Alphabet Inc. A;A14Y6F;4,183%;-0,037%;-0,726%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster FFPB Pro
15.03.2026;Amazon.com Inc.;906866;3,055%;-0,250%;-7,498%;-;0%;Handel,Konsum;Nordamerika;Aktien;Muster FFPB Pro
15.03.2026;American Electric Power Co.Inc;850222;3,651%;0,567%;19,099%;-;0%;Versorger;Nordamerika;Aktien;Muster FFPB Pro
15.03.2026;AstraZeneca PLC;886455;2,724%;-0,082%;-2,972%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;Muster FFPB Pro
15.03.2026;Barclays plc;850403;3,385%;-0,695%;-17,991%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;Muster FFPB Pro
15.03.2026;BBVA;875773;3,270%;-0,372%;-10,558%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;Muster FFPB Pro
15.03.2026;Broadcom Inc.;A2JG9Z;3,731%;-0,150%;-4,138%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster FFPB Pro
15.03.2026;Eli Lilly and Company;858560;4,105%;-0,236%;-5,818%;-;0%;Chemie,Pharma;Nordamerika;Aktien;Muster FFPB Pro
15.03.2026;Engie S.A.;A0ER6Q;4,497%;0,831%;23,338%;-;0%;Versorger;Europa ohne Deutschland;Aktien;Muster FFPB Pro
15.03.2026;Ferrari N.V.;A2ACKK;2,671%;-0,230%;-8,537%;-;0%;Automobil;Europa ohne Deutschland;Aktien;Muster FFPB Pro
15.03.2026;Hermes International S.C.A.;886670;3,222%;-0,405%;-11,734%;-;0%;Handel,Konsum;Europa ohne Deutschland;Aktien;Muster FFPB Pro
15.03.2026;Hitachi Ltd.;853219;3,430%;-0,243%;-7,125%;-;0%;Elektro;Asien;Aktien;Muster FFPB Pro
15.03.2026;Holcim Ltd.;869898;3,195%;-0,690%;-18,186%;-;0%;Bau,Baustoffe;Europa ohne Deutschland;Aktien;Muster FFPB Pro
15.03.2026;Howmet Aerospace Inc.;A2PZ2D;4,346%;0,969%;18,723%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;Muster FFPB Pro
15.03.2026;HSBC Holdings PLC;923893;3,820%;0,049%;1,623%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;Muster FFPB Pro
15.03.2026;Kering S.A.;851223;2,994%;-0,606%;-17,720%;-;0%;Handel,Konsum;Europa ohne Deutschland;Aktien;Muster FFPB Pro
15.03.2026;Lam Research Corp.;A40L1V;2,691%;0,133%;5,033%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster FFPB Pro
15.03.2026;Mercadolibre Inc.;A0MYNP;2,709%;-0,456%;-14,728%;-;0%;Handel,Konsum;Emerging Markets;Aktien;Muster FFPB Pro
15.03.2026;Micron Technology Inc.;869020;5,181%;1,923%;53,476%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster FFPB Pro
15.03.2026;Microsoft Corp.;870747;2,267%;-0,409%;-15,925%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster FFPB Pro
15.03.2026;Mitsubishi UFJ Financial Group;657892;2,748%;-0,067%;-2,403%;-;0%;Banken,Versicherer,Finanzdienstl.;Japan;Aktien;Muster FFPB Pro
15.03.2026;Münchener Rückvers.-Ges. AG;843002;3,913%;-0,167%;-4,376%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;Muster FFPB Pro
15.03.2026;NVIDIA Corp.;918422;3,622%;-0,014%;-0,645%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster FFPB Pro
15.03.2026;Rio Tinto PLC;852147;2,499%;-0,061%;-2,408%;-;0%;Eisen,Stahl,Rohstoffe;Europa ohne Deutschland;Aktien;Muster FFPB Pro
15.03.2026;Siemens AG;723610;2,726%;-0,445%;-14,724%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;Muster FFPB Pro
15.03.2026;TE Connectivity PLC;A40R4H;3,278%;-0,339%;-9,934%;-;0%;Elektro;Europa ohne Deutschland;Aktien;Muster FFPB Pro
15.03.2026;Welltower Inc.;A1409D;3,887%;0,500%;15,094%;-;0%;Immobilien-Aktien/Fonds;Nordamerika;Aktien;Muster FFPB Pro
15.03.2026;Wheaton Precious Metals Corp.;A2DRBP;2,132%;0,125%;6,472%;-;0%;Eisen,Stahl,Rohstoffe;Nordamerika;Aktien;Muster FFPB Pro
;;;;;;;;;;;
