Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
17.06.2026;Advanced Micro Devices Inc.;863186;2,728%;0,453%;18,628%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
17.06.2026;Allianz SE;840400;4,023%;0,110%;2,484%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster FFPB Pro
17.06.2026;Alphabet Inc. A;A14Y6F;3,356%;0,803%;18,748%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
17.06.2026;Amazon.com Inc.;906866;2,946%;0,194%;5,084%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;Muster FFPB Pro
17.06.2026;American Electric Power Co.Inc;850222;2,956%;0,433%;14,423%;-;0%;Versorger;Nordamerika;Aktien;5;Muster FFPB Pro
17.06.2026;Applied Materials Inc.;865177;3,271%;0,995%;41,335%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
17.06.2026;AstraZeneca PLC;886455;2,159%;-0,237%;-9,391%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
17.06.2026;Barclays plc;850403;3,734%;0,299%;8,098%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
17.06.2026;Broadcom Inc.;A2JG9Z;2,225%;0,700%;16,394%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
17.06.2026;Corning Inc.;850808;1,687%;-0,232%;-11,548%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
17.06.2026;Eli Lilly and Company;858560;3,909%;0,207%;5,856%;-;0%;Chemie,Pharma;Nordamerika;Aktien;5;Muster FFPB Pro
17.06.2026;Engie S.A.;A0ER6Q;3,723%;0,751%;20,303%;-;0%;Versorger;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
17.06.2026;Hermes International S.C.A.;886670;2,523%;-0,635%;-17,749%;-;0%;Handel,Konsum;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
17.06.2026;Hitachi Ltd.;853219;2,783%;-0,378%;-11,215%;-;0%;Elektro;Asien;Aktien;5;Muster FFPB Pro
17.06.2026;Holcim Ltd.;869898;3,343%;0,032%;0,828%;-;0%;Bau,Baustoffe;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
17.06.2026;Howmet Aerospace Inc.;A2PZ2D;4,384%;1,743%;41,137%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;5;Muster FFPB Pro
17.06.2026;HSBC Holdings PLC;923893;3,935%;0,845%;23,315%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
17.06.2026;Lam Research Corp.;A40L1V;4,001%;2,022%;84,179%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
17.06.2026;Micron Technology Inc.;869020;4,487%;6,879%;273,920%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
17.06.2026;Microsoft Corp.;870747;1,832%;-0,504%;-19,809%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
17.06.2026;Mitsubishi UFJ Financial Group;657892;2,836%;0,482%;18,654%;-;0%;Banken,Versicherer,Finanzdienstl.;Japan;Aktien;5;Muster FFPB Pro
17.06.2026;Münchener Rückvers.-Ges. AG;843002;2,870%;-0,652%;-17,360%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster FFPB Pro
17.06.2026;NVIDIA Corp.;918422;3,467%;0,441%;12,057%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
17.06.2026;Quanta Services Inc.;912294;3,176%;0,750%;26,479%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;5;Muster FFPB Pro
17.06.2026;Rio Tinto PLC;852147;2,483%;0,365%;14,193%;-;0%;Eisen,Stahl,Rohstoffe;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
17.06.2026;Ross Stores Inc.;870053;2,335%;-0,007%;-0,287%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;Muster FFPB Pro
17.06.2026;Samsung Electronics Co. Ltd. (GDRs);896360;2,673%;0,400%;16,667%;-;0%;Elektro;Asien;Aktien;5;Muster FFPB Pro
17.06.2026;SanDisk Corp.;A411ZM;3,256%;0,955%;38,971%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
17.06.2026;Siemens AG;723610;2,868%;0,240%;8,097%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster FFPB Pro
17.06.2026;SK Hynix Inc. (GDRs);A1JWRE;3,190%;0,232%;7,576%;-;0%;Prod. Gew. & Industrie;Asien;Aktien;5;Muster FFPB Pro
17.06.2026;Vertiv Holdings Co.;A2PZ5A;1,644%;-0,243%;-12,194%;-;0%;Elektro;Nordamerika;Aktien;5;Muster FFPB Pro
17.06.2026;Welltower Inc.;A1409D;3,258%;0,467%;14,057%;-;0%;Immobilien-Aktien/Fonds;Nordamerika;Aktien;5;Muster FFPB Pro
;;;;;;;;;;;;
