Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
02.07.2026;Advanced Micro Devices Inc.;863186;2,789%;0,499%;20,564%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
02.07.2026;Allianz SE;840400;4,231%;0,299%;7,145%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster FFPB Pro
02.07.2026;Alphabet Inc. A;A14Y6F;3,361%;0,787%;18,200%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
02.07.2026;Amazon.com Inc.;906866;3,045%;0,278%;7,998%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster FFPB Pro
02.07.2026;American Electric Power Co.Inc;850222;3,230%;0,697%;24,279%;-;0%;-;-;Versorger;Nordamerika;Aktien;5;Muster FFPB Pro
02.07.2026;Applied Materials Inc.;865177;3,367%;1,074%;44,632%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
02.07.2026;AstraZeneca PLC;886455;2,368%;-0,036%;-1,206%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
02.07.2026;Barclays plc;850403;3,935%;0,483%;13,256%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
02.07.2026;Broadcom Inc.;A2JG9Z;2,066%;0,521%;7,404%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
02.07.2026;Corning Inc.;850808;1,915%;-0,008%;-0,182%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
02.07.2026;Eli Lilly and Company;858560;4,318%;0,605%;16,232%;-;0%;-;-;Chemie,Pharma;Nordamerika;Aktien;5;Muster FFPB Pro
02.07.2026;Engie S.A.;A0ER6Q;3,775%;0,781%;21,241%;-;0%;-;-;Versorger;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
02.07.2026;Hermes International S.C.A.;886670;2,419%;-0,756%;-21,582%;-;0%;-;-;Handel,Konsum;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
02.07.2026;Hitachi Ltd.;853219;2,787%;-0,391%;-11,618%;-;0%;-;-;Elektro;Asien;Aktien;5;Muster FFPB Pro
02.07.2026;Holcim Ltd.;869898;3,251%;-0,082%;-2,512%;-;0%;-;-;Bau,Baustoffe;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
02.07.2026;Howmet Aerospace Inc.;A2PZ2D;4,235%;1,560%;35,535%;-;0%;-;-;Prod. Gew. & Industrie;Nordamerika;Aktien;5;Muster FFPB Pro
02.07.2026;HSBC Holdings PLC;923893;4,022%;0,911%;25,308%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
02.07.2026;Lam Research Corp.;A40L1V;3,802%;1,789%;73,995%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
02.07.2026;Micron Technology Inc.;869020;4,241%;6,581%;251,357%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
02.07.2026;Microsoft Corp.;870747;1,910%;-0,435%;-16,868%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
02.07.2026;Mitsubishi UFJ Financial Group;657892;2,889%;0,519%;20,161%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Japan;Aktien;5;Muster FFPB Pro
02.07.2026;Münchener Rückvers.-Ges. AG;843002;3,099%;-0,436%;-11,295%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster FFPB Pro
02.07.2026;NVIDIA Corp.;918422;3,340%;0,288%;7,319%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
02.07.2026;Quanta Services Inc.;912294;3,005%;0,553%;18,935%;-;0%;-;-;Prod. Gew. & Industrie;Nordamerika;Aktien;5;Muster FFPB Pro
02.07.2026;Rio Tinto PLC;852147;2,284%;0,145%;4,423%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
02.07.2026;Ross Stores Inc.;870053;2,162%;-0,199%;-8,223%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster FFPB Pro
02.07.2026;Samsung Electronics Co. Ltd. (GDRs);896360;2,215%;-0,090%;-3,922%;-;0%;-;-;Elektro;Asien;Aktien;5;Muster FFPB Pro
02.07.2026;SanDisk Corp.;A411ZM;2,931%;0,599%;24,374%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
02.07.2026;Siemens AG;723610;2,925%;0,281%;9,602%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster FFPB Pro
02.07.2026;SK Hynix Inc. (GDRs);A1JWRE;2,791%;-0,197%;-6,439%;-;0%;-;-;Prod. Gew. & Industrie;Asien;Aktien;5;Muster FFPB Pro
02.07.2026;Vertiv Holdings Co.;A2PZ5A;1,574%;-0,324%;-16,423%;-;0%;-;-;Elektro;Nordamerika;Aktien;5;Muster FFPB Pro
02.07.2026;Welltower Inc.;A1409D;3,767%;0,973%;31,113%;-;0%;-;-;Immobilien-Aktien/Fonds;Nordamerika;Aktien;5;Muster FFPB Pro
;;;;;;;;;;;;;;
