Auswertungsdatum;Wertpapier;WKN;Gewicht;Währung;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
06.07.2026;Advanced Micro Devices Inc.;863186;2,934%;USD;0,688%;28,478%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
06.07.2026;Allianz SE;840400;4,195%;EUR;0,318%;7,606%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster FFPB Pro
06.07.2026;Alphabet Inc. A;A14Y6F;3,377%;USD;0,849%;20,299%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
06.07.2026;Amazon.com Inc.;906866;3,024%;USD;0,297%;8,614%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster FFPB Pro
06.07.2026;American Electric Power Co.Inc;850222;3,129%;USD;0,635%;21,956%;-;0%;-;-;Versorger;Nordamerika;Aktien;5;Muster FFPB Pro
06.07.2026;Applied Materials Inc.;865177;3,266%;USD;1,013%;42,112%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
06.07.2026;AstraZeneca PLC;886455;2,273%;GBP;-0,103%;-3,941%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
06.07.2026;Barclays plc;850403;3,950%;GBP;0,551%;15,151%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
06.07.2026;Broadcom Inc.;A2JG9Z;2,115%;USD;0,600%;11,364%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
06.07.2026;Corning Inc.;850808;1,871%;USD;-0,029%;-1,234%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
06.07.2026;Eli Lilly and Company;858560;4,213%;USD;0,553%;14,856%;-;0%;-;-;Chemie,Pharma;Nordamerika;Aktien;5;Muster FFPB Pro
06.07.2026;Engie S.A.;A0ER6Q;3,732%;EUR;0,788%;21,419%;-;0%;-;-;Versorger;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
06.07.2026;Hermes International S.C.A.;886670;2,359%;EUR;-0,786%;-22,558%;-;0%;-;-;Handel,Konsum;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
06.07.2026;Hitachi Ltd.;853219;2,814%;JPY;-0,326%;-9,610%;-;0%;-;-;Elektro;Asien;Aktien;5;Muster FFPB Pro
06.07.2026;Holcim Ltd.;869898;3,313%;CHF;0,026%;0,625%;-;0%;-;-;Bau,Baustoffe;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
06.07.2026;Howmet Aerospace Inc.;A2PZ2D;4,295%;USD;1,681%;39,234%;-;0%;-;-;Prod. Gew. & Industrie;Nordamerika;Aktien;5;Muster FFPB Pro
06.07.2026;HSBC Holdings PLC;923893;4,037%;GBP;0,981%;27,397%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
06.07.2026;Lam Research Corp.;A40L1V;3,739%;USD;1,774%;73,321%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
06.07.2026;Micron Technology Inc.;869020;4,225%;USD;6,624%;254,513%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
06.07.2026;Microsoft Corp.;870747;1,867%;USD;-0,454%;-17,702%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
06.07.2026;Mitsubishi UFJ Financial Group;657892;2,889%;JPY;0,558%;21,724%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Japan;Aktien;5;Muster FFPB Pro
06.07.2026;Münchener Rückvers.-Ges. AG;843002;3,043%;EUR;-0,454%;-11,793%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster FFPB Pro
06.07.2026;NVIDIA Corp.;918422;3,308%;USD;0,300%;7,669%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
06.07.2026;Quanta Services Inc.;912294;2,991%;USD;0,578%;19,903%;-;0%;-;-;Prod. Gew. & Industrie;Nordamerika;Aktien;5;Muster FFPB Pro
06.07.2026;Rio Tinto PLC;852147;2,246%;GBP;0,136%;4,021%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Europa ohne Deutschland;Aktien;5;Muster FFPB Pro
06.07.2026;Ross Stores Inc.;870053;2,113%;USD;-0,222%;-9,152%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster FFPB Pro
06.07.2026;Samsung Electronics Co. Ltd. (GDRs);896360;2,516%;Sonstige Währungen;0,254%;10,539%;-;0%;-;-;Elektro;Asien;Aktien;5;Muster FFPB Pro
06.07.2026;SanDisk Corp.;A411ZM;2,892%;USD;0,596%;24,280%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster FFPB Pro
06.07.2026;Siemens AG;723610;2,937%;EUR;0,333%;11,462%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster FFPB Pro
06.07.2026;SK Hynix Inc. (GDRs);A1JWRE;3,101%;Sonstige Währungen;0,162%;5,303%;-;0%;-;-;Prod. Gew. & Industrie;Asien;Aktien;5;Muster FFPB Pro
06.07.2026;Vertiv Holdings Co.;A2PZ5A;1,646%;USD;-0,229%;-11,472%;-;0%;-;-;Elektro;Nordamerika;Aktien;5;Muster FFPB Pro
06.07.2026;Welltower Inc.;A1409D;3,664%;USD;0,916%;29,186%;-;0%;-;-;Immobilien-Aktien/Fonds;Nordamerika;Aktien;5;Muster FFPB Pro
;;;;;;;;;;;;;;;
