Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
15.03.2026;Alphabet Inc. A;A14Y6F;3,064%;-0,105%;-0,726%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster SCHWEIZ Aktien
15.03.2026;Apple Inc.;865985;2,032%;-0,211%;-5,426%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster SCHWEIZ Aktien
15.03.2026;Arista Networks Inc.;A40V33;2,018%;0,090%;4,795%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster SCHWEIZ Aktien
15.03.2026;BAE Systems PLC;866131;4,820%;1,302%;36,017%;-;0%;Prod. Gew. & Industrie;Europa ohne Deutschland;Aktien;Muster SCHWEIZ Aktien
15.03.2026;Berkshire Hathaway Inc. B;A0YJQ2;4,046%;0,009%;0,213%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;Muster SCHWEIZ Aktien
15.03.2026;Bitcoin ETP (21Shares);A3GZ2Z;1,142%;-0,215%;-16,502%;-;0%;Index;Global;Alternative Investments;Muster SCHWEIZ Aktien
15.03.2026;Coca-Cola Co.;850663;3,950%;0,472%;13,704%;-;0%;Handel,Konsum;Nordamerika;Aktien;Muster SCHWEIZ Aktien
15.03.2026;Develop. Markets Divid. Leaders ETF (VanEck);A2JAHJ;4,981%;0,224%;7,688%;-;0%;Index;Global;Aktien;Muster SCHWEIZ Aktien
15.03.2026;E.ON SE;ENAG99;4,999%;0,953%;23,411%;-;0%;Versorger;Deutschland;Aktien;Muster SCHWEIZ Aktien
15.03.2026;Equal-weight Commodity ex-Agricu. ETF (Amundi);LYX0Z2;3,655%;0,704%;23,503%;-;0%;Eisen,Stahl,Rohstoffe;Global;Edelmetalle;Muster SCHWEIZ Aktien
15.03.2026;EUR Overnight Rate Swap ETF (Xtrackers);DBX0A2;7,853%;-0,006%;-0,077%;-;0%;Geldmarktfonds;Europa;Liquidität;Muster SCHWEIZ Aktien
15.03.2026;EUR Ultrashort Bond ETF (iShares);A3DJQJ;7,908%;0,031%;0,393%;-;0%;Index;Europa;Renten;Muster SCHWEIZ Aktien
15.03.2026;Future of Defence UCITS ETF (HanETF);A3EB9T;2,539%;-0,011%;-0,611%;-;0%;Index;Global;Aktien;Muster SCHWEIZ Aktien
15.03.2026;Geberit AG;A0MQWG;3,867%;-0,338%;-7,720%;-;0%;Versorger;Europa ohne Deutschland;Aktien;Muster SCHWEIZ Aktien
15.03.2026;Green Bond ETF EUR Hdgd (Amundi);LYX0WQ;3,934%;-0,059%;-1,460%;-;0%;Index;Global;Renten;Muster SCHWEIZ Aktien
15.03.2026;Holcim Ltd.;869898;2,613%;-0,578%;-18,186%;-;0%;Bau,Baustoffe;Europa ohne Deutschland;Aktien;Muster SCHWEIZ Aktien
15.03.2026;Microsoft Corp.;870747;2,045%;-0,802%;-15,925%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster SCHWEIZ Aktien
15.03.2026;Monster Beverage Corp.;A14U5Z;3,168%;0,102%;3,384%;-;0%;Handel,Konsum;Nordamerika;Aktien;Muster SCHWEIZ Aktien
15.03.2026;MSCI World Value ETF (Xtrackers);A1103E;3,134%;0,055%;1,868%;-;0%;Index;Global;Aktien;Muster SCHWEIZ Aktien
15.03.2026;Novo-Nordisk AS;A3EU6F;2,091%;-0,629%;-23,295%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;Muster SCHWEIZ Aktien
15.03.2026;Physical Gold ETC (Invesco);A1AA5X;14,889%;2,271%;17,827%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;Muster SCHWEIZ Aktien
15.03.2026;Siemens AG;723610;2,806%;-0,353%;-11,113%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;Muster SCHWEIZ Aktien
15.03.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;2,945%;-0,041%;-1,337%;-;0%;Index;Europa;Aktien;Muster SCHWEIZ Aktien
;;;;;;;;;;;
