Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
17.06.2026;Alphabet Inc. A;A14Y6F;3,568%;0,503%;18,749%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster SCHWEIZ Aktien
17.06.2026;Apple Inc.;865985;2,326%;0,151%;11,209%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster SCHWEIZ Aktien
17.06.2026;Arista Networks Inc.;A40V33;2,411%;0,559%;28,551%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster SCHWEIZ Aktien
17.06.2026;ASML Holding N.V.;A1J4U4;2,579%;0,723%;37,019%;-;0%;Elektro;Europa ohne Deutschland;Aktien;5;Muster SCHWEIZ Aktien
17.06.2026;BAE Systems PLC;866131;3,784%;0,352%;9,603%;-;0%;Prod. Gew. & Industrie;Europa ohne Deutschland;Aktien;5;Muster SCHWEIZ Aktien
17.06.2026;Berkshire Hathaway Inc. B;A0YJQ2;3,926%;-0,006%;-0,182%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;5;Muster SCHWEIZ Aktien
17.06.2026;Bitcoin ETP (21Shares);A3GZ2Z;1,916%;-0,438%;-25,519%;-;0%;Index;Global;Alternative Investments;7;Muster SCHWEIZ Aktien
17.06.2026;Coca-Cola Co.;850663;3,952%;0,606%;17,580%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;Muster SCHWEIZ Aktien
17.06.2026;Develop. Markets Divid. Leaders ETF (VanEck);A2JAHJ;4,910%;0,303%;9,407%;-;0%;Index;Global;Aktien;4;Muster SCHWEIZ Aktien
17.06.2026;E.ON SE;ENAG99;4,484%;0,553%;13,612%;-;0%;Versorger;Deutschland;Aktien;5;Muster SCHWEIZ Aktien
17.06.2026;Equal-weight Commodity ex-Agricu. ETF (Amundi);LYX0Z2;3,485%;0,623%;20,889%;-;0%;Eisen,Stahl,Rohstoffe;Global;Edelmetalle;4;Muster SCHWEIZ Aktien
17.06.2026;EUR Ultrashort Bond ETF (iShares);A3DJQJ;7,752%;0,081%;1,018%;-;0%;Index;Europa;Renten;2;Muster SCHWEIZ Aktien
17.06.2026;Future of Defence UCITS ETF (HanETF);A3EB9T;2,982%;0,019%;0,044%;-;0%;Index;Global;Aktien;5;Muster SCHWEIZ Aktien
17.06.2026;Global Robotics and Automation ETF (L&G);A12DB1;2,249%;0,326%;16,272%;-;0%;Index;Global;Aktien;5;Muster SCHWEIZ Aktien
17.06.2026;Green Bond ETF EUR Hdgd (Amundi);LYX0WQ;3,869%;-0,021%;-0,536%;-;0%;Index;Global;Renten;3;Muster SCHWEIZ Aktien
17.06.2026;Holcim Ltd.;869898;3,138%;0,038%;0,828%;-;0%;Bau,Baustoffe;Europa ohne Deutschland;Aktien;5;Muster SCHWEIZ Aktien
17.06.2026;Microsoft Corp.;870747;1,896%;-0,891%;-19,810%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster SCHWEIZ Aktien
17.06.2026;Monster Beverage Corp.;A14U5Z;3,645%;0,682%;22,096%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;Muster SCHWEIZ Aktien
17.06.2026;MSCI Poland ETF (iShares);A1H5UP;2,095%;0,185%;9,300%;-;0%;Index;Osteuropa;Aktien;5;Muster SCHWEIZ Aktien
17.06.2026;MSCI World Value ETF (Xtrackers);A1103E;4,771%;1,125%;29,764%;-;0%;Index;Global;Aktien;4;Muster SCHWEIZ Aktien
17.06.2026;Novo-Nordisk AS;A3EU6F;2,330%;-0,257%;-9,251%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster SCHWEIZ Aktien
17.06.2026;Physical Gold ETC (Invesco);A1AA5X;12,352%;0,018%;0,327%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;Muster SCHWEIZ Aktien
17.06.2026;Siemens AG;723610;3,388%;0,330%;10,165%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster SCHWEIZ Aktien
17.06.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;4,118%;0,404%;11,497%;-;0%;Index;Europa;Aktien;4;Muster SCHWEIZ Aktien
;;;;;;;;;;;;
