Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
02.07.2026;Alphabet Inc. A;A14Y6F;3,547%;0,488%;18,201%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster SCHWEIZ Aktien
02.07.2026;Apple Inc.;865985;2,437%;0,266%;16,678%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster SCHWEIZ Aktien
02.07.2026;Arista Networks Inc.;A40V33;2,349%;0,500%;25,428%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster SCHWEIZ Aktien
02.07.2026;ASML Holding N.V.;A1J4U4;2,416%;0,559%;28,596%;-;0%;-;-;Elektro;Europa ohne Deutschland;Aktien;5;Muster SCHWEIZ Aktien
02.07.2026;BAE Systems PLC;866131;4,058%;0,634%;17,719%;-;0%;-;-;Prod. Gew. & Industrie;Europa ohne Deutschland;Aktien;5;Muster SCHWEIZ Aktien
02.07.2026;Berkshire Hathaway Inc. B;A0YJQ2;4,076%;0,150%;3,773%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;5;Muster SCHWEIZ Aktien
02.07.2026;Bitcoin ETP (21Shares);A3GZ2Z;1,844%;-0,506%;-28,205%;-;0%;-;-;Index;Global;Alternative Investments;7;Muster SCHWEIZ Aktien
02.07.2026;Coca-Cola Co.;850663;2,592%;0,745%;24,495%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster SCHWEIZ Aktien
02.07.2026;Develop. Markets Divid. Leaders ETF (VanEck);A2JAHJ;4,860%;0,260%;8,452%;-;0%;-;-;Index;Global;Aktien;4;Muster SCHWEIZ Aktien
02.07.2026;E.ON SE;ENAG99;4,489%;0,564%;13,922%;-;0%;-;-;Versorger;Deutschland;Aktien;5;Muster SCHWEIZ Aktien
02.07.2026;Equal-weight Commodity ex-Agricu. ETF (Amundi);LYX0Z2;3,323%;0,464%;15,428%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Global;Edelmetalle;4;Muster SCHWEIZ Aktien
02.07.2026;EUR Ultrashort Bond ETF (iShares);A3DJQJ;7,750%;0,091%;1,147%;-;0%;-;-;Index;Europa;Renten;2;Muster SCHWEIZ Aktien
02.07.2026;Future of Defence UCITS ETF (HanETF);A3EB9T;3,020%;0,061%;1,475%;-;0%;-;-;Index;Global;Aktien;5;Muster SCHWEIZ Aktien
02.07.2026;Global Robotics and Automation ETF (L&G);A12DB1;2,291%;0,371%;18,623%;-;0%;-;-;Index;Global;Aktien;5;Muster SCHWEIZ Aktien
02.07.2026;Green Bond ETF EUR Hdgd (Amundi);LYX0WQ;3,872%;-0,012%;-0,300%;-;0%;-;-;Index;Global;Renten;3;Muster SCHWEIZ Aktien
02.07.2026;Holcim Ltd.;869898;3,029%;-0,068%;-2,512%;-;0%;-;-;Bau,Baustoffe;Europa ohne Deutschland;Aktien;5;Muster SCHWEIZ Aktien
02.07.2026;Microsoft Corp.;870747;1,962%;-0,820%;-16,869%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster SCHWEIZ Aktien
02.07.2026;Monster Beverage Corp.;A14U5Z;2,573%;0,861%;30,767%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster SCHWEIZ Aktien
02.07.2026;MSCI Poland ETF (iShares);A1H5UP;1,982%;0,073%;3,528%;-;0%;-;-;Index;Osteuropa;Aktien;5;Muster SCHWEIZ Aktien
02.07.2026;MSCI World Value ETF (Xtrackers);A1103E;4,682%;1,041%;27,543%;-;0%;-;-;Index;Global;Aktien;4;Muster SCHWEIZ Aktien
02.07.2026;Novo-Nordisk AS;A3EU6F;2,704%;0,120%;5,461%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster SCHWEIZ Aktien
02.07.2026;Physical Gold ETC (Invesco);A1AA5X;11,837%;-0,485%;-3,706%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;Muster SCHWEIZ Aktien
02.07.2026;Siemens AG;723610;3,430%;0,377%;11,698%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster SCHWEIZ Aktien
02.07.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;4,020%;0,312%;9,004%;-;0%;-;-;Index;Europa;Aktien;4;Muster SCHWEIZ Aktien
;;;;;;;;;;;;;;
