Auswertungsdatum;Wertpapier;WKN;Gewicht;Währung;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
23.08.2026;Alphabet Inc. A;A14Y6F;3,276%;USD;0,275%;10,972%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster SCHWEIZ Aktien
23.08.2026;Apple Inc.;865985;2,355%;USD;0,219%;14,638%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster SCHWEIZ Aktien
23.08.2026;Arista Networks Inc.;A40V33;2,671%;USD;0,865%;44,841%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster SCHWEIZ Aktien
23.08.2026;ASML Holding N.V.;A1J4U4;2,322%;EUR;0,493%;25,786%;-;0%;-;-;Elektro;Europa ohne Deutschland;Aktien;5;Muster SCHWEIZ Aktien
23.08.2026;BAE Systems PLC;866131;4,289%;GBP;0,987%;27,849%;-;0%;-;-;Prod. Gew. & Industrie;Europa ohne Deutschland;Aktien;5;Muster SCHWEIZ Aktien
23.08.2026;Berkshire Hathaway Inc. B;A0YJQ2;3,838%;USD;-0,035%;-0,765%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;5;Muster SCHWEIZ Aktien
23.08.2026;Bitcoin ETP (21Shares);A3GZ2Z;2,230%;EUR;-0,069%;-11,826%;-;0%;-;-;Index;Global;Alternative Investments;7;Muster SCHWEIZ Aktien
23.08.2026;Coca-Cola Co.;850663;2,706%;USD;0,912%;32,869%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster SCHWEIZ Aktien
23.08.2026;Develop. Markets Divid. Leaders ETF (VanEck);A2JAHJ;5,103%;EUR;0,661%;17,449%;-;0%;-;-;Index;Global;Aktien;4;Muster SCHWEIZ Aktien
23.08.2026;E.ON SE;ENAG99;4,189%;EUR;0,477%;11,221%;-;0%;-;-;Versorger;Deutschland;Aktien;5;Muster SCHWEIZ Aktien
23.08.2026;Equal-weight Commodity exAgricu. ETF (Amundi);LYX0Z2;3,608%;EUR;0,818%;27,284%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Global;Edelmetalle;4;Muster SCHWEIZ Aktien
23.08.2026;EUR Ultrashort Bond ETF (iShares);A3DJQJ;7,656%;EUR;0,116%;1,484%;-;0%;-;-;Index;Europa;Renten;2;Muster SCHWEIZ Aktien
23.08.2026;Future of Defence UCITS ETF (HanETF);A3EB9T;3,059%;USD;0,142%;4,374%;-;0%;-;-;Index;Global;Aktien;5;Muster SCHWEIZ Aktien
23.08.2026;Global Robotics and Automation ETF (L&G);A12DB1;2,091%;USD;0,203%;9,976%;-;0%;-;-;Index;Global;Aktien;5;Muster SCHWEIZ Aktien
23.08.2026;Green Bond ETF EUR Hdgd (Amundi);LYX0WQ;3,752%;EUR;-0,075%;-1,900%;-;0%;-;-;Index;Global;Renten;3;Muster SCHWEIZ Aktien
23.08.2026;Holcim Ltd.;869898;2,749%;CHF;-0,236%;-8,027%;-;0%;-;-;Bau,Baustoffe;Europa ohne Deutschland;Aktien;5;Muster SCHWEIZ Aktien
23.08.2026;Microsoft Corp.;870747;2,341%;USD;-0,400%;0,986%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster SCHWEIZ Aktien
23.08.2026;Monster Beverage Corp.;A14U5Z;1,215%;USD;-0,511%;-37,293%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster SCHWEIZ Aktien
23.08.2026;MSCI Poland ETF (iShares);A1H5UP;2,193%;USD;0,317%;16,383%;-;0%;-;-;Index;Osteuropa;Aktien;5;Muster SCHWEIZ Aktien
23.08.2026;MSCI World Value ETF (Xtrackers);A1103E;4,703%;USD;1,126%;30,104%;-;0%;-;-;Index;Global;Aktien;4;Muster SCHWEIZ Aktien
23.08.2026;Novo-Nordisk AS;A3EU6F;2,413%;DKK;-0,132%;-4,416%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster SCHWEIZ Aktien
23.08.2026;Physical Gold ETC (Invesco);A1AA5X;12,746%;EUR;0,657%;5,304%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;Muster SCHWEIZ Aktien
23.08.2026;Siemens AG;723610;3,419%;EUR;0,420%;13,090%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster SCHWEIZ Aktien
23.08.2026;Stoxx Europe Select Dividend 30 ETF (Amundi);LYX0Y9;4,239%;EUR;0,594%;16,739%;-;0%;-;-;Index;Europa;Aktien;4;Muster SCHWEIZ Aktien
;;;;;;;;;;;;;;;
