Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;F‰lligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
15.03.2026;Alphabet Inc. A;A14Y6F;1,878%;-0,015%;-0,726%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster SCHWEIZ Substanz
15.03.2026;Amrize AG;A414LY;1,772%;0,050%;2,792%;-;0%;Bau,Baustoffe;Europa ohne Deutschland;Aktien;Muster SCHWEIZ Substanz
15.03.2026;ASML Holding N.V.;A1J4U4;4,262%;0,953%;27,581%;-;0%;Elektro;Europa ohne Deutschland;Aktien;Muster SCHWEIZ Substanz
15.03.2026;Berkshire Hathaway Inc. B;A0YJQ2;2,977%;0,006%;0,213%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;Muster SCHWEIZ Substanz
15.03.2026;DAX Discountzert. 22.650 28.12.26;DY4XYM;5,734%;-0,138%;-2,320%;-;0%;Index;Europa;Aktien;Muster SCHWEIZ Substanz
15.03.2026;Dt. Bahn IHS 1,625 % 16.08.33;A2G8U8;3,962%;0,003%;0,060%;16.08.2033;1,6250%;Corporates;Deutschland;Renten;Muster SCHWEIZ Substanz
15.03.2026;E.ON SE;ENAG99;2,670%;0,518%;23,411%;-;0%;Versorger;Deutschland;Aktien;Muster SCHWEIZ Substanz
15.03.2026;Electr. de France Green Bd. IHS 5,625 % 21.02.33;755460;3,726%;0,010%;0,256%;21.02.2033;5,6250%;Corporates;Europa ohne Deutschland;Renten;Muster SCHWEIZ Substanz
15.03.2026;Equal-weight Commodity ex-Agricu. ETF (Amundi);LYX0Z2;4,962%;1,166%;30,047%;-;0%;Eisen,Stahl,Rohstoffe;Global;Edelmetalle;Muster SCHWEIZ Substanz
15.03.2026;EUR Ultrashort Bond ETF (iShares);A3DJQJ;5,421%;0,022%;0,393%;-;0%;Index;Europa;Renten;Muster SCHWEIZ Substanz
15.03.2026;EuroStoxx 50 5.200 28.12.26;DY9KHZ;5,791%;-0,091%;-1,535%;-;0%;Index;Europa;Aktien;Muster SCHWEIZ Substanz
15.03.2026;Flossbach v. Storch Bond Opportunities R;A0RCKL;6,176%;-0,019%;-0,318%;-;0%;Rentenfonds;Global;Renten;Muster SCHWEIZ Substanz
15.03.2026;Fresenius IHS 0,875 % 01.10.31;A3KN0R;4,592%;-0,021%;-0,473%;01.10.2031;0,8750%;Corporates;Deutschland;Renten;Muster SCHWEIZ Substanz
15.03.2026;Holcim Ltd.;869898;2,517%;-0,568%;-18,186%;-;0%;Bau,Baustoffe;Europa ohne Deutschland;Aktien;Muster SCHWEIZ Substanz
15.03.2026;iBonds Dec 2031 EUR Corp. ETF (iShares);A40MD5;2,839%;-0,009%;-0,331%;-;0%;Index;Europa;Renten;Muster SCHWEIZ Substanz
15.03.2026;Microsoft Corp.;870747;2,190%;-0,427%;-15,925%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster SCHWEIZ Substanz
15.03.2026;Physical Gold ETC (Invesco);A1AA5X;16,384%;2,547%;17,827%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;Muster SCHWEIZ Substanz
15.03.2026;Physical Silber ETC (Xtrackers);A1E0HS;2,029%;0,110%;5,754%;-;0%;Eisen,Stahl,Rohstoffe;Global;Edelmetalle;Muster SCHWEIZ Substanz
15.03.2026;Roche Holding AG Genuﬂscheine;855167;2,957%;0,021%;0,558%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;Muster SCHWEIZ Substanz
15.03.2026;UBAM - Global High Yield Solution I;A2P55C;4,207%;0,002%;0,033%;-;0%;Rentenfonds;Global;Renten;Muster SCHWEIZ Substanz
15.03.2026;VW Leasing Green Bond IHS 4,625 % 25.03.29;A3514U;3,253%;-0,005%;-0,150%;25.03.2029;4,6250%;Corporates;Deutschland;Renten;Muster SCHWEIZ Substanz
15.03.2026;Walmart Inc.;860853;2,178%;0,324%;16,979%;-;0%;Handel,Konsum;Nordamerika;Aktien;Muster SCHWEIZ Substanz
;;;;;;;;;;;
