Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
18.03.2026;Alphabet Inc. A;A14Y6F;1,921%;0,012%;0,682%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster SCHWEIZ Substanz
18.03.2026;Amrize AG;A414LY;1,800%;0,062%;3,502%;-;0%;Bau,Baustoffe;Europa ohne Deutschland;Aktien;Muster SCHWEIZ Substanz
18.03.2026;ASML Holding N.V.;A1J4U4;4,365%;1,021%;29,556%;-;0%;Elektro;Europa ohne Deutschland;Aktien;Muster SCHWEIZ Substanz
18.03.2026;Berkshire Hathaway Inc. B;A0YJQ2;2,958%;-0,039%;-1,298%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;Muster SCHWEIZ Substanz
18.03.2026;DAX Discountzert. 22.650 28.12.26;DY4XYM;5,795%;-0,125%;-2,116%;-;0%;Index;Europa;Aktien;Muster SCHWEIZ Substanz
18.03.2026;Dt. Bahn IHS 1,625 % 16.08.33;A2G8U8;3,995%;0,001%;0,017%;16.08.2033;1,6250%;Corporates;Deutschland;Renten;Muster SCHWEIZ Substanz
18.03.2026;E.ON SE;ENAG99;2,677%;0,502%;22,667%;-;0%;Versorger;Deutschland;Aktien;Muster SCHWEIZ Substanz
18.03.2026;Electr. de France Green Bd. IHS 5,625 % 21.02.33;755460;3,778%;0,031%;0,806%;21.02.2033;5,6250%;Corporates;Europa ohne Deutschland;Renten;Muster SCHWEIZ Substanz
18.03.2026;Equal-weight Commodity ex-Agricu. ETF (Amundi);LYX0Z2;4,933%;1,095%;28,197%;-;0%;Eisen,Stahl,Rohstoffe;Global;Edelmetalle;Muster SCHWEIZ Substanz
18.03.2026;EUR Ultrashort Bond ETF (iShares);A3DJQJ;5,469%;0,023%;0,411%;-;0%;Index;Europa;Renten;Muster SCHWEIZ Substanz
18.03.2026;EuroStoxx 50 5.200 28.12.26;DY9KHZ;5,848%;-0,084%;-1,414%;-;0%;Index;Europa;Aktien;Muster SCHWEIZ Substanz
18.03.2026;Flossbach v. Storch Bond Opportunities R;A0RCKL;6,251%;0,002%;0,030%;-;0%;Rentenfonds;Global;Renten;Muster SCHWEIZ Substanz
18.03.2026;Fresenius IHS 0,875 % 01.10.31;A3KN0R;4,638%;-0,014%;-0,317%;01.10.2031;0,8750%;Corporates;Deutschland;Renten;Muster SCHWEIZ Substanz
18.03.2026;Holcim Ltd.;869898;2,640%;-0,467%;-14,917%;-;0%;Bau,Baustoffe;Europa ohne Deutschland;Aktien;Muster SCHWEIZ Substanz
18.03.2026;iBonds Dec 2031 EUR Corp. ETF (iShares);A40MD5;2,867%;-0,006%;-0,238%;-;0%;Index;Europa;Renten;Muster SCHWEIZ Substanz
18.03.2026;Microsoft Corp.;870747;2,179%;-0,456%;-17,064%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster SCHWEIZ Substanz
18.03.2026;Physical Gold ETC (Invesco);A1AA5X;15,860%;1,871%;13,089%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;Muster SCHWEIZ Substanz
18.03.2026;Physical Silber ETC (Xtrackers);A1E0HS;1,910%;-0,026%;-1,276%;-;0%;Eisen,Stahl,Rohstoffe;Global;Edelmetalle;Muster SCHWEIZ Substanz
18.03.2026;ROCHE HOLDING PS;A424UK;2,909%;0,077%;2,732%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;Muster SCHWEIZ Substanz
18.03.2026;UBAM - Global High Yield Solution I;A2P55C;4,240%;-0,001%;-0,046%;-;0%;Rentenfonds;Global;Renten;Muster SCHWEIZ Substanz
18.03.2026;VW Leasing Green Bond IHS 4,625 % 25.03.29;A3514U;3,282%;-0,003%;-0,096%;25.03.2029;4,6250%;Corporates;Deutschland;Renten;Muster SCHWEIZ Substanz
18.03.2026;Walmart Inc.;860853;2,110%;0,237%;12,365%;-;0%;Handel,Konsum;Nordamerika;Aktien;Muster SCHWEIZ Substanz
;;;;;;;;;;;
