Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
17.06.2026;Alphabet Inc. A;A14Y6F;2,218%;0,359%;18,749%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster SCHWEIZ Substanz
17.06.2026;Amrize AG;A414LY;1,773%;0,076%;4,088%;-;0%;Bau,Baustoffe;Europa ohne Deutschland;Aktien;5;Muster SCHWEIZ Substanz
17.06.2026;ASML Holding N.V.;A1J4U4;5,887%;2,691%;78,565%;-;0%;Elektro;Europa ohne Deutschland;Aktien;5;Muster SCHWEIZ Substanz
17.06.2026;Berkshire Hathaway Inc. B;A0YJQ2;2,931%;-0,005%;-0,182%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;5;Muster SCHWEIZ Substanz
17.06.2026;DAX Discountzert. 22.650 28.12.26;DY4XYM;5,900%;0,106%;1,712%;-;0%;Index;Europa;Aktien;3;Muster SCHWEIZ Substanz
17.06.2026;Develop. Markets Divid. Leaders ETF (VanEck);A2JAHJ;2,906%;-0,008%;-0,280%;-;0%;Index;Global;Aktien;4;Muster SCHWEIZ Substanz
17.06.2026;Dt. Bahn IHS 1,625 % 16.08.33;A2G8U8;3,951%;0,042%;0,982%;16.08.2033;1,6250%;Corporates;Deutschland;Renten;3;Muster SCHWEIZ Substanz
17.06.2026;E.ON SE;ENAG99;2,429%;0,304%;13,612%;-;0%;Versorger;Deutschland;Aktien;5;Muster SCHWEIZ Substanz
17.06.2026;Electr. de France Green B. IHS 5,625 % 21.02.33;755460;3,573%;0,080%;2,107%;21.02.2033;5,6250%;Corporates;Europa ohne Deutschland;Renten;3;Muster SCHWEIZ Substanz
17.06.2026;Equal-weight Commodity ex-Agricu. ETF (Amundi);LYX0Z2;4,799%;1,054%;27,295%;-;0%;Eisen,Stahl,Rohstoffe;Global;Edelmetalle;4;Muster SCHWEIZ Substanz
17.06.2026;EUR Ultrashort Bond ETF (iShares);A3DJQJ;5,390%;0,056%;1,018%;-;0%;Index;Europa;Renten;2;Muster SCHWEIZ Substanz
17.06.2026;EuroStoxx 50 5.200 28.12.26;DY9KHZ;5,960%;0,156%;2,566%;-;0%;Index;Europa;Aktien;3;Muster SCHWEIZ Substanz
17.06.2026;Flossbach v. Storch Bond Opportunities R;A0RCKL;6,187%;0,070%;1,050%;-;0%;Rentenfonds;Global;Renten;2;Muster SCHWEIZ Substanz
17.06.2026;Fresenius IHS 0,875 % 01.10.31;A3KN0R;4,586%;0,031%;0,596%;01.10.2031;0,8750%;Corporates;Deutschland;Renten;3;Muster SCHWEIZ Substanz
17.06.2026;Holcim Ltd.;869898;3,066%;0,027%;0,828%;-;0%;Bau,Baustoffe;Europa ohne Deutschland;Aktien;5;Muster SCHWEIZ Substanz
17.06.2026;iBonds Dec 2031 EUR Corp. ETF (iShares);A40MD5;2,819%;0,029%;0,948%;-;0%;Index;Europa;Renten;3;Muster SCHWEIZ Substanz
17.06.2026;Microsoft Corp.;870747;2,059%;-0,528%;-19,810%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster SCHWEIZ Substanz
17.06.2026;MSCI World Value ETF (Xtrackers);A1103E;3,617%;0,714%;23,994%;-;0%;Index;Global;Aktien;4;Muster SCHWEIZ Substanz
17.06.2026;Physical Gold ETC (Invesco);A1AA5X;13,785%;0,061%;0,327%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;Muster SCHWEIZ Substanz
17.06.2026;Physical Silber ETC (Xtrackers);A1E0HS;1,660%;-0,239%;-12,416%;-;0%;Eisen,Stahl,Rohstoffe;Global;Edelmetalle;5;Muster SCHWEIZ Substanz
17.06.2026;Roche Holding PS AG;A424UK;2,935%;0,165%;5,805%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster SCHWEIZ Substanz
17.06.2026;UBAM - Global High Yield Solution I;A2P55C;4,224%;0,073%;1,647%;-;0%;Rentenfonds;Global;Renten;3;Muster SCHWEIZ Substanz
17.06.2026;VW Leasing Green Bond IHS 4,625 % 25.03.29;A3514U;3,109%;0,030%;0,931%;25.03.2029;4,6250%;Corporates;Deutschland;Renten;3;Muster SCHWEIZ Substanz
17.06.2026;Walmart Inc.;860853;1,997%;0,171%;8,745%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;Muster SCHWEIZ Substanz
;;;;;;;;;;;;
