Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
02.07.2026;Alphabet Inc. A;A14Y6F;2,231%;0,349%;18,201%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster SCHWEIZ Substanz
02.07.2026;ASML Holding N.V.;A1J4U4;2,971%;2,413%;67,588%;-;0%;-;-;Elektro;Europa ohne Deutschland;Aktien;5;Muster SCHWEIZ Substanz
02.07.2026;Berkshire Hathaway Inc. B;A0YJQ2;3,080%;0,111%;3,773%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;5;Muster SCHWEIZ Substanz
02.07.2026;DAX Discountzert. 22.650 28.12.26 (DZ);DY4XYM;6,004%;0,145%;2,385%;-;0%;-;-;Index;Europa;Aktien;3;Muster SCHWEIZ Substanz
02.07.2026;Develop. Markets Divid. Leaders ETF (VanEck);A2JAHJ;2,912%;-0,033%;-1,150%;-;0%;-;-;Index;Global;Aktien;4;Muster SCHWEIZ Substanz
02.07.2026;Dt. Bahn IHS 1,625 % 16.08.33;A2G8U8;4,027%;0,074%;1,809%;16.08.2033;1,6250%;6,6732;3,1761%;Corporates;Deutschland;Renten;3;Muster SCHWEIZ Substanz
02.07.2026;E.ON SE;ENAG99;2,462%;0,310%;13,922%;-;0%;-;-;Versorger;Deutschland;Aktien;5;Muster SCHWEIZ Substanz
02.07.2026;EDF IHS 5,625 % 21.02.33;755460;3,626%;0,095%;2,515%;21.02.2033;5,6250%;5,7207;3,4418%;Corporates;Europa ohne Deutschland;Renten;3;Muster SCHWEIZ Substanz
02.07.2026;Equal-weight Commodity ex-Agricu. ETF (Amundi);LYX0Z2;4,632%;0,835%;21,545%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Global;Edelmetalle;4;Muster SCHWEIZ Substanz
02.07.2026;EUR Ultrashort Bond ETF (iShares);A3DJQJ;5,456%;0,063%;1,147%;-;0%;-;-;Index;Europa;Renten;2;Muster SCHWEIZ Substanz
02.07.2026;EuroStoxx 50 5.200 28.12.26;DY9KHZ;6,048%;0,179%;2,949%;-;0%;-;-;Index;Europa;Aktien;3;Muster SCHWEIZ Substanz
02.07.2026;Flossbach v. Storch Bond Opportunities R;A0RCKL;3,021%;0,065%;1,036%;-;0%;-;-;Rentenfonds;Global;Renten;2;Muster SCHWEIZ Substanz
02.07.2026;Fresenius IHS 0,875 % 01.10.31;A3KN0R;4,648%;0,043%;0,872%;01.10.2031;0,8750%;5,1113;3,4006%;Corporates;Deutschland;Renten;3;Muster SCHWEIZ Substanz
02.07.2026;Holcim Ltd.;869898;2,996%;-0,076%;-2,512%;-;0%;-;-;Bau,Baustoffe;Europa ohne Deutschland;Aktien;5;Muster SCHWEIZ Substanz
02.07.2026;iBonds Dec 2031 EUR Corp. ETF (iShares);A40MD5;2,836%;0,015%;0,437%;-;0%;-;-;Index;Europa;Renten;3;Muster SCHWEIZ Substanz
02.07.2026;Microsoft Corp.;870747;2,158%;-0,452%;-16,869%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster SCHWEIZ Substanz
02.07.2026;MSCI World Value ETF (Xtrackers);A1103E;3,594%;0,651%;21,872%;-;0%;-;-;Index;Global;Aktien;4;Muster SCHWEIZ Substanz
02.07.2026;Physical Gold ETC (Invesco);A1AA5X;13,374%;-0,498%;-3,706%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;Muster SCHWEIZ Substanz
02.07.2026;Physical Silber ETC (Xtrackers);A1E0HS;1,528%;-0,387%;-20,268%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Global;Edelmetalle;5;Muster SCHWEIZ Substanz
02.07.2026;Roche Holding PS AG;A424UK;3,094%;0,290%;10,333%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster SCHWEIZ Substanz
02.07.2026;UBAM - Global High Yield Solution I;A2P55C;4,273%;0,076%;1,711%;-;0%;-;-;Rentenfonds;Global;Renten;3;Muster SCHWEIZ Substanz
02.07.2026;VW Leasing Green Bond IHS 4,625 % 25.03.29;A3514U;3,149%;0,036%;1,132%;25.03.2029;4,6250%;2,5998;3,2503%;Corporates;Deutschland;Renten;3;Muster SCHWEIZ Substanz
02.07.2026;Walmart Inc.;860853;1,922%;0,075%;3,538%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster SCHWEIZ Substanz
;;;;;;;;;;;;;;
