Auswertungsdatum;Wertpapier;WKN;Gewicht;Währung;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
20.07.2026;Alphabet Inc. A;A14Y6F;2,195%;USD;0,309%;15,893%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster SCHWEIZ Substanz
20.07.2026;ASML Holding N.V.;A1J4U4;2,965%;EUR;2,393%;66,827%;-;0%;-;-;Elektro;Europa ohne Deutschland;Aktien;5;Muster SCHWEIZ Substanz
20.07.2026;Berkshire Hathaway Inc. B;A0YJQ2;2,997%;USD;0,015%;0,589%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;5;Muster SCHWEIZ Substanz
20.07.2026;DAX Discountzert. 22.650 Pkt. 28.12.26 (DZ);DY4XYM;6,011%;EUR;0,129%;2,116%;-;0%;-;-;Index;Europa;Aktien;3;Muster SCHWEIZ Substanz
20.07.2026;Develop. Markets Divid. Leaders ETF (VanEck);A2JAHJ;3,042%;EUR;0,131%;4,474%;-;0%;-;-;Index;Global;Aktien;4;Muster SCHWEIZ Substanz
20.07.2026;Dt. Bahn IHS 1,625 % 16.08.33;A2G8U8;3,983%;EUR;0,014%;0,305%;16.08.2033;1,6250%;6,6204;3,4331%;Corporates;Deutschland;Renten;3;Muster SCHWEIZ Substanz
20.07.2026;E.ON SE;ENAG99;2,589%;EUR;0,507%;22,943%;-;0%;-;-;Versorger;Deutschland;Aktien;5;Muster SCHWEIZ Substanz
20.07.2026;EDF IHS 5,625 % 21.02.33;755460;3,601%;EUR;0,055%;1,409%;21.02.2033;5,6250%;5,6661;3,6718%;Corporates;Europa ohne Deutschland;Renten;3;Muster SCHWEIZ Substanz
20.07.2026;Equal-weight Commodity exAgricu. ETF (Amundi);LYX0Z2;4,843%;EUR;1,035%;26,598%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Global;Edelmetalle;4;Muster SCHWEIZ Substanz
20.07.2026;EUR Ultrashort Bond ETF (iShares);A3DJQJ;5,482%;EUR;0,068%;1,241%;-;0%;-;-;Index;Europa;Renten;2;Muster SCHWEIZ Substanz
20.07.2026;EuroStoxx50 Discountzert. 5.200 Pkt. 28.12.26;DY9KHZ;6,070%;EUR;0,177%;2,929%;-;0%;-;-;Index;Europa;Aktien;3;Muster SCHWEIZ Substanz
20.07.2026;Flossbach v. Storch Bond Opportunities R;A0RCKL;2,992%;EUR;0,023%;-0,318%;-;0%;-;-;Rentenfonds;Global;Renten;2;Muster SCHWEIZ Substanz
20.07.2026;Fresenius IHS 0,875 % 01.10.31;A3KN0R;4,618%;EUR;-0,005%;-0,174%;01.10.2031;0,8750%;5,0612;3,6478%;Corporates;Deutschland;Renten;3;Muster SCHWEIZ Substanz
20.07.2026;Holcim Ltd.;869898;2,980%;CHF;-0,033%;-1,122%;-;0%;-;-;Bau,Baustoffe;Europa ohne Deutschland;Aktien;5;Muster SCHWEIZ Substanz
20.07.2026;iBonds Dec 2031 EUR Corp. ETF (iShares);A40MD5;2,822%;EUR;0,012%;0,349%;-;0%;-;-;Index;Europa;Renten;3;Muster SCHWEIZ Substanz
20.07.2026;Microsoft Corp.;870747;2,236%;USD;-0,375%;-13,991%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster SCHWEIZ Substanz
20.07.2026;MSCI World Value ETF (Xtrackers);A1103E;3,541%;USD;0,584%;19,617%;-;0%;-;-;Index;Global;Aktien;4;Muster SCHWEIZ Substanz
20.07.2026;Physical Gold ETC (Invesco);A1AA5X;13,088%;EUR;-0,812%;-6,126%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;4;Muster SCHWEIZ Substanz
20.07.2026;Physical Silber ETC (Xtrackers);A1E0HS;1,424%;EUR;-0,490%;-25,950%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Global;Edelmetalle;5;Muster SCHWEIZ Substanz
20.07.2026;Roche Holding PS AG;A424UK;2,997%;CHF;0,183%;6,456%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster SCHWEIZ Substanz
20.07.2026;UBAM - Global High Yield Solution I;A2P55C;4,246%;CHF;0,034%;0,700%;-;0%;-;-;Rentenfonds;Global;Renten;3;Muster SCHWEIZ Substanz
20.07.2026;VW Leasing Green Bond IHS 4,625 % 25.03.29;A3514U;3,145%;EUR;0,020%;0,616%;25.03.2029;4,6250%;2,5502;3,5215%;Corporates;Deutschland;Renten;3;Muster SCHWEIZ Substanz
20.07.2026;Walmart Inc.;860853;1,939%;USD;0,091%;4,289%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster SCHWEIZ Substanz
;;;;;;;;;;;;;;;
