Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
18.03.2026;Alphabet Inc. A;A14Y6F;3,739%;0,024%;0,682%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster ausgewogen cVV
18.03.2026;Amazon.com Inc.;906866;2,701%;-0,202%;-6,875%;-;0%;Handel,Konsum;Nordamerika;Aktien;Muster ausgewogen cVV
18.03.2026;Arista Networks Inc.;A40V33;3,345%;0,197%;6,345%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster ausgewogen cVV
18.03.2026;Bayer IHS 4,625 % 26.05.33 ;A351U1;4,408%;-0,023%;-0,551%;26.05.2033;4,6250%;Corporates;Deutschland;Renten;Muster ausgewogen cVV
18.03.2026;Booking Holdings Inc.;A2JEXP;2,968%;-0,574%;-16,038%;-;0%;Dienstleistungen;Nordamerika;Aktien;Muster ausgewogen cVV
18.03.2026;Deutsche Börse AG;581005;2,797%;0,274%;11,022%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;Muster ausgewogen cVV
18.03.2026;Deutsche Telekom AG;555750;2,856%;0,430%;17,643%;-;0%;Informationstechnologie;Deutschland;Aktien;Muster ausgewogen cVV
18.03.2026;Dt. Pfandbriefbk. Green Bond IHS 5 % 05.02.27;A30WF8;2,091%;-0,003%;-0,161%;05.02.2027;5,0000%;Financials;Deutschland;Renten;Muster ausgewogen cVV
18.03.2026;Eli Lilly and Company;858560;2,962%;-0,420%;-12,519%;-;0%;Chemie,Pharma;Nordamerika;Aktien;Muster ausgewogen cVV
18.03.2026;Franklin European Dividend ETF;A2DTF2;3,564%;0,095%;2,775%;-;0%;Index;Europa;Aktien;Muster ausgewogen cVV
18.03.2026;Future of Defence UCITS ETF (HanETF);A3EB9T;4,780%;0,578%;13,798%;-;0%;Index;Global;Aktien;Muster ausgewogen cVV
18.03.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;4,168%;-0,027%;-0,659%;01.11.2028;2,0000%;Financials;Nordamerika;Renten;Muster ausgewogen cVV
18.03.2026;Hochtief IHS 0,625 % 26.04.29;A3E5S0;3,130%;-0,010%;-0,350%;26.04.2029;0,6250%;Corporates;Deutschland;Renten;Muster ausgewogen cVV
18.03.2026;Japan Equity Partners Portfolio GS;A14T2K;2,921%;0,088%;3,043%;-;0%;Region;Japan;Aktien;Muster ausgewogen cVV
18.03.2026;Linde plc;A3D7VW;2,978%;0,441%;17,340%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;Muster ausgewogen cVV
18.03.2026;McDonalds Corp.;856958;2,943%;-0,084%;-2,819%;-;0%;Handel,Konsum;Nordamerika;Aktien;Muster ausgewogen cVV
18.03.2026;Meta Platforms Inc. A;A1JWVX;2,649%;-0,124%;-4,477%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster ausgewogen cVV
18.03.2026;Microsoft Corp.;870747;2,231%;-0,461%;-17,064%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster ausgewogen cVV
18.03.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;2,843%;-0,085%;-2,965%;-;0%;Chemie,Pharma;Global;Aktien;Muster ausgewogen cVV
18.03.2026;Münchener Rückvers.-Ges. AG;843002;3,126%;-0,137%;-4,198%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;Muster ausgewogen cVV
18.03.2026;Porsche IHS 4,25 % 27.09.30;A351SX;3,769%;0,028%;0,717%;27.09.2030;4,2500%;Corporates;Deutschland;Renten;Muster ausgewogen cVV
18.03.2026;Semiconductor ETF (VanEck);A2QC5J;5,527%;0,706%;14,565%;-;0%;Nachhaltigkeit;Global;Aktien;Muster ausgewogen cVV
18.03.2026;Siemens AG;723610;2,890%;-0,276%;-8,802%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;Muster ausgewogen cVV
18.03.2026;StoxxEuro.600 Construc. & Materials ETF (iSh);A0H08F;3,673%;-0,152%;-4,089%;-;0%;Index;Europa;Aktien;Muster ausgewogen cVV
18.03.2026;VISA Inc.;A0NC7B;2,347%;-0,341%;-12,687%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;Muster ausgewogen cVV
18.03.2026;VW IHS 1,625 % 16.01.30;A1ZUTM;2,837%;-0,016%;-0,567%;16.01.2030;1,6250%;Corporates;Deutschland;Renten;Muster ausgewogen cVV
18.03.2026;XETRA Gold;A0S9GB;11,724%;1,363%;13,076%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;Muster ausgewogen cVV
;;;;;;;;;;;
