Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
17.06.2026;Alphabet Inc. A;A14Y6F;4,211%;0,700%;18,748%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster ausgewogen cVV
17.06.2026;Amazon.com Inc.;906866;2,913%;0,164%;5,084%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;Muster ausgewogen cVV
17.06.2026;Arista Networks Inc.;A40V33;3,864%;0,882%;28,551%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster ausgewogen cVV
17.06.2026;Bayer IHS 4,625 % 26.05.33 ;A351U1;4,270%;0,037%;0,798%;26.05.2033;4,6250%;Corporates;Deutschland;Renten;3;Muster ausgewogen cVV
17.06.2026;Booking Holdings Inc.;A2JEXP;2,769%;-0,442%;-12,910%;-;0%;Dienstleistungen;Nordamerika;Aktien;5;Muster ausgewogen cVV
17.06.2026;Deutsche Börse AG;581005;2,662%;0,270%;10,573%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster ausgewogen cVV
17.06.2026;Deutsche Telekom AG;555750;2,262%;0,031%;0,633%;-;0%;Informationstechnologie;Deutschland;Aktien;5;Muster ausgewogen cVV
17.06.2026;Dt. Pfandbriefbk. Green Bond IHS 5 % 05.02.27;A30WF8;1,926%;0,019%;0,941%;05.02.2027;5,0000%;Financials;Deutschland;Renten;3;Muster ausgewogen cVV
17.06.2026;Eli Lilly and Company;858560;3,420%;0,184%;5,856%;-;0%;Chemie,Pharma;Nordamerika;Aktien;5;Muster ausgewogen cVV
17.06.2026;European Dividend ETF (Franklin);A2DTF2;3,416%;0,123%;3,389%;-;0%;Index;Europa;Aktien;3;Muster ausgewogen cVV
17.06.2026;Future of Defence UCITS ETF (HanETF);A3EB9T;4,582%;0,596%;14,157%;-;0%;Index;Global;Aktien;5;Muster ausgewogen cVV
17.06.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;4,028%;0,020%;0,463%;01.11.2028;2,0000%;Financials;Nordamerika;Renten;3;Muster ausgewogen cVV
17.06.2026;Hochtief IHS 0,625 % 26.04.29;A3E5S0;3,038%;0,039%;1,232%;26.04.2029;0,6250%;Corporates;Deutschland;Renten;3;Muster ausgewogen cVV
17.06.2026;Japan Equity Active ETF (GS);A4135A;3,588%;0,111%;3,102%;-;0%;Index;Japan;Aktien;4;Muster ausgewogen cVV
17.06.2026;Linde plc;A3D7VW;2,997%;0,604%;23,957%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster ausgewogen cVV
17.06.2026;McDonalds Corp.;856958;2,522%;-0,387%;-12,878%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;Muster ausgewogen cVV
17.06.2026;Microsoft Corp.;870747;3,150%;-0,599%;-19,712%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster ausgewogen cVV
17.06.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;2,766%;-0,034%;-1,208%;-;0%;Chemie,Pharma;Global;Aktien;4;Muster ausgewogen cVV
17.06.2026;Münchener Rückvers.-Ges. AG;843002;2,577%;-0,545%;-17,360%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster ausgewogen cVV
17.06.2026;Porsche IHS 4,25 % 27.09.30;A351SX;3,647%;0,074%;1,979%;27.09.2030;4,2500%;Corporates;Deutschland;Renten;3;Muster ausgewogen cVV
17.06.2026;Semiconductor ETF (VanEck);A2QC5J;6,579%;3,888%;92,746%;-;0%;Nachhaltigkeit;Global;Aktien;6;Muster ausgewogen cVV
17.06.2026;Siemens AG;723610;3,459%;0,525%;16,796%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster ausgewogen cVV
17.06.2026;SLB Ltd.;853390;2,693%;-0,259%;-8,659%;-;0%;Eisen,Stahl,Rohstoffe;Nordamerika;Aktien;5;Muster ausgewogen cVV
17.06.2026;VISA Inc.;A0NC7B;2,471%;-0,100%;-3,592%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;5;Muster ausgewogen cVV
17.06.2026;VW IHS 1,625 % 16.01.30;A1ZUTM;2,686%;0,006%;0,197%;16.01.2030;1,6250%;Corporates;Deutschland;Renten;3;Muster ausgewogen cVV
17.06.2026;XETRA Gold;A0S9GB;8,047%;0,184%;0,390%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;5;Muster ausgewogen cVV
;;;;;;;;;;;;
