Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
02.07.2026;Allianz SE;840400;2,998%;0,047%;1,606%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster ausgewogen cVV
02.07.2026;Alphabet Inc. A;A14Y6F;4,169%;0,682%;18,200%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster ausgewogen cVV
02.07.2026;Amazon.com Inc.;906866;2,977%;0,246%;7,998%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster ausgewogen cVV
02.07.2026;Arista Networks Inc.;A40V33;3,749%;0,790%;25,428%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster ausgewogen cVV
02.07.2026;Bayer IHS 4,625 % 26.05.33 ;A351U1;4,270%;0,060%;1,354%;26.05.2033;4,6250%;6,0994;3,7278%;Corporates;Deutschland;Renten;3;Muster ausgewogen cVV
02.07.2026;Booking Holdings Inc.;A2JEXP;2,979%;-0,218%;-5,802%;-;0%;-;-;Dienstleistungen;Nordamerika;Aktien;5;Muster ausgewogen cVV
02.07.2026;Deutsche Börse AG;581005;2,612%;0,234%;9,095%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster ausgewogen cVV
02.07.2026;Dt. Pfandbriefbk. Green Bond IHS 5 % 05.02.27;A30WF8;1,919%;0,022%;1,131%;05.02.2027;5,0000%;0,5945;3,6676%;Financials;Deutschland;Renten;3;Muster ausgewogen cVV
02.07.2026;Eli Lilly and Company;858560;3,734%;0,518%;16,232%;-;0%;-;-;Chemie,Pharma;Nordamerika;Aktien;5;Muster ausgewogen cVV
02.07.2026;European Dividend ETF (Franklin);A2DTF2;3,334%;0,059%;1,482%;-;0%;-;-;Index;Europa;Aktien;3;Muster ausgewogen cVV
02.07.2026;Future of Defence UCITS ETF (HanETF);A3EB9T;4,622%;0,661%;15,790%;-;0%;-;-;Index;Global;Aktien;5;Muster ausgewogen cVV
02.07.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;4,020%;0,034%;0,809%;01.11.2028;2,0000%;2,2728;2,8115%;Financials;Nordamerika;Renten;3;Muster ausgewogen cVV
02.07.2026;Hochtief IHS 0,625 % 26.04.29;A3E5S0;3,027%;0,044%;1,400%;26.04.2029;0,6250%;2,7946;3,0967%;Corporates;Deutschland;Renten;3;Muster ausgewogen cVV
02.07.2026;Japan Equity Active ETF (GS);A4135A;3,596%;0,140%;3,907%;-;0%;-;-;Index;Japan;Aktien;4;Muster ausgewogen cVV
02.07.2026;Linde plc;A3D7VW;3,176%;0,802%;32,123%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster ausgewogen cVV
02.07.2026;McDonalds Corp.;856958;2,494%;-0,401%;-13,355%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster ausgewogen cVV
02.07.2026;Microsoft Corp.;870747;3,248%;-0,485%;-16,767%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster ausgewogen cVV
02.07.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;2,974%;0,190%;6,808%;-;0%;-;-;Chemie,Pharma;Global;Aktien;4;Muster ausgewogen cVV
02.07.2026;MSCI World Momentum ESG  ETF (iShares);A3CUJS;3,989%;-0,052%;-1,281%;-;0%;-;-;Index;Global;Aktien;4;Muster ausgewogen cVV
02.07.2026;Münchener Rückvers.-Ges. AG;843002;2,751%;-0,357%;-11,295%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster ausgewogen cVV
02.07.2026;Porsche IHS 4,25 % 27.09.30;A351SX;3,613%;0,060%;1,585%;27.09.2030;4,2500%;3,8632;3,7144%;Corporates;Deutschland;Renten;3;Muster ausgewogen cVV
02.07.2026;Semiconductor ETF (VanEck);A2QC5J;6,379%;3,721%;87,897%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;6;Muster ausgewogen cVV
02.07.2026;Siemens AG;723610;3,487%;0,574%;18,422%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster ausgewogen cVV
02.07.2026;SLB Ltd.;853390;2,385%;-0,554%;-18,648%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Nordamerika;Aktien;5;Muster ausgewogen cVV
02.07.2026;VISA Inc.;A0NC7B;2,709%;0,152%;6,290%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;5;Muster ausgewogen cVV
02.07.2026;VW IHS 1,625 % 16.01.30;A1ZUTM;2,672%;0,006%;0,195%;16.01.2030;1,6250%;3,4434;3,4870%;Corporates;Deutschland;Renten;3;Muster ausgewogen cVV
02.07.2026;XETRA Gold;A0S9GB;7,685%;-0,138%;-3,597%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;5;Muster ausgewogen cVV
;;;;;;;;;;;;;;
