Auswertungsdatum;Wertpapier;WKN;Gewicht;Währung;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
07.07.2026;Allianz SE;840400;3,017%;EUR;0,079%;2,675%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster ausgewogen cVV
07.07.2026;Alphabet Inc. A;A14Y6F;4,242%;USD;0,773%;20,781%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster ausgewogen cVV
07.07.2026;Amazon.com Inc.;906866;3,011%;USD;0,293%;9,692%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster ausgewogen cVV
07.07.2026;Arista Networks Inc.;A40V33;3,892%;USD;0,951%;30,764%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster ausgewogen cVV
07.07.2026;Bayer IHS 4,625 % 26.05.33 ;A351U1;4,239%;EUR;0,047%;1,045%;26.05.2033;4,6250%;6,0854;3,7910%;Corporates;Deutschland;Renten;3;Muster ausgewogen cVV
07.07.2026;Booking Holdings Inc.;A2JEXP;2,931%;USD;-0,254%;-6,947%;-;0%;-;-;Dienstleistungen;Nordamerika;Aktien;5;Muster ausgewogen cVV
07.07.2026;Deutsche Börse AG;581005;2,787%;EUR;0,421%;16,891%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster ausgewogen cVV
07.07.2026;Dt. Pfandbriefbk. Green Bond IHS 5 % 05.02.27;A30WF8;1,913%;EUR;0,024%;1,203%;05.02.2027;5,0000%;0,5808;3,6298%;Financials;Deutschland;Renten;3;Muster ausgewogen cVV
07.07.2026;Eli Lilly and Company;858560;3,793%;USD;0,593%;18,544%;-;0%;-;-;Chemie,Pharma;Nordamerika;Aktien;5;Muster ausgewogen cVV
07.07.2026;European Dividend ETF (Franklin);A2DTF2;3,368%;EUR;0,107%;2,932%;-;0%;-;-;Index;Europa;Aktien;3;Muster ausgewogen cVV
07.07.2026;Future of Defence UCITS ETF (HanETF);A3EB9T;4,798%;USD;0,859%;20,701%;-;0%;-;-;Index;Global;Aktien;5;Muster ausgewogen cVV
07.07.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;3,999%;EUR;0,030%;0,717%;01.11.2028;2,0000%;2,2591;2,8703%;Financials;Nordamerika;Renten;3;Muster ausgewogen cVV
07.07.2026;Hochtief IHS 0,625 % 26.04.29;A3E5S0;3,008%;EUR;0,038%;1,207%;26.04.2029;0,6250%;2,7809;3,1834%;Corporates;Deutschland;Renten;3;Muster ausgewogen cVV
07.07.2026;Japan Equity Active ETF (GS);A4135A;3,615%;JPY;0,174%;4,908%;-;0%;-;-;Index;Japan;Aktien;4;Muster ausgewogen cVV
07.07.2026;Linde plc;A3D7VW;3,121%;USD;0,759%;30,353%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster ausgewogen cVV
07.07.2026;McDonalds Corp.;856958;2,503%;USD;-0,382%;-12,691%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster ausgewogen cVV
07.07.2026;Microsoft Corp.;870747;3,227%;USD;-0,492%;-16,951%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster ausgewogen cVV
07.07.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;2,983%;EUR;0,211%;7,586%;-;0%;-;-;Chemie,Pharma;Global;Aktien;4;Muster ausgewogen cVV
07.07.2026;MSCI World Momentum ESG  ETF (iShares);A3CUJS;3,960%;EUR;-0,065%;-1,610%;-;0%;-;-;Index;Global;Aktien;4;Muster ausgewogen cVV
07.07.2026;Münchener Rückvers.-Ges. AG;843002;2,790%;EUR;-0,306%;-9,641%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster ausgewogen cVV
07.07.2026;Porsche IHS 4,25 % 27.09.30;A351SX;3,589%;EUR;0,052%;1,351%;27.09.2030;4,2500%;3,8494;3,7901%;Corporates;Deutschland;Renten;3;Muster ausgewogen cVV
07.07.2026;Semiconductor ETF (VanEck);A2QC5J;5,994%;EUR;3,346%;77,298%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;6;Muster ausgewogen cVV
07.07.2026;Siemens AG;723610;3,381%;EUR;0,482%;15,300%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster ausgewogen cVV
07.07.2026;SLB Ltd.;853390;2,442%;EUR;-0,488%;-16,363%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Nordamerika;Aktien;5;Muster ausgewogen cVV
07.07.2026;VISA Inc.;A0NC7B;2,629%;USD;0,083%;3,584%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;5;Muster ausgewogen cVV
07.07.2026;VW IHS 1,625 % 16.01.30;A1ZUTM;2,662%;EUR;0,008%;0,241%;16.01.2030;1,6250%;3,4296;3,4871%;Corporates;Deutschland;Renten;3;Muster ausgewogen cVV
07.07.2026;XETRA Gold;A0S9GB;7,692%;EUR;-0,099%;-3,107%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;5;Muster ausgewogen cVV
;;;;;;;;;;;;;;;
