Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
19.03.2026;Bayer IHS 4 % 26.08.26;A351UZ;3,360%;0,015%;0,461%;26.08.2026;4,0000%;Corporates;Deutschland;Renten;Muster defensiv cVV
19.03.2026;BMW IHS 3,125 % 22.07.29;A4D5RW;3,799%;-0,019%;-0,508%;22.07.2029;3,1250%;Corporates;Deutschland;Renten;Muster defensiv cVV
19.03.2026;Deutsche Post IHS 3,0 % 25.11.31;A460PH;4,929%;-0,011%;-0,237%;25.11.2031;3,0000%;Corporates;Deutschland;Renten;Muster defensiv cVV
19.03.2026;Dt. Bahn IHS 1,875 % 24.05.30;A30VH4;3,344%;-0,029%;-0,861%;24.05.2030;1,8750%;Corporates;Deutschland;Renten;Muster defensiv cVV
19.03.2026;Dt. Telekom IHS 1,375 % 05.07.34;A2YNSK;3,365%;-0,042%;-1,265%;05.07.2034;1,3750%;Corporates;Deutschland;Renten;Muster defensiv cVV
19.03.2026;E.ON IHS 3,448% 19.01.34;A460EP;4,155%;-0,035%;-0,858%;19.01.2034;3,4480%;Corporates;Deutschland;Renten;Muster defensiv cVV
19.03.2026;EnBW Green Bond IHS 3,5 % 22.07.31;A3L1LT;3,670%;-0,013%;-0,358%;22.07.2031;3,5000%;Corporates;Europa ohne Deutschland;Renten;Muster defensiv cVV
19.03.2026;Fraport IHS 1,875 % 31.03.28;A3E5F0;4,223%;-0,014%;-0,336%;31.03.2028;1,8750%;Corporates;Deutschland;Renten;Muster defensiv cVV
19.03.2026;Fresenius IHS 0,875 % 01.10.31;A3KN0R;3,465%;-0,028%;-0,810%;01.10.2031;0,8750%;Corporates;Deutschland;Renten;Muster defensiv cVV
19.03.2026;Future of Defence UCITS ETF (HanETF);A3EB9T;2,945%;0,322%;12,320%;-;0%;Index;Global;Aktien;Muster defensiv cVV
19.03.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;3,482%;-0,035%;-1,025%;01.11.2028;2,0000%;Financials;Nordamerika;Renten;Muster defensiv cVV
19.03.2026;Grenke Finance IHS 5,75 % 06.07.29 ;A3LY39;3,069%;-0,025%;-0,817%;06.07.2029;5,7500%;Financials;Deutschland;Renten;Muster defensiv cVV
19.03.2026;Heidelberg Materials IHS 3,75 % 31.05.32 ;A30V5U;3,769%;-0,022%;-0,589%;31.05.2032;3,7500%;Corporates;Deutschland;Renten;Muster defensiv cVV
19.03.2026;Hochtief IHS 1,25 % 03.09.31;A2YN2V;3,613%;-0,050%;-1,396%;03.09.2031;1,2500%;Corporates;Deutschland;Renten;Muster defensiv cVV
19.03.2026;Japan Equity Partners Portfolio GS;A14T2K;2,379%;0,029%;1,208%;-;0%;Region;Japan;Aktien;Muster defensiv cVV
19.03.2026;MSCI Europe Industrials Sector ETF (iShares);A2QBZ6;3,713%;0,133%;3,688%;-;0%;Index;Europa;Aktien;Muster defensiv cVV
19.03.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;2,360%;-0,095%;-3,983%;-;0%;Chemie,Pharma;Global;Aktien;Muster defensiv cVV
19.03.2026;MSCI World IT ETF (Xtrackers);A113FM;2,666%;-0,125%;-4,567%;-;0%;Informationstechnologie;Global;Aktien;Muster defensiv cVV
19.03.2026;Porsche IHS 4,25 % 27.09.30;A351SX;4,249%;0,010%;0,241%;27.09.2030;4,2500%;Corporates;Deutschland;Renten;Muster defensiv cVV
19.03.2026;RCI Banque IHS 1,125 % 15.01.27;A28R15;4,085%;0,015%;0,382%;15.01.2027;1,1250%;Financials;Europa ohne Deutschland;Renten;Muster defensiv cVV
19.03.2026;Semiconductor ETF (VanEck);A2QC5J;4,337%;0,482%;12,516%;-;0%;Nachhaltigkeit;Global;Aktien;Muster defensiv cVV
19.03.2026;Stoxx Europe 600 Insurance ETF (iShares);A0H08K;2,127%;-0,136%;-6,043%;-;0%;Index;Europa;Aktien;Muster defensiv cVV
19.03.2026;StoxxEuro.600 Construc. & Materials ETF (iSh);A0H08F;2,754%;-0,229%;-7,800%;-;0%;Index;Europa;Aktien;Muster defensiv cVV
19.03.2026;VW IHS 1,625 % 16.01.30;A1ZUTM;3,498%;-0,037%;-1,070%;16.01.2030;1,6250%;Corporates;Deutschland;Renten;Muster defensiv cVV
19.03.2026;Würth Finance IHS 3 % 28.08.31;A3L4ZS;3,748%;-0,018%;-0,478%;28.08.2031;3,0000%;Corporates;Deutschland;Renten;Muster defensiv cVV
19.03.2026;XETRA Gold;A0S9GB;9,079%;0,623%;6,264%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;Muster defensiv cVV
;;;;;;;;;;;
