Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
17.06.2026;Bayer IHS 4 % 26.08.26;A351UZ;3,225%;0,036%;1,098%;26.08.2026;4,0000%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
17.06.2026;BMW IHS 3,125 % 22.07.29;A4D5RW;3,658%;0,016%;0,403%;22.07.2029;3,1250%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
17.06.2026;Deutsche Post IHS 3,0 % 25.11.31;A460PH;4,766%;0,055%;1,117%;25.11.2031;3,0000%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
17.06.2026;Dt. Bahn IHS 1,875 % 24.05.30;A30VH4;3,226%;0,009%;0,263%;24.05.2030;1,8750%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
17.06.2026;Dt. Telekom IHS 1,375 % 05.07.34;A2YNSK;3,309%;0,060%;1,768%;05.07.2034;1,3750%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
17.06.2026;E.ON IHS 3,448% 19.01.34;A460EP;4,025%;0,027%;0,666%;19.01.2034;3,4480%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
17.06.2026;EnBW Green Bond IHS 3,5 % 22.07.31;A3L1LT;3,547%;0,034%;0,946%;22.07.2031;3,5000%;Corporates;Europa ohne Deutschland;Renten;3;Muster defensiv cVV
17.06.2026;Fraport IHS 1,875 % 31.03.28;A3E5F0;3,994%;0,029%;0,703%;31.03.2028;1,8750%;Corporates;Deutschland;Renten;5;Muster defensiv cVV
17.06.2026;Fresenius IHS 0,875 % 01.10.31;A3KN0R;3,353%;0,021%;0,596%;01.10.2031;0,8750%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
17.06.2026;Future of Defence UCITS ETF (HanETF);A3EB9T;2,856%;0,368%;14,157%;-;0%;Index;Global;Aktien;5;Muster defensiv cVV
17.06.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;3,372%;0,017%;0,463%;01.11.2028;2,0000%;Financials;Nordamerika;Renten;3;Muster defensiv cVV
17.06.2026;Grenke Finance IHS 5,75 % 06.07.29 ;A3LY39;2,962%;0,010%;0,331%;06.07.2029;5,7500%;Financials;Deutschland;Renten;3;Muster defensiv cVV
17.06.2026;Heidelberg Materials IHS 3,75 % 31.05.32 ;A30V5U;3,657%;0,042%;1,116%;31.05.2032;3,7500%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
17.06.2026;Hochtief IHS 1,25 % 03.09.31;A2YN2V;3,453%;-0,046%;-1,227%;03.09.2031;1,2500%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
17.06.2026;Japan Equity Active ETF (GS);A4135A;2,535%;0,078%;3,102%;-;0%;Index;Japan;Aktien;4;Muster defensiv cVV
17.06.2026;MSCI Europe Industrials Sector ETF (iShares);A2QBZ6;3,755%;0,359%;9,901%;-;0%;Index;Europa;Aktien;4;Muster defensiv cVV
17.06.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;2,317%;-0,030%;-1,208%;-;0%;Chemie,Pharma;Global;Aktien;4;Muster defensiv cVV
17.06.2026;MSCI World IT ETF (Xtrackers);A113FM;3,280%;0,641%;23,086%;-;0%;Informationstechnologie;Global;Aktien;5;Muster defensiv cVV
17.06.2026;Porsche IHS 4,25 % 27.09.30;A351SX;4,124%;0,083%;1,979%;27.09.2030;4,2500%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
17.06.2026;RCI Banque IHS 1,125 % 15.01.27;A28R15;3,878%;0,041%;1,026%;15.01.2027;1,1250%;Financials;Europa ohne Deutschland;Renten;3;Muster defensiv cVV
17.06.2026;Semiconductor ETF (VanEck);A2QC5J;5,207%;3,093%;92,746%;-;0%;Nachhaltigkeit;Global;Aktien;6;Muster defensiv cVV
17.06.2026;Stoxx Europe 600 Insurance ETF (iShares);A0H08K;2,225%;0,077%;3,330%;-;0%;Index;Europa;Aktien;4;Muster defensiv cVV
17.06.2026;VW IHS 1,625 % 16.01.30;A1ZUTM;3,323%;0,008%;0,197%;16.01.2030;1,6250%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
17.06.2026;Würth Finance IHS 3 % 28.08.31;A3L4ZS;3,651%;0,060%;1,613%;28.08.2031;3,0000%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
17.06.2026;XETRA Gold;A0S9GB;8,183%;0,138%;0,390%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;5;Muster defensiv cVV
;;;;;;;;;;;;
