Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
02.07.2026;Bayer IHS 4 % 26.08.26;A351UZ;3,227%;0,040%;1,235%;26.08.2026;4,0000%;0,1479;3,4113%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
02.07.2026;BMW IHS 3,125 % 22.07.29;A4D5RW;3,664%;0,026%;0,676%;22.07.2029;3,1250%;2,8769;3,1748%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
02.07.2026;Deutsche Post IHS 3,0 % 25.11.31;A460PH;4,781%;0,074%;1,520%;25.11.2031;3,0000%;4,9861;3,1613%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
02.07.2026;Dt. Bahn IHS 1,875 % 24.05.30;A30VH4;3,234%;0,020%;0,609%;24.05.2030;1,8750%;3,7803;2,8764%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
02.07.2026;Dt. Telekom IHS 1,375 % 05.07.34;A2YNSK;3,337%;0,091%;2,719%;05.07.2034;1,3750%;7,5089;3,2825%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
02.07.2026;E.ON IHS 3,448% 19.01.34;A460EP;4,024%;0,030%;0,726%;19.01.2034;3,4480%;6,7142;3,6304%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
02.07.2026;EnBW Green Bond IHS 3,5 % 22.07.31;A3L1LT;3,553%;0,043%;1,208%;22.07.2031;3,5000%;4,5849;3,2200%;Corporates;Europa ohne Deutschland;Renten;3;Muster defensiv cVV
02.07.2026;Fraport IHS 1,875 % 31.03.28;A3E5F0;4,003%;0,042%;1,014%;31.03.2028;1,8750%;1,7240;3,0820%;Corporates;Deutschland;Renten;5;Muster defensiv cVV
02.07.2026;Fresenius IHS 0,875 % 01.10.31;A3KN0R;3,359%;0,030%;0,872%;01.10.2031;0,8750%;5,1113;3,4006%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
02.07.2026;Future of Defence UCITS ETF (HanETF);A3EB9T;2,894%;0,408%;15,790%;-;0%;-;-;Index;Global;Aktien;5;Muster defensiv cVV
02.07.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;3,381%;0,028%;0,809%;01.11.2028;2,0000%;2,2728;2,8115%;Financials;Nordamerika;Renten;3;Muster defensiv cVV
02.07.2026;Grenke Finance IHS 5,75 % 06.07.29 ;A3LY39;2,970%;0,021%;0,696%;06.07.2029;5,7500%;2,7143;3,8146%;Financials;Deutschland;Renten;3;Muster defensiv cVV
02.07.2026;Heidelberg Materials IHS 3,75 % 31.05.32 ;A30V5U;3,658%;0,046%;1,230%;31.05.2032;3,7500%;5,4155;3,3954%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
02.07.2026;Hochtief IHS 1,25 % 03.09.31;A2YN2V;3,460%;-0,035%;-0,935%;03.09.2031;1,2500%;4,9809;3,6159%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
02.07.2026;Japan Equity Active ETF (GS);A4135A;2,553%;0,098%;3,907%;-;0%;-;-;Index;Japan;Aktien;4;Muster defensiv cVV
02.07.2026;MSCI Europe Industrials Sector ETF (iShares);A2QBZ6;3,801%;0,409%;11,335%;-;0%;-;-;Index;Europa;Aktien;4;Muster defensiv cVV
02.07.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;2,503%;0,157%;6,808%;-;0%;-;-;Chemie,Pharma;Global;Aktien;4;Muster defensiv cVV
02.07.2026;MSCI World IT ETF (Xtrackers);A113FM;3,267%;0,632%;22,713%;-;0%;-;-;Informationstechnologie;Global;Aktien;5;Muster defensiv cVV
02.07.2026;Nestle Finance IHS 2,875 % 14.01.32;A3L71X;3,966%;0,008%;0,193%;14.01.2032;2,8750%;5,1376;3,0781%;Corporates;Europa ohne Deutschland;Renten;3;Muster defensiv cVV
02.07.2026;Porsche IHS 4,25 % 27.09.30;A351SX;4,105%;0,067%;1,585%;27.09.2030;4,2500%;3,8632;3,7144%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
02.07.2026;RCI Banque IHS 1,125 % 15.01.27;A28R15;3,881%;0,047%;1,193%;15.01.2027;1,1250%;0,5370;2,9358%;Financials;Europa ohne Deutschland;Renten;3;Muster defensiv cVV
02.07.2026;Semiconductor ETF (VanEck);A2QC5J;5,072%;2,961%;87,897%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;6;Muster defensiv cVV
02.07.2026;Stoxx Europe 600 Insurance ETF (iShares);A0H08K;2,314%;0,168%;7,558%;-;0%;-;-;Index;Europa;Aktien;4;Muster defensiv cVV
02.07.2026;VW IHS 1,625 % 16.01.30;A1ZUTM;3,320%;0,008%;0,195%;16.01.2030;1,6250%;3,4434;3,4870%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
02.07.2026;Würth Finance IHS 3 % 28.08.31;A3L4ZS;3,662%;0,075%;2,014%;28.08.2031;3,0000%;4,7423;2,9530%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
02.07.2026;XETRA Gold;A0S9GB;7,851%;-0,189%;-3,597%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;5;Muster defensiv cVV
;;;;;;;;;;;;;;
